"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,"Visualizações de Posts orgânicos","Visualizações de Posts turbinados",Alcance,"Alcance de Posts orgânicos","Alcance de Posts turbinados","Visualizações de 3 segundos do vídeo","Visualizações do vídeo de 1 minuto","Visualizadores de 3 segundos","Visualizadores de 1 minuto","Visualizações do vídeo de 3 segundos de Posts turbinados","Visualizações do vídeo de 3 segundos de Posts orgânicos","Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Segundos de visualização","Média de Segundos de visualização"
1524999756329636,100064588783898,"Federação Paulista de Futebol - FPF","VISITANTE INDIGESTO!
O Verdão se tornou a equipe que mais venceu fora de casa no século pela @libertadoresbr.
#PaulistasEmCampo #Palmeiras #Libertadores",,0,"08/21/2026 13:00",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid02NRsgGeKAw9xvutMZZ841CfRhihmdJSZKBfoExtyc4eyLafj3TyscMVXSvWSwsZP1l,0,0,Fotos,,,,,Total,31436,31436,0,21200,21200,0,0,0,0,0,0,0,465,422,23,20,,
1524999899662955,100064588783898,"Federação Paulista de Futebol - FPF","Carlos Miguel foi decisivo para o Verdão nas oitavas da @libertadoresbr! 
#FutebolPaulista #Libertadores #Verdão
🎥 Libertadores","Carlos Miguel foi decisivo para o Verdão nas oitavas da @libertadoresbr! 
#FutebolPaulista #Libertadores #Verdão
🎥 Libertadores",12,"08/21/2026 13:00",N/A,https://www.facebook.com/reel/1539283874041433/,0,0,Vídeos,,,,,Total,33222,33205,0,28057,28057,0,16576,0,16073,0,0,16576,441,401,37,3,183409.848,6.847
1525023902993888,100064588783898,"Federação Paulista de Futebol - FPF","O MATHEUZINHO É A RAÇA ALVINEGRA! 
#Corinthians #Libertadores #FutebolPaulista 
🎥 CONMEBOL Libertadores","O MATHEUZINHO É A RAÇA ALVINEGRA! 
#Corinthians #Libertadores #FutebolPaulista 
🎥 CONMEBOL Libertadores",8,"08/21/2026 13:42",N/A,https://www.facebook.com/reel/911941794945495/,1,0,Vídeos,,,,,Total,18970,18960,0,13119,13119,0,6776,0,6776,0,0,6776,154,148,5,1,78612.357,6.273
1525045486325063,100064588783898,"Federação Paulista de Futebol - FPF","RESTA UMA RODADA!
Vem ver como está a classificação da Copa Paulista Rivalo antes da última rodada da primeira fase!
#CopaPaulistaRivalo",,0,"08/21/2026 14:24",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid02fKhznyo8GXy4pc7TTuqczzzuZjm1vDeUgxCrMcTAtXeJ76dQrfgLhivAXrgaMuLxl,0,0,Fotos,,,,,Total,10334,10334,0,6301,6301,0,0,0,0,0,0,0,85,72,5,8,,
1525062869656658,100064588783898,"Federação Paulista de Futebol - FPF","É O CAPITÃO, GUSTAVO GÓMEZ, O XERIFE DO VERDÃO!
São nove edições seguidas marcando gols na @libertadoresbr - o primeiro jogador a atingir essa marca.
#PaulistasEmCampo #Palmeiras","É O CAPITÃO, GUSTAVO GÓMEZ, O XERIFE DO VERDÃO!
São nove edições seguidas marcando gols na @libertadoresbr - o primeiro jogador a atingir essa marca.
#PaulistasEmCampo #Palmeiras",90,"08/21/2026 15:00",auto,https://www.facebook.com/reel/2351670315366678/,0,0,Vídeos,,,,,Total,206969,206719,0,207490,207490,0,146833,31875,142690,31128,0,146833,7392,7108,105,179,4192964.512,21.454
1525557146273897,100064588783898,"Federação Paulista de Futebol - FPF","NÃO VAI FALTAR EMOÇÃO NA ÚLTIMA RODADA DA PRIMEIRA FASE DA COPA PAULISTA RIVALO!
#CopaPaulistaRivalo",,0,"08/22/2026 05:00",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid035LaEX3KpXstLzJr7dvoeqNsMLJWA5Wrpc2L8Mi5aTNqvTeX8Mm73fG67tRnp7Rixl,0,0,Fotos,,,,,Total,16253,16253,0,11931,11931,0,0,0,0,0,0,0,139,123,4,12,,
1525611529601792,100064588783898,"Federação Paulista de Futebol - FPF","DOSE DUPLA!
Ituano e Guarani vão a campo pela penúltima rodada da @cbfseriec.
#PaulistasEmCampo",,0,"08/22/2026 06:00",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid0ac8vLX5r8e4JavCU3gUHMmykZ6nSWNRPZvBsV6fqSNvNoXfZUt9rDobNvCtm97dwl,0,0,Fotos,,,,,Total,11530,11530,0,8361,8361,0,0,0,0,0,0,0,71,61,3,7,,
1525935502902728,100064588783898,"Federação Paulista de Futebol - FPF","ELEFANTE CLASSIFICADO!
O Linense liderou o grupo 1 e está garantido na próxima fase da Copa Paulista Rivalo!
#CopaPaulistaRivalo",,0,"08/22/2026 13:24",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid02REbcecsNCxE9ZefXcWDYrWwD4sKek3cvVNGv6KYd7sFZGgAU4r2N7EnSAXW6bsQil,0,0,Fotos,,,,,Total,4838,4838,0,3499,3499,0,0,0,0,0,0,0,38,27,3,8,,
1525936636235948,100064588783898,"Federação Paulista de Futebol - FPF","NORUSCA CLASSIFICADO!
O Noroeste liderou o Grupo 2 e está garantido na próxima fase da Copa Paulista Rivalo!
#CopaPaulistaRivalo",,0,"08/22/2026 13:26",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid03HeQ9YaUZVT824uetN6fLY8nBqToodWyhJs6Z4FW4c7djM1RVaPpHoVwvRwQrQG4l,0,0,Fotos,,,,,Total,8630,8630,0,6240,6240,0,0,0,0,0,0,0,149,125,14,10,,
1525937219569223,100064588783898,"Federação Paulista de Futebol - FPF","MOLEQUE TRAVESSO CLASSIFICADO!
O Juventus liderou o Grupo 3 e está garantido na próxima fase da Copa Paulista Rivalo!
#CopaPaulistaRivalo",,0,"08/22/2026 13:27",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid026E82fvTc9tU4R2Z7qK1gA4jjG3G7DPHfZsmPqN5RJYsZXoauUc6doy8SaNJpT64Rl,0,0,Fotos,,,,,Total,13392,13392,0,9504,9504,0,0,0,0,0,0,0,81,68,1,12,,
