"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Outros cliques","Consumo por direcionamento de público correspondente (Photo Click)","Cliques no link","Feedbacks negativos dos usuários: Ocultar tudo","Feedbacks negativos dos usuários: Ocultar","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio","Negative feedback from users: Ocultar tudo","Negative feedback from users: Ocultar"
1260345216259116,100068509496158,Copinha,"OLHA A TERCEIRA RODADA AÍ!
Confira os confrontos do Paulista Sub-11!
#PaulistaSub11",,0,"04/25/2026 04:00",N/A,https://www.facebook.com/copinha/posts/pfbid02ftft8JrqNWh8cAoPbL4LS8wyjPSaSgSEoDJtgt3box7mc6KWhKK39a43Q6XRkMavl,0,0,Fotos,,,,,Total,3225,2101,25,18,1,6,120,24,96,,,,,,,,,,
1339734164986887,100068509496158,Copinha,"MAIS UMA RODADA VEM AÍ!
Se liga nos confrontos da 9ª rodada do Paulista Sub-20 Série A!
#PaulistaSub20SérieA",,0,"07/30/2026 05:00",N/A,https://www.facebook.com/copinha/posts/pfbid02vD71YADzrUxacWhyvPFSmgx9vK5nxwGmu9BLzdZdU7mMxPAUPTGHvsfmSeg7wsr5l,0,0,Fotos,,,,,Total,2120,1446,27,24,1,2,48,20,28,,,,,,,,,,
1336709548622682,100068509496158,Copinha,"Ponto final! Vem cá conferir a rodada do Paulista Sub-12.
#PaulistaSub12",,0,"07/26/2026 14:22",N/A,https://www.facebook.com/copinha/posts/pfbid0fmMYwxC6c1NdiLMKa9q81X5VwHGaUx2qoEmZvC3k4PRSp142vEYgpP9FdBvK7C3xl,0,0,Fotos,,,,,Total,1863,1049,28,14,2,12,127,20,107,,,,,,,,,,
1336709051956065,100068509496158,Copinha,"Grandes jogos neste fim de semana pelo Paulista Sub-14.
#PaulistaSub14",,0,"07/26/2026 14:21",N/A,https://www.facebook.com/copinha/posts/pfbid0GcqNhKbWKP3qhWsYXMPnac5HxSErHWP7KbyHgBDPykXJFynTmc26WokkqdWjbZNMl,0,0,Fotos,,,,,Total,1146,661,16,7,2,7,87,11,76,,,,,,,,,,
1336708241956146,100068509496158,Copinha,"Fim de semana de Paulista Sub-17.
#PaulistaSub17",,0,"07/26/2026 14:19",N/A,https://www.facebook.com/copinha/posts/pfbid0CifJLqBMW9d8TW48E2yFfhiRPzfrhDMwx51iTduoGv4XnkvefLXUZTokBuhi4cCUl,0,0,Fotos,,,,,Total,1187,665,13,7,2,4,83,9,74,,,,,,,,,,
1336690055291298,100068509496158,Copinha,"Rodada 10 ✅
#PaulistaSub11",,0,"07/26/2026 13:41",N/A,https://www.facebook.com/copinha/posts/pfbid0mS5TBywizmstCctbx6eb4zVgrcdYw23kuME6w96oVZQHtEGc5QuRjtbb9fpHT1cjl,0,0,Fotos,,,,,Total,1509,904,30,15,2,13,81,14,67,,,,,,,,,,
1336689568624680,100068509496158,Copinha,"Décima rodada do Paulista Sub-13 concluída com sucesso. Se liga nos resultados.
#PaulistaSub13",,0,"07/26/2026 13:40",N/A,https://www.facebook.com/copinha/posts/pfbid0toCTLciHrJNZorPRcJjPNcTRiV2hDfeaJYtBDwxvgwhYcGsVRpkesaGqypytAbNAl,0,0,Fotos,,,,,Total,1731,982,28,14,1,13,155,34,121,,,,,,,,,,
1336689118624725,100068509496158,Copinha,"Assim terminou a 12ª rodada do Paulista Sub-15!
#PaulistaSub15",,0,"07/26/2026 13:39",N/A,https://www.facebook.com/copinha/posts/pfbid02rDgsNhwZeDhSsyDj2qC6DxHStqqNMhWtFdV3nbgSGVkGhjH1LQTwiC9uDZGnpY3vl,0,0,Fotos,,,,,Total,1084,596,12,5,2,5,60,10,50,,,,,,,,,,
1336688238624813,100068509496158,Copinha,"Olha o Sub-20 Série A passando pelo seu feed!
#PaulistaSub20SérieA",,0,"07/26/2026 13:37",N/A,https://www.facebook.com/copinha/posts/pfbid07d2deyULZvsLtRUe9vCJwUPqQx9K6mAkSjg9rokqSmgcSgZMZfsfo8Ecm2C96YH5l,0,0,Fotos,,,,,Total,7354,5091,57,46,4,7,134,59,75,,,,,,,,,,
1336687461958224,100068509496158,Copinha,"Bora pros resultados do Paulista Sub-20 Série B
#PaulistaSub20SérieB",,0,"07/26/2026 13:36",N/A,https://www.facebook.com/copinha/posts/pfbid0BbnmXDE8DCLtMgmnXHwovSnP9MprG5hz6VmmtVXXjs2eF2QntXjng7RmGFyS3MxSl,0,0,Fotos,,,,,Total,2909,2062,18,15,1,2,50,27,23,,,,,,,,,,
1336283661998604,100068509496158,Copinha,"DOMINGÃO DE RODADA 10! 😮💨
Vem conferir os jogos do Paulista Sub-13 e Sub-14! #PaulistaSub13 #PaulistaSub14",,0,"07/26/2026 03:00",N/A,https://www.facebook.com/copinha/posts/pfbid02FEg2FLimThi1Xv31sP2aUdYvcsS6L6JtmX1qXHTbciyuD2ggCRqcCy3EqgZHFdeCl,0,0,Fotos,,,,,Total,2155,1335,35,21,1,13,93,19,74,,,,,,,,,,
