"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Consumo por direcionamento de público correspondente (Photo Click)","Outros cliques","Feedbacks negativos dos usuários: Ocultar tudo","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio"
1374614278165542,100068509496158,Copinha,"🏆🇧🇷🥰 OS CRIAS DA COPINHA ESTARÃO JUNTOS NA SELEÇÃO BRASILEIRA!
Breno Bidon e Endrick, campeões e craques da Copinha 2024 e 2022, respectivamente.
#Copinha #SeleçãoBrasileira
📷 Agência Paulistão",,0,"09/09/2026 14:49",N/A,https://www.facebook.com/copinha/posts/pfbid02GhZSaWZoR588xkv7wv1dukknsyUesHSWUeHqDdRGxbFeBuDqMZK7VRzryPCTR1eFl,0,0,Fotos,,,,,Total,6290,4619,31,22,1,8,136,114,22,,,,,,
1373801218246848,100068509496158,Copinha,"Está concluída a 14ª rodada do Paulista Sub-20 Série A!
#PaulistaSub20SérieA",,0,"09/08/2026 16:03",N/A,https://www.facebook.com/copinha/posts/pfbid028fLppZF23aDGW52CZuYaVunYY7NEXVDPwx6sc6PcF88vEkmR7i4J2eAB6FATt3Gpl,0,0,Fotos,,,,,Total,15741,10856,103,92,6,5,320,163,157,,,,,,
1384723620487941,100068509496158,Copinha,"SEMIFINAIS DEFINIDAS!
Restam quatro equipes na disputa pelo título do Paulista Sub-20 Série B. Vem conferir os confrontos que vão definir os finalistas!
#PaulistaSub20SérieB",,0,"09/21/2026 15:18",N/A,https://www.facebook.com/copinha/posts/pfbid02G4KV3QCeqnZ3M3c2UZHcJ4eazeFGkij4RQDhtJ86fHcT8K25tttkeTkha2pX13rgl,0,0,Fotos,,,,,Total,1895,1420,14,12,1,1,30,25,5,,,,,,
1384700047156965,100068509496158,Copinha,"DE PÉ EM PÉ, DA DEFESA AO ATAQUE!
QUE BELO GOL DOS MENINOS DA VILA NO PAULISTA SUB-20!
#PaulistaSub20 #Santos","DE PÉ EM PÉ, DA DEFESA AO ATAQUE!
QUE BELO GOL DOS MENINOS DA VILA NO PAULISTA SUB-20!
#PaulistaSub20 #Santos",78,"09/21/2026 14:26",auto,https://www.facebook.com/reel/1650008403458842/,0,0,Vídeos,,,,,Total,1295,1236,28,26,1,1,15,,15,,13135.939,10.838,0,0,0
1384672297159740,100068509496158,Copinha,"QUE GOLAÇO DO VITINHO! 🚲⚽
O camisa 11 do Jabaquara marcou esse lindo gol de bicicleta contra o Santos no Paulista Sub-20!
#PaulistaSub20","QUE GOLAÇO DO VITINHO! 🚲⚽
O camisa 11 do Jabaquara marcou esse lindo gol de bicicleta contra o Santos no Paulista Sub-20!
#PaulistaSub20",71,"09/21/2026 13:29",auto,https://www.facebook.com/reel/1398158585781071/,0,0,Vídeos,,,,,Total,2589,2487,31,29,0,2,45,,45,,24847.444,10.084,0,0,0
1383860703907566,100068509496158,Copinha,"PASSOU A RÉGUA!
Vem conferir os resultados da 14ª rodada do #PaulistaSub14.",,0,"09/20/2026 13:41",N/A,https://www.facebook.com/copinha/posts/pfbid0a4ohewPMCW1ytK3H8iVte9t5NJ4JgYBzSj8UxPTibkk19u465j15gqLsJiHtKDmkl,0,0,Fotos,,,,,Total,2104,1196,20,16,2,2,178,149,29,,,,,,
1383796187247351,100068509496158,Copinha,"Assim terminou a Rodada 14 do #PaulistaSub13.",,0,"09/20/2026 11:56",N/A,https://www.facebook.com/copinha/posts/pfbid02zC1EgJ9i3Cm4ao8NaQXHEiYg47eS1YjnH8T1FoqhsmTwZv7YvcFukXHSEg22CmzRl,0,0,Fotos,,,,,Total,2138,1258,18,15,1,2,165,143,22,,,,,,
1383677577259212,100068509496158,Copinha,"SEMIFINAIS DEFINIDAS!
Restam quatro na disputa pelo título do Paulista Sub-20 Série B!
#PaulistaSubSerieB",,0,"09/20/2026 09:00",N/A,https://www.facebook.com/copinha/posts/pfbid0cqzxg5NhUQCNBRc5cDSQJRrhP2Adiz42hPjDjgG28Rr5ruyEHxR8DRv1LhH6Hz2Nl,0,0,Fotos,,,,,Total,4038,3050,19,15,1,3,46,16,30,,,,,,
1383674253926211,100068509496158,Copinha,"FIM DAS QUARTAS DE FINAL!
Vem conferir os resultados dos jogos da volta do Paulista Sub-20 Série B!
#PaulistaSub20SerieB",,0,"09/20/2026 08:55",N/A,https://www.facebook.com/copinha/posts/pfbid02dcZFPYQap93DpyZDQCVaPaRzvHkF9EKnBhEJjB8Zyf5Wbmt3uUq8E183myUMtq93l,0,0,Fotos,,,,,Total,2809,2066,14,12,1,1,31,14,17,,,,,,
1383470620613241,100068509496158,Copinha,"SEGUNDA FASE NA ÁREA!
Os jogos de ida do Paulista Sub-13 e do Paulista Sub-14 vão rolar nesse domingo e no próximo, dia 27!
#PaulistaSub13 #PaulistaSub14",,0,"09/20/2026 04:00",N/A,https://www.facebook.com/copinha/posts/pfbid02iT1TsECvhvMxUY7WhE7CAvGijBbUBXQnQcoGURD93XyKg4WntZDU9GYQWGgTaFAwl,0,0,Fotos,,,,,Total,1428,837,19,12,2,5,72,66,6,,,,,,
