"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Outros cliques","Consumo por direcionamento de público correspondente (Photo Click)","Feedbacks negativos dos usuários: Ocultar tudo","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio"
1356905469936423,100068509496158,Copinha,"FIM DE PAPO!
Chegou a hora de conferir os resultados da rodada 12 do #PaulistaSub20SérieA 👀",,0,"08/19/2026 10:31",N/A,https://www.facebook.com/copinha/posts/pfbid023CjYoZ7TkKwqY5zn68r7HY4CsFo6rZ8c2YwfnXDDwdR3pQR7S9zegBBPgTnYixfpl,0,0,Fotos,,,,,Total,10660,7378,79,74,1,4,234,112,122,,,,,,
1372070821753221,100068509496158,Copinha,"CONFRONTOS DEFINIDOS!
Assim ficaram os duelos das quartas de final do Paulista Sub-20 Série B:

Cosmopolitano x Brasilis
Paulista x Rio Branco
Comercial Tietê x Penapolense
Real Soccer x Taubaté

#PaulistaSub20SérieB",,0,"09/06/2026 13:27",N/A,https://www.facebook.com/copinha/posts/pfbid0GBjpiAugHgZcPjn4vBuqac75ogZQeiX25WQxJEZhGxMbgMGDidcA1juAPBSvrmqyl,0,0,Fotos,,,,,Total,10723,8064,88,62,6,20,183,108,75,,,,,,
1372057868421183,100068509496158,Copinha,"E lá se foram as oitavas de final do Paulista Sub-20 Série B! Confira os resultados das partidas de volta.
#PaulistaSub20SérieB",,0,"09/06/2026 13:04",N/A,https://www.facebook.com/copinha/posts/pfbid0gw61UbkW1VgNg6NPL3QXijGqjU8VS66t93fzG4gp3mxt2KL2s8qtUMR2qAKgRPNBl,0,0,Fotos,,,,,Total,4949,3681,27,25,1,1,58,27,31,,,,,,
1371915688435401,100068509496158,Copinha,"Rodada movimentada no Paulista Sub-12!
#PaulistaSub12",,0,"09/06/2026 09:25",N/A,https://www.facebook.com/copinha/posts/pfbid0nLJWEKcLFbv4EVE7mdKidk9i4ThycKmV6F6XqiaiBsEGE7xd5iZQgTNZG6VTa51al,0,0,Fotos,,,,,Total,2100,1220,31,16,2,13,162,30,132,,,,,,
1371915251768778,100068509496158,Copinha,"Hora de conferir os resultados da 13ª rodada do Paulista Sub-11!
#PaulistaSub11",,0,"09/06/2026 09:24",N/A,https://www.facebook.com/copinha/posts/pfbid0s9fL1WajBZRyjVJcGMrTgYRJq3wyXojTYxxBuahb1ZQdWfiYhePX73Y8QX1aysual,0,0,Fotos,,,,,Total,1537,962,31,13,3,15,115,18,97,,,,,,
1371333528493617,100068509496158,Copinha,"Mais uma rodada do Paulista Sub-17 concluída.
#PaulistaSub17",,0,"09/05/2026 17:23",N/A,https://www.facebook.com/copinha/posts/pfbid02vGBgKJG2Lzir71LoAJsxeC3gfHbDpJp9GoacahD3fgoTkoq6RL3HUchWuBpFJuZgl,0,0,Fotos,,,,,Total,2748,1533,29,24,1,4,195,37,158,,,,,,
1371332715160365,100068509496158,Copinha,"A 17ª rodada do Paulista Sub-15 chegou ao fim. Se liga nos resultados.
#PaulistaSub15",,0,"09/05/2026 17:22",N/A,https://www.facebook.com/copinha/posts/pfbid0f6VsJ2mZm8UQnAynMT6xgimiTSLM7rsbePHqthq2sXMpqhzMeQWWJbWxbUWLwS4Dl,0,0,Fotos,,,,,Total,2794,1709,31,24,2,5,192,39,153,,,,,,
1370865818540388,100068509496158,Copinha,"FIM DE SEMANA CHEIO!
A primeira fase do Paulista Sub-11 e Sub-12 está chegando ao fim... Confira os jogos dessa rodada!
#PaulistaSub11 #PaulistaSub12",,0,"09/05/2026 04:00",N/A,https://www.facebook.com/copinha/posts/pfbid06wdJXGv2vRpScFeaoPg3DnKJ1E9wq1TKMJVgHWHzTYNeKvW2LYKhZhXBrvtafwFxl,0,0,Fotos,,,,,Total,3063,2026,37,30,1,6,110,16,94,,,,,,
1370537451906558,100068509496158,Copinha,"É CAMPEÃO! É CAMPEÃO! 🏆💢
As #CriasDaColina conquistam o Brasileirão Sub-20!
#BrasileiroSub20 
🎥@vascobase","É CAMPEÃO! É CAMPEÃO! 🏆💢
As #CriasDaColina conquistam o Brasileirão Sub-20!
#BrasileiroSub20 
🎥@vascobase",30,"09/04/2026 18:32",N/A,https://www.facebook.com/reel/2006754419990826/,0,0,Vídeos,,,,,Total,2804,2598,67,60,2,5,41,41,,,16430.756,6.435,0,0,0
1370490361911267,100068509496158,Copinha,"VAMOS TODOS CANTAR DE CORAÇÃO! 🏆💢
O Vasco da Gama é o grande campeão do Brasileiro Sub-20 2026!
#BrasileiroSub20",,0,"09/04/2026 16:59",N/A,https://www.facebook.com/copinha/posts/pfbid03KiyLWg6ksqibEStYpXG6yTNvCuSjzBfd8vCZmghw2rSsbyjsxoWWvENcr1HQ235l,0,0,Fotos,,,,,Total,7355,5381,294,212,6,76,153,99,54,,,,,,
1370375125256124,100068509496158,Copinha,"SABE O QUE FAZ! 
O Angelo abriu o placar para o Tricolor no Paulista Sub-20 Série A com categoria 🤩🔥
#PaulistaSub20SérieA","SABE O QUE FAZ! 
O Angelo abriu o placar para o Tricolor no Paulista Sub-20 Série A com categoria 🤩🔥
#PaulistaSub20SérieA",46,"09/04/2026 13:01",auto,https://www.facebook.com/reel/2866464383730303/,1,0,Vídeos,,,,,Total,2323,2246,18,17,1,0,27,27,,,16402.891,7.428,0,0,0
