"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Consumo por direcionamento de público correspondente (Photo Click)","Outros cliques","Feedbacks negativos dos usuários: Ocultar"
1341339181493052,100068509496158,Copinha,"OLHA AÍ QUEM CHEGOU!
A 13ª rodada do #PaulistaSub15 e do #PaulistaSub17 tá na área 🤩",,0,"08/01/2026 02:00",N/A,https://www.facebook.com/copinha/posts/pfbid028YYtmU74MAQ6ivth7SNePdKJqHPb3tRkPtJ34grwUgFs7g2YSkEGbkULVruKrmYvl,0,0,Fotos,,,,,Total,1915,1081,39,32,1,6,89,77,12,
1340561131570857,100068509496158,Copinha,"CHEGOU MAIS UMA!
A nona rodada do Paulista Sub-20 Série B vai começar nesta sexta-feira 🤩
#PaulistaSub20SérieB",,0,"07/31/2026 04:00",N/A,https://www.facebook.com/copinha/posts/pfbid036PWBzC2wvuSr7y7uTnEqbrCV2MNq8YrJR7ggvW1xrL6rGavecG7oQYv4CRVLyuBgl,0,0,Fotos,,,,,Total,4403,3066,29,26,1,2,66,44,22,
1354500016843635,100068509496158,Copinha,"Foi assim que terminou mais uma rodada do Paulista Sub-14!
#PaulistaSub14",,0,"08/16/2026 13:41",N/A,https://www.facebook.com/copinha/posts/pfbid02KViYbRHPaoWBvSQFk31Hb9G8W25NR1Ezs3LDAy3Wdp2cFFBTkZuai5NFqkAbvB8bl,0,0,Fotos,,,,,Total,1854,991,34,18,2,14,200,166,34,
1354450360181934,100068509496158,Copinha,"Vamos aos resultados da 12ª rodada do Paulista Sub-13!
#PaulistaSub13",,0,"08/16/2026 12:22",N/A,https://www.facebook.com/copinha/posts/pfbid0u7mqRUjHyy2SSrhdb1RGAjHuwngSTaK67iR9U3HP79wDoMJNKfCu3gen8N15xqEEl,0,0,Fotos,,,,,Total,1666,942,25,13,2,10,161,131,30,
1354309300196040,100068509496158,Copinha,"Se liga nos resultados dos jogos do Paulista Sub-17 que rolaram ao longo do fim de semana.
#PaulistaSUb17",,0,"08/16/2026 09:09",N/A,https://www.facebook.com/copinha/posts/pfbid02VTDis8KcoQfkwJZDhM7DyjamT9W9P1htigBqggUDse7xky6g5FG9QU8aycFrQPrUl,0,0,Fotos,,,,,Total,1785,1069,26,18,1,7,126,104,22,
1354308750196095,100068509496158,Copinha,"Fim de semana agitado no Paulista Sub-15!
#PaulistaSub15",,0,"08/16/2026 09:09",N/A,https://www.facebook.com/copinha/posts/pfbid02YndZp3xUwjC9eztHW31WaddkKt263wjds9j4z8bG9XVDsGV6bFU4kuLnCmmxQSHyl,0,0,Fotos,,,,,Total,1467,903,21,14,1,6,101,76,25,
1353676220259348,100068509496158,Copinha,"A ida da segunda fase já foi. Se liga nos resultados.
#PaulistaSub20SérieA",,0,"08/15/2026 14:40",N/A,https://www.facebook.com/copinha/posts/pfbid037uXYXYMJCTVjaPnuxhgAnDB8YJWuqD38CnCez7kg1Y61Fr4D5c3isduXaBfkX4JXl,0,0,Fotos,,,,,Total,8711,6219,47,43,1,3,178,94,84,
1353234860303484,100068509496158,Copinha,"BORA PARA A SEGUNDA FASE!
24 jogos para começar mais uma etapa do #PaulistaSub17 🤩",,0,"08/15/2026 03:30",N/A,https://www.facebook.com/copinha/posts/pfbid0A5tLoi1y2SrBhDGfQcmTWcaMvnDUBQ1kbBECoL7YppFf2NEnxYJpnUMSKtAzowFel,0,0,Fotos,,,,,Total,2508,1595,30,25,2,3,120,94,26,
1353216983638605,100068509496158,Copinha,"FIM DE SEMANA CHEIO!
Esses são os duelos da 12ª rodada do Paulista Sub-13 e do Paulista Sub-14!
#PaulistaSub13 #PaulistaSub14",,0,"08/15/2026 03:00",N/A,https://www.facebook.com/copinha/posts/pfbid02k9AgguNPB246u2ye3jqxdBoHgErjJaCUECLCcyxkeFcHtchwpDbS4wEoAHwJTBTVl,0,0,Fotos,,,,,Total,1636,955,27,21,0,6,113,82,31,
1353179640309006,100068509496158,Copinha,"CHEGOU CHEGANDO!
A segunda fase do Paulista Sub-15 promete demais! Vem conferir os jogos desta rodada.
#PaulistaSub15",,0,"08/15/2026 02:00",N/A,https://www.facebook.com/copinha/posts/pfbid02faYyb5HZaFYBMCZugtd5w4t5qWSmqEmncFAnigZ1TCkV1AkLdq7gjoPSV3S13QX7l,0,0,Fotos,,,,,Total,1008,595,12,10,1,1,35,32,3,
1349390454021258,100068509496158,Copinha,"CHEGOU A HORA DA 11ª RODADA! 
Vem conferir os dias e horários dos próximos jogos do #PaulistaSub20SérieA 🤩",,0,"08/10/2026 13:27",N/A,https://www.facebook.com/copinha/posts/pfbid0rvDWJmCXeTadMnFZYqnz8iJwZNgaVupVdD1NjsHaSoJ7jKP8UWz32euHXSHHpw53l,0,0,Fotos,,,,,Total,5423,3607,57,50,2,5,98,56,42,
1348628064097497,100068509496158,Copinha,"Mais uma rodada completa no Paulista Sub-12.
#PaulistaSub12",,0,"08/09/2026 15:11",N/A,https://www.facebook.com/copinha/posts/pfbid0Jw4gc3WwS8HakShDqLH5N5bTw3aixBABH6m7jgfExu1YpSsduB4Y8C1XU3rGGBW8l,0,0,Fotos,,,,,Total,1582,829,32,23,1,8,109,89,20,
1348526204107683,100068509496158,Copinha,"Vamos aos resultados da 11ª rodada do Paulista Sub-11.
#PaulistaSub11",,0,"08/09/2026 11:54",N/A,https://www.facebook.com/copinha/posts/pfbid0JLLQsbWcDBXUiJBvzJfuAUu4KjYTkcwRgp8i67vcseTrSBXiHXr91aCaHUmm9Ef8l,0,0,Fotos,,,,,Total,2487,1347,28,15,1,12,182,150,32,
1347696517523985,100068509496158,Copinha,"Rodada completa no Paulista Sub-20 Série A!
#PaulistaSub20SérieA",,0,"08/08/2026 12:58",N/A,https://www.facebook.com/copinha/posts/pfbid0LG4G3gxx6TpPVbjqTHpABFvSpKNKdu5FpftbpLsbP9ygTeCYNpP3XqXpQrDpNrYRl,0,0,Fotos,,,,,Total,10402,6820,73,64,4,5,198,116,82,
1347674840859486,100068509496158,Copinha,"GRUPOS DEFINIDOS!
Se liga só como ficou a divisão de clubes para a segunda fase do Paulista Sub-17!
#PaulistaSub17",,0,"08/08/2026 12:16",N/A,https://www.facebook.com/copinha/posts/pfbid02u8yTAV8emCcSXMWLqnCx9XwABhvvwtWiuvhfYNYJf7wWCfy1tvGPEtHWcvgQVGdJl,0,0,Fotos,,,,,Total,3034,1825,116,19,2,95,182,145,37,
1347665557527081,100068509496158,Copinha,"Chegou a hora de ver os resultados da última rodada da primeira fase do Paulista Sub-17!
#PaulistaSub17",,0,"08/08/2026 12:00",N/A,https://www.facebook.com/copinha/posts/pfbid02n7jGgjj4sb1ndzf9cip3WcNbjwbhb1YSnk36BRWbe9df3r4ogpUEPze1mGVAD6M1l,0,0,Fotos,,,,,Total,2040,1166,21,17,2,2,148,130,18,
1347648130862157,100068509496158,Copinha,"GRUPOS DEFINIDOS!
Se liga só como ficou a divisão de clubes para a segunda fase do Paulista Sub-15!
#PaulistaSub15",,0,"08/08/2026 11:30",N/A,https://www.facebook.com/copinha/posts/pfbid02qSvSsFrPACf6DhaxtXDYLiFYQGARTyWnTqUdB1RJ8izHXcexrEwiZ2C9Mpnvts5Zl,0,0,Fotos,,,,,Total,4646,2871,155,39,1,115,316,242,74,
1347558187537818,100068509496158,Copinha,"A foi assim que terminou a última rodada da fase de grupos do Paulista Sub-15!
#PaulistaSub15",,0,"08/08/2026 09:11",N/A,https://www.facebook.com/copinha/posts/pfbid0aDrGyhxuo7jh6ehVzpa2uqZoHksdhceKbML4ToZhqiJgtXomrgQnySmmMLHsk6JDl,0,0,Fotos,,,,,Total,1598,858,23,16,1,6,106,90,16,
1347347530892217,100068509496158,Copinha,"Sábado e domingo com muito futebol no Paulista Sub-11 e Sub-12!
#PaulistaSub11 #PaulistaSub12",,0,"08/08/2026 04:00",N/A,https://www.facebook.com/copinha/posts/pfbid0FbYWGv8JMzHymgDPL3PV8WKJYeG1AjmKTHKsDkipMJ5GDdaKwWbPaLbYnMnHRDmZl,0,0,Fotos,,,,,Total,1341,767,24,17,1,6,67,49,18,
1347312157562421,100068509496158,Copinha,"A PRIMEIRA FASE VAI CHEGAR AO FIM!
Esses são os confrontos da última rodada da primeira fase do Paulista Sub-15 e Sub-17!
#PaulistaSub15 #PaulistaSub17",,0,"08/08/2026 03:00",N/A,https://www.facebook.com/copinha/posts/pfbid0PjzCHf7LVPyrz4rDCw3iyXHjQX498WCBDHBHb1LRfMmhFMFU7Znd4J4jG7UJhrful,0,0,Fotos,,,,,Total,1853,1141,22,17,0,5,94,79,15,
1346901830936787,100068509496158,Copinha,"A ÚLTIMA DA PRIMEIRA FASE!
Vem conferir os resultados da 10ª rodada do Paulista Sub-20 Série B!
#PaulistaSub20SérieB",,0,"08/07/2026 13:42",N/A,https://www.facebook.com/copinha/posts/pfbid0wpAPbhWZQeYUKXfRPiiWnwrxeJEccAj59cUED8YS6mKFfaniMKj31mDegkDek3Eyl,0,0,Fotos,,,,,Total,4790,3140,44,40,2,2,122,68,54,
1346570557636581,100068509496158,Copinha,"RODADA 10 NA ÁREA!
Bora para mais uma no Paulista Sub-20 Série B!
#PaulistaSub20SérieB",,0,"08/07/2026 05:00",N/A,https://www.facebook.com/copinha/posts/pfbid0rHCDY4LvvuR7Qz5ddhTu92jogy1gaw14ZsjBf6WfNJA854uFJ9uHWqhntxvatfFml,0,0,Fotos,,,,,Total,8526,6085,61,56,2,3,140,82,58,
1343384341288536,100068509496158,Copinha,"A maior competição de base do mundo completa todos os corações ❤️
#CopinhaSil",,0,"08/03/2026 11:00",N/A,https://www.facebook.com/copinha/posts/pfbid02RmViiWJfyzwLQKtJR2cvzmDkRs2qgh85VVxenvjA2sa7LoRu5UNXuse1m1Vjk6EPl,0,0,Fotos,,,,,Total,1235,814,11,8,2,1,18,5,13,
1342750091351961,100068509496158,Copinha,"Mais um grande fim de semana no Paulista Sub-14!
#PaulistaSub14",,0,"08/02/2026 17:19",N/A,https://www.facebook.com/copinha/posts/pfbid02p5doWtGuKaqcT9iMqU7Bxog16Nw9XcTJaz4HKVmaVMMRPcoHWHEbCuRL3fVJvsFPl,0,0,Fotos,,,,,Total,1842,1121,26,17,2,7,101,85,16,
1342642551362715,100068509496158,Copinha,"Se liga só como foi a nona rodada do Paulista Sub-20 Série A!
#PaulistaSub20SérieA",,0,"08/02/2026 13:36",N/A,https://www.facebook.com/copinha/posts/pfbid02TVrqWkuZ9rS2jns6kJZvaXR2awi6U17a93ucpcz3WMeEoJt2s14vYCinAEWkXhuJl,0,0,Fotos,,,,,Total,26709,17269,176,149,15,12,772,397,375,1
1342608674699436,100068509496158,Copinha,"OLHA AÍ!
A 11ª rodada do Paulista Sub-13!
#PaulistaSub13",,0,"08/02/2026 12:37",N/A,https://www.facebook.com/copinha/posts/pfbid02ecxsjv8H2vsdTSuvCo7pEthXje2oVzvKamueCwADfZAKzjTwmeqJSPEw1uC7niY5l,0,0,Fotos,,,,,Total,3039,1823,39,18,2,19,227,178,49,
1342552034705100,100068509496158,Copinha,"Bora ver os resultados da 13ª rodada do Paulista Sub-17!
#PaulistaSub17",,0,"08/02/2026 11:10",N/A,https://www.facebook.com/copinha/posts/pfbid023hfNCCviafUniVqy6VqtBTe7fFsYhPtoait95ngMVfeqnLzyBDJDrwiFY1EtVLnAl,0,0,Fotos,,,,,Total,2141,1236,32,24,2,6,164,137,27,
1342551544705149,100068509496158,Copinha,"Mais uma rodada completa no Paulista Sub-15!
#PaulistaSub15",,0,"08/02/2026 11:09",N/A,https://www.facebook.com/copinha/posts/pfbid02mUGePDrNSf6EeqtUkzKFfAtfzBi3XmvrBhoQXLQVDfrnEqmK1urk6DYEULyUsT8Bl,0,0,Fotos,,,,,Total,1764,977,24,18,1,5,129,108,21,
1341788031448167,100068509496158,Copinha,"Se liga só nos resultados da nona rodada do Paulista Sub-20 Série B.
#PaulistaSub20SérieB",,0,"08/01/2026 13:36",N/A,https://www.facebook.com/copinha/posts/pfbid0jJgNC9AcQef8T3Ym41Ty9cm5bkXY2zKuBYZ3QN87vZfLSCGMW9dgZ8WTyMSNPUjZl,0,0,Fotos,,,,,Total,6995,4818,31,28,0,3,91,58,33,
1341532141473756,100068509496158,Copinha,"TEM MOLECADA EM CAMPO!
Se liga nos jogos do Paulista Sub-13 e do Paulista Sub-14 desse final de semana. 
#PaulistaSub13 #PaulistaSub14",,0,"08/01/2026 07:00",N/A,https://www.facebook.com/copinha/posts/pfbid0284vNMRoBJktmwyxrCni4TWFKfnX5gU5ss2Yuup5Qw5uk9HtAiDMyTPx8CV6EujZyl,0,0,Fotos,,,,,Total,3574,2357,37,28,2,7,148,121,27,
