"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Feedbacks negativos dos usuários: Ocultar tudo","Feedbacks negativos dos usuários: Ocultar","Total de cliques","Outros cliques","Consumo por direcionamento de público correspondente (Photo Click)","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio","Cliques no link"
964139599665383,100082080567569,"Paulistão F","SÓ LOVE COM O FANATICÃO! 🥰
#FestivalFemininoSub14","SÓ LOVE COM O FANATICÃO! 🥰
#FestivalFemininoSub14",14,"05/30/2026 14:20",uploaded,https://www.facebook.com/reel/1018380357368329/,1,0,Vídeos,,,,,Total,382,370,10,10,0,0,,,0,,,857.328,2.415,0,0,0,
964139799665363,100082080567569,"Paulistão F","Com o Corinthians garantido na próxima fase da Copa do Brasil Feminina, esse foi o sábado das equipes do #FutebolPaulista.
#ElasEmCampo",,0,"05/30/2026 14:20",N/A,https://www.facebook.com/paulistaof/posts/pfbid0GLzB8syAWxaHxeivDSjwnwAd8CGy7eG7R9QFZqU1Dvn5P4RtrGyDhkjybTmFdfhql,0,0,Fotos,,,,,Total,11057,7964,73,68,3,2,1,,147,76,71,,,,,,
964152282997448,100082080567569,"Paulistão F","TOTALMENTE PREMIADAS! 🏅
Fim do primeiro dia de Festival Feminino em Matão!
#FestivalFemininoSub14","TOTALMENTE PREMIADAS! 🏅
Fim do primeiro dia de Festival Feminino em Matão!
#FestivalFemininoSub14",118,"05/30/2026 14:46",N/A,https://www.facebook.com/reel/1013255204388169/,1,0,Vídeos,,,,,Total,666,653,15,15,0,0,,,8,8,,3529.037,5.488,0,0,0,
964160756329934,100082080567569,"Paulistão F","“𝘼 𝙜𝙚𝙣𝙩𝙚 𝙛𝙚𝙯 𝙪𝙢𝙖 𝙘𝙤𝙧𝙚𝙤𝙜𝙧𝙖𝙛𝙞𝙖 𝙙𝙤 𝙈𝙞𝙘𝙝𝙖𝙚𝙡 𝙅𝙖𝙘𝙠𝙨𝙤𝙣!” 🕺
Além de jogar futebol, as meninas da @ajvvpaiao_ também montam passos de dança!
#FestivalFemininoSub14","“𝘼 𝙜𝙚𝙣𝙩𝙚 𝙛𝙚𝙯 𝙪𝙢𝙖 𝙘𝙤𝙧𝙚𝙤𝙜𝙧𝙖𝙛𝙞𝙖 𝙙𝙤 𝙈𝙞𝙘𝙝𝙖𝙚𝙡 𝙅𝙖𝙘𝙠𝙨𝙤𝙣!” 🕺
Além de jogar futebol, as meninas da @ajvvpaiao_ também montam passos de dança!
#FestivalFemininoSub14",10,"05/30/2026 15:05",N/A,https://www.facebook.com/reel/1308825284552929/,1,0,Vídeos,,,,,Total,924,820,14,14,0,0,,,3,3,,2801.033,3.358,0,0,0,
964566066289403,100082080567569,"Paulistão F","DE 👀 NA AGENDA!
Esses são os jogos que vão agitar o #FestivalPaulistaFemininoSub12 neste domingo.",,0,"05/31/2026 03:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02MUN5cHaDCDVbmYJywmJZZds9jh8KUHUXhF9qouucwuaizcX74EpqRo2HerjoK3N7l,0,0,Fotos,,,,,Total,1398,1081,12,12,0,0,,,31,10,21,,,,,,
964624586283551,100082080567569,"Paulistão F","BORA PARA O SEGUNDO DIA! ☀️
Bom dia para quem tá preparado para o Festival Feminino Sub-12! 
#FestivalFemininoSub12","BORA PARA O SEGUNDO DIA! ☀️
Bom dia para quem tá preparado para o Festival Feminino Sub-12! 
#FestivalFemininoSub12",30,"05/31/2026 04:34",N/A,https://www.facebook.com/reel/1775661203400962/,1,0,Vídeos,,,,,Total,6223,5954,51,50,0,1,,,9,9,,26213.754,4.505,0,0,0,
964654292947247,100082080567569,"Paulistão F","@rbecfeminino MANDANDO O PASSINHO! 💃
As coreografias começaram cedo por aqui!
#FestivalFemininoSub12","@rbecfeminino MANDANDO O PASSINHO! 💃
As coreografias começaram cedo por aqui!
#FestivalFemininoSub12",13,"05/31/2026 05:20",uploaded,https://www.facebook.com/reel/838492398900510/,1,0,Vídeos,,,,,Total,6475,5817,56,55,1,0,,,12,12,,21116.177,3.651,0,0,0,
964681712944505,100082080567569,"Paulistão F","NO PRIMEIRO JOGO, DEU REALIDADE JOVEM!
Agora é hora de buscar a classificação em casa no @brfeminino A3!
#ElasEmCampo",,0,"05/31/2026 06:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02LrSA6quTbrerJfRtdPfpdV45dp2ZfsxFxNvsauXUp2i8QsfzguCjotXcL9YEhsqfl,0,0,Fotos,,,,,Total,4938,3764,26,24,2,0,,,44,26,18,,,,,,
964684912944185,100082080567569,"Paulistão F","FESTIVAL COM ELAS! 🌟
O Festival Feminino Sub-12 é bom, mas em boa companhia é muito mais legal!
#FestivalFemininoSub12 #Lalaland","FESTIVAL COM ELAS! 🌟
O Festival Feminino Sub-12 é bom, mas em boa companhia é muito mais legal!
#FestivalFemininoSub12 #Lalaland",14,"05/31/2026 06:04",N/A,https://www.facebook.com/reel/958066627043606/,1,0,Vídeos,,,,,Total,5922,5425,27,27,0,0,,,5,5,,18323.313,3.44,0,0,0,
964716202941056,100082080567569,"Paulistão F","TEM QUE TER FRIEZA! 🥶
Ana Laura, camisa 8 da @womensocceracademy, converteu o pênalti e garantiu a virada das Blues! 🩵
#FestivalFemininoSub12","TEM QUE TER FRIEZA! 🥶
Ana Laura, camisa 8 da @womensocceracademy, converteu o pênalti e garantiu a virada das Blues! 🩵
#FestivalFemininoSub12",31,"05/31/2026 06:50",N/A,https://www.facebook.com/reel/4422335421384999/,1,0,Vídeos,,,,,Total,6221,5860,52,52,0,0,,,20,19,,36219.39,6.306,0,0,0,1
