"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,"Visualizações de Posts orgânicos","Visualizações de Posts turbinados",Alcance,"Alcance de Posts orgânicos","Alcance de Posts turbinados","Visualizações de 3 segundos do vídeo","Visualizações do vídeo de 1 minuto","Visualizadores de 3 segundos","Visualizadores de 1 minuto","Visualizações do vídeo de 3 segundos de Posts turbinados","Visualizações do vídeo de 3 segundos de Posts orgânicos","Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Segundos de visualização","Média de Segundos de visualização"
775763478502997,100082080567569,"Paulistão F","TUDO PRONTO!
Hoje é dia de jogão no Paulistão Feminino Sicredi!
#PaulistãoFemininoSicredi
📷Fernanda Luz/Ag. Paulistão",,0,"10/02/2025 12:26",N/A,https://www.facebook.com/paulistaof/posts/pfbid02ZqU5ZTwTe2XL3WkVuyMHgv83QAHYJhYNmSzhKZBFHdeCH86jALKjpc6bozAWCGw7l,0,0,Fotos,,,,,Total,10880,10880,0,8521,8521,0,0,0,0,0,0,0,46,44,1,1,,
800502782695733,100082080567569,"Paulistão F","DIA DE JOGÃO!
Corinthians e São Paulo entram em campo neste sábado no Superclássico Sicredi da rodada. Quem vai levar a melhor? 
#PaulistãoFemininoSicredi",,0,"10/31/2025 20:05",N/A,https://www.facebook.com/paulistaof/posts/pfbid02nmjuzZL3hYPN4sHGKGHKqptzCtdxye95dCNnquAwzJM2NX9R65WjmjMH8MysKQdwl,0,0,Fotos,,,,,Total,101468,101468,0,69188,69188,0,0,0,0,0,0,0,1382,1263,78,41,,
800475989365079,100082080567569,"Paulistão F","OLHA ELA AÍ!
A classificação ficou assim ao término dos jogos desta sexta-feira.
#PaulistãoFemininoSicredi",,0,"10/31/2025 19:23",N/A,https://www.facebook.com/paulistaof/posts/pfbid0BnBUrdse9dky1sBPgBLXJWJTyS8MNdBzXt58Zbck3SYQgn7urFdJtcZ3SHsC6wc8l,0,0,Fotos,,,,,Total,48885,48885,0,32049,32049,0,0,0,0,0,0,0,398,366,19,13,,
800472106032134,100082080567569,"Paulistão F","A sexta-feira de Paulistão Feminino Sicredi foi toda dos mandantes.
#PaulistãoFemininoSicredi",,0,"10/31/2025 19:16",N/A,https://www.facebook.com/paulistaof/posts/pfbid034x5F3t1eFVv6m1b8fA1Cv5TcR1Ag5LGEvWeqFecgPvrwoUWfhXMc4dXJJvMdjF5xl,0,0,Fotos,,,,,Total,40862,40862,0,28844,28844,0,0,0,0,0,0,0,72,67,4,1,,
800464359366242,100082080567569,"Paulistão F","VITÓRIA VERDE!
Fe Palermo marca e garante os três pontos para o Palmeiras!
#PaulistãoFemininoSicredi
📷Guilherme Veiga/Ag. Paulistão",,0,"10/31/2025 19:05",N/A,https://www.facebook.com/paulistaof/posts/pfbid02hWcCSJbjqUCXictFPxiPXKg5qWuuAqBFMLcmwYgzdqAKRqk5QBAewepHpJhYAoS3l,0,0,Fotos,,,,,Total,1686,1686,0,1140,1140,0,0,0,0,0,0,0,62,56,2,4,,
800454709367207,100082080567569,"Paulistão F","TEM GOL DO VERDÃO!  Fe Palermo aber o placar na Arena Barueri!  #PaulistãoFemininoSicredi","TEM GOL DO VERDÃO!
Fe Palermo abre o placar na Arena Barueri!
#PaulistãoFemininoSicredi",38,"10/31/2025 18:49",N/A,https://www.facebook.com/reel/720508163720933/,0,0,Vídeos,,,,,Total,1249,1245,0,1218,1218,0,707,0,693,0,0,707,39,38,0,1,10148.749,8.615
800423749370303,100082080567569,"Paulistão F","PLACAR ZERADO!
Nada de gols no primeiro tempo da Arena Barueri.
#PaulistãoFemininoSicredi
📷Guilherme Veiga/Ag. Paulistão",,0,"10/31/2025 17:54",N/A,https://www.facebook.com/paulistaof/posts/pfbid058foZDfD1FNtr827C28P6RGT7jwUHmZF3U5VpzfWchpXV65iwLYMFg7avByVPHiRl,0,0,Fotos,,,,,Total,1213,1213,0,844,844,0,0,0,0,0,0,0,18,18,0,0,,
800406932705318,100082080567569,"Paulistão F","NOITE DE ESTREIA!
A treinadora Rosana Augusto faz nesta sexta-feira seu primeiro jogo no comando do Palmeiras.
#PaulistãoFemininoSicredi 
📷Guilherme Veiga/Ag. Paulistão",,0,"10/31/2025 17:21",N/A,https://www.facebook.com/paulistaof/posts/pfbid02TyAjJiYczvu6gn8owzGegZgjXzUdRWNLcQ2NCtHjnSncig6m96vvuVdRtfv86Q3Vl,0,0,Fotos,,,,,Total,37919,37919,0,26238,26238,0,0,0,0,0,0,0,533,512,18,3,,
800393302706681,100082080567569,"Paulistão F","DOIS VIRA, QUATRO ACABA!
Teve goleada do Santos na Arena Inamar!
#PaulistãoFemininoSicredi 
📷Rafael Assunção/Ag. Paulistão",,0,"10/31/2025 16:56",N/A,https://www.facebook.com/paulistaof/posts/pfbid0XUjjkwunkiHxWqqhfAcqmh2gmFAjb2h9fVpkUi5n8VEnLPrZ8Ja3en1iWe6KGMy5l,0,0,Fotos,,,,,Total,5634,5634,0,4227,4227,0,0,0,0,0,0,0,58,56,0,2,,
800389092707102,100082080567569,"Paulistão F","SEM CHANCES!
Marussi recebeu passe de Laryh e deu o tapa pro fundo da rede. Virou goleada!
#PaulistãoFemininoSicredi","SEM CHANCES!
Marussi recebeu passe de Laryh e deu o tapa pro fundo da rede. Virou goleada!
#PaulistãoFemininoSicredi",22,"10/31/2025 16:47",N/A,https://www.facebook.com/reel/802431892690839/,0,0,Vídeos,,,,,Total,5131,4872,0,4816,4816,0,2867,0,2765,0,0,2867,39,38,0,1,42517.288,9.711
800387539373924,100082080567569,"Paulistão F","VAMOS PRA MAIS UM!
Preparação finalizada. Chegou a hora do jogo!
#PaulistãoFemininoSicredi
📷Guilherme Veiga/Ag. Paulistão",,0,"10/31/2025 16:45",N/A,https://www.facebook.com/paulistaof/posts/pfbid0rCHYqTyakDuXmFoFWcjgLKUvM32BSDJtF3WQc76W1PUBMMgxRyBgJaM1FC3ovkcSl,0,0,Fotos,,,,,Total,1177,1177,0,847,847,0,0,0,0,0,0,0,15,15,0,0,,
800385036040841,100082080567569,"Paulistão F","ELA BROCA!
Hoje tem gol da Laryh!
#PaulistãoFemininoSicredi","ELA BROCA!
Hoje tem gol da Laryh!
#PaulistãoFemininoSicredi",29,"10/31/2025 16:40",N/A,https://www.facebook.com/reel/1195675905795470/,0,0,Vídeos,,,,,Total,870,869,0,849,849,0,515,0,498,0,0,515,16,16,0,0,7921.849,10.143
800378979374780,100082080567569,"Paulistão F","PARTIU!
A Arena Barueri recebe o jogão entre Palmeiras e Red Bull Bragantino!
#PaulistãoFemininoSicredi
📷Guilherme Veiga/Ag. Paulistão",,0,"10/31/2025 16:30",N/A,https://www.facebook.com/paulistaof/posts/pfbid0xQgLf2xkXZ1ZNJFTFFygYwsgxBnoj5dcCWKSdPMLVnCrZM2HG7NNBRqT73gCq6KLl,0,0,Fotos,,,,,Total,1247,1247,0,931,931,0,0,0,0,0,0,0,9,9,0,0,,
800360269376651,100082080567569,"Paulistão F","SEREIAS NA FRENTE!
O Santos vai para o intervalo com a vantagem no placar.
#PaulistãoFemininoSicredi 
📷Rafael Assunção/Ag. Paulistão",,0,"10/31/2025 15:53",N/A,https://www.facebook.com/paulistaof/posts/pfbid0kVhy5zPna5wscbqBWChSr46FRFnuRXA53fMVrP5va6q34kyYV2y73oiug7LmNq8Gl,0,0,Fotos,,,,,Total,3215,3215,0,2325,2325,0,0,0,0,0,0,0,32,31,0,1,,
800329496046395,100082080567569,"Paulistão F","AQUECIMENTO FINALIZADO!
Bora pro jogo!
#PaulistãoFemininoSicredi
📷Rafael Assunção/Ag. Paulistão",,0,"10/31/2025 14:52",N/A,https://www.facebook.com/paulistaof/posts/pfbid02kW9DiLsd1kTWaucWKcaFhsrecDiVfVgZ5r6c8aSU4XmZ1ut8mkzqyzZkSEcQG5KCl,0,0,Fotos,,,,,Total,3832,3832,0,2749,2749,0,0,0,0,0,0,0,28,27,1,0,,
800313492714662,100082080567569,"Paulistão F","SEXTAMOS, HEIN!
Pra começar os trabalhos do fim de semana, que tal um Santos e Taubaté pelo Paulistão Feminino Sicredi? Só bora!
#PaulistãoFemininoSicredi
📷Rafael Assunção/Ag. Paulistão",,0,"10/31/2025 14:20",N/A,https://www.facebook.com/paulistaof/posts/pfbid0bAnicwYxX3TS1kd5HzrGxYpDFKJitvHpsEEZusxwo1mD3Dd9R75KamFRcfaZhQ9kl,0,0,Fotos,,,,,Total,811,811,0,573,573,0,0,0,0,0,0,0,8,7,0,1,,
800273206052024,100082080567569,"Paulistão F","SEM SUSTOS!
Palmeiras e Red Bull Bragantino comemoram o Dia das Bruxas em campo pelo Paulistão Feminino Sicredi 👻
#PaulistãoFemininoSicredi",,0,"10/31/2025 13:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02Z2Q28t1Vg31R3KNZkKNweKYAHwqXtjmCfiXyxJpbjrEXBDr8yyryEx5YFQVgoWmhl,0,0,Fotos,,,,,Total,11224,11224,0,8061,8061,0,0,0,0,0,0,0,85,83,0,2,,
800203696058975,100082080567569,"Paulistão F","GOSTOSURAS OU TRAVESSURAS?
Nada disso! É dia de #PaulistãoFemininoSicredi por aqui 🎃",,0,"10/31/2025 11:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid0NNhwu3mU5v8jBd9P19yfc2L9c4JrqQJ6PMSpTtVWqP9o5kLo5ygLhvTjreB3boK4l,0,0,Fotos,,,,,Total,8885,8885,0,6480,6480,0,0,0,0,0,0,0,49,46,2,1,,
800003089412369,100082080567569,"Paulistão F","ESCOLHA SEU FEITIÇO!🧙‍♀️
Nada como comemorar o #DiaDasBruxas com dose dupla no Paulistão Feminino Sicredi!
#PaulistãoFemininoSicredi",,0,"10/31/2025 06:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid032FBS2brJVAsvDh6UxJNTWgdyaTMZgrad6GF5dKL4ud132RBWw3yXACjoiHQb4aPl,0,0,Fotos,,,,,Total,13901,13901,0,9749,9749,0,0,0,0,0,0,0,130,118,4,8,,
799926046086740,100082080567569,"Paulistão F","O TERCEIRO TÍTULO DO BOTUCATU! 🏆✨
No dia 31 de outubro de 2009, o Botucatu conquistava sua terceira taça do Maior Estadual do Brasil!
#BaúDoPaulistãoFeminino",,0,"10/31/2025 04:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid0rdx4MrhX5JNN2aGxkhiztM5MW9xSshu7tgCYDhQvBKR6UyMkUkZCMdqK6vinkd8al,0,0,Fotos,,,,,Total,69570,69570,0,46314,46314,0,0,0,0,0,0,0,463,395,31,37,,
798743172871694,100082080567569,"Paulistão F","GOLEADA DA FERRINHA! 🔥
As Guerreiras Grenás venceram o Realidade Jovem por 7 a 0 pela 11ª rodada do #PaulistãoFemininoSicredi!
📷 Douglas Moreti/Ag. Paulistão",,0,"10/29/2025 14:08",N/A,https://www.facebook.com/paulistaof/posts/pfbid02ZQEt8ebXBkG4ZiVTkZJTzTm4U76B1ZmV9NdLdq14rYGnVz85Enz6p5zWY3rH47Sfl,0,0,Fotos,,,,,Total,4720,4720,0,3504,3504,0,0,0,0,0,0,0,65,58,3,4,,
798738466205498,100082080567569,"Paulistão F","GOLEADA DA FERRINHA! 🔥
As Guerreiras Grenás venceram o Realidade Jovem por 7 a 0 pela 11ª rodada do #PaulistãoFemininoSicredi!
📷 Douglas Moreti/Ag. Paulistão",,0,"10/29/2025 13:57",N/A,https://www.facebook.com/paulistaof/posts/pfbid02T5czd4Jzoyx7cPWuN3ptoveqiNTqprxsETozeY9zo2hBG4ksJTKhwnEoCPQ1axoZl,0,0,Fotos,,,,,Total,22678,22678,0,16146,16146,0,0,0,0,0,0,0,90,84,6,0,,
798705896208755,100082080567569,"Paulistão F","INTERVALO!
Por enquanto, a Ferroviária vai vencendo por 2 a 0! #PaulistãoFemininoSicredi 
📷 Douglas Moreti/Ag. Paulistão",,0,"10/29/2025 12:49",N/A,https://www.facebook.com/paulistaof/posts/pfbid02Xe8PmvH9KdszZroywh3PuHxHjwLqejmcHGNWexDTncEa7qU9aXZAebXE46YU4Qo1l,0,0,Fotos,,,,,Total,4743,4743,0,3510,3510,0,0,0,0,0,0,0,31,30,0,1,,
