"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Outros cliques","Consumo por direcionamento de público correspondente (Photo Click)","Feedbacks negativos dos usuários: Ocultar tudo","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio"
1047866294626046,100082080567569,"Paulistão F","PARA MANTER OS 100%...
Mais um dia de Brasil em campo pela Copa do Mundo Sub-20 💚💛
#ElasEmCampo",,0,"09/08/2026 01:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02DTVzpkYzbtgYDLVkCtxu1mVPkscWoLytXufM2PT7zHmkFzoXwteEiJXgoFTv5Frcl,0,0,Fotos,,,,,Total,25855,18817,315,288,19,8,440,239,201,,,,,,
1048203244592351,100082080567569,"Paulistão F","ALÔ, OITAVAS DE FINAL! 
A Seleção Feminina de Futebol segue na disputa da Copa do Mundo Sub-20. 
#ElasEmCampo",,0,"09/08/2026 09:30",N/A,https://www.facebook.com/paulistaof/posts/pfbid02RP23JotqCNc9jPzPFZW3hBM4eVHG4vpiU7mEhTVtXgGon1gpfcfDqa4sB7fKH5rJl,0,0,Fotos,,,,,Total,2464,1821,49,48,1,0,37,26,11,,,,,,
1048217677924241,100082080567569,"Paulistão F","100% DE APROVEITAMENTO...
Segundo jogo, segunda vitória. As meninas estão voando 🚀🤩
#ElasEmCampo
📷 Luciana Vermell / CBF",,0,"09/08/2026 09:50",N/A,https://www.facebook.com/paulistaof/posts/pfbid0223uUMkjChYxry6zeE26wurtG2GvvqHkBmUHwvqMH7GftdjPtzLGCKbcYtZ8539i2l,0,0,Fotos,,,,,Total,13221,9291,438,414,12,12,176,93,83,,,,,,
1048243154588360,100082080567569,"Paulistão F","A adm encontra-se exatamente assim com a classificação na Copa do Mundo Sub-20 🤩
#CopaDoMundoSub20 #Seleção","A adm encontra-se exatamente assim com a classificação na Copa do Mundo Sub-20 🤩
#CopaDoMundoSub20 #Seleção",10,"09/08/2026 10:30",N/A,https://www.facebook.com/reel/1376340391317132/,1,0,Vídeos,,,,,Total,1236,1102,31,31,0,0,10,10,,,4044.967,3.627,0,0,0
1048386394574036,100082080567569,"Paulistão F","DIRETO DA CABINE! 🎙️
Vem com a Renata Villas Boas conferir de perto como é a rotina durante uma transmissão de Paulistão F Petrobras! ⚽ 👓

🚨 Lembrando: As inscrições para o Curso de Narradoras já estão abertas. E o melhor... de forma GRATUITA! Acesse o link da bio da FPF Academia e garanta sua vaga ✍️

#FPFAcademia #Curso #Narradoras #POV #Narração","DIRETO DA CABINE! 🎙️
Vem com a @[100001405800393:2048:Renata Villas Boas] conferir de perto como é a rotina durante uma transmissão de Paulistão F Petrobras! ⚽ 👓

🚨 Lembrando: As inscrições para o Curso de Narradoras já estão abertas. E o melhor... de forma GRATUITA! Acesse o link da bio da FPF Academia e garanta sua vaga ✍️

#FPFAcademia #Curso #Narradoras #POV #Narração",94,"09/08/2026 14:50",N/A,https://www.facebook.com/reel/4697882953778089/,1,0,Vídeos,,,,,Total,287,273,6,6,0,0,1,1,,,1309.259,4.778,0,0,0
1048844077861601,100082080567569,"Paulistão F","Se liga nas craques do Paulistão F Petrobras no estilo anos 80! Entramos na trend!🥰
#PaulistãoFPetrobras",,0,"09/09/2026 05:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02Y77kgjooLQikfE4yF7JkKXtADaRA2ixysqu1yh5mDex8dwYmohvpFv24X9SB5op4l,0,0,Fotos,,,,,Total,1482,972,18,17,0,1,48,6,42,,,,,,
1048919691187373,100082080567569,"Paulistão F","VOLTAMOS COM TUDO!
Assim ficou a tabela de classificação do Paulista F Sub-17 Petrobras ao final da 5ª rodada!
#PaulistaFSub17Petrobras",,0,"09/09/2026 06:50",N/A,https://www.facebook.com/paulistaof/posts/pfbid0RJyjcXsLHDw61J3NboY6kZSykiwjxAf3siHtD8xT8ZZsW2WqpZJtBm5dDXH8C2u3l,0,0,Fotos,,,,,Total,15547,11071,66,64,0,2,248,142,106,,,,,,
1049033047842704,100082080567569,"Paulistão F","RESTAM QUATRO! 🌟
Quem vai chegar à final do @brfeminino?
#ElasEmCampo",,0,"09/09/2026 09:30",N/A,https://www.facebook.com/paulistaof/posts/pfbid0zZjpm5t84Ein8cmu7DFHn3e1wF2G8GHUBas4dyuV3nNyHuDjwC7eMtLGrW4aQAxRl,0,0,Fotos,,,,,Total,25030,17296,319,301,7,11,372,211,161,,,,,,
1049054377840571,100082080567569,"Paulistão F","POR CIMA DA GOLEIRA! 😮💨
A Mariana de Paula meteu esse golaço pela Ferroviária no Paulista F Sub-15 Petrobras!
#PaulistaFSub15Petrobras","POR CIMA DA GOLEIRA! 😮💨
A Mariana de Paula meteu esse golaço pela Ferroviária no Paulista F Sub-15 Petrobras!
#PaulistaFSub15Petrobras",20,"09/09/2026 10:00",auto,https://www.facebook.com/reel/28213972511574674/,0,0,Vídeos,,,,,Total,3538,3394,54,52,1,1,25,25,,,21203.894,6.601,0,0,0
1049179141161428,100082080567569,"Paulistão F","NÃO SE INTIMIDOU! 🔥
Com responsa digna de camisa 9, a Giulya Carleto foi gelada na hora de fazer esse gol do Centro Olímpico!
#PaulistaFSub15Petrobras","NÃO SE INTIMIDOU! 🔥
Com responsa digna de camisa 9, a Giulya Carleto foi gelada na hora de fazer esse gol do Centro Olímpico!
#PaulistaFSub15Petrobras",27,"09/09/2026 13:30",auto,https://www.facebook.com/reel/1394388432064050/,0,0,Vídeos,,,,,Total,5054,4373,53,53,0,0,70,70,,,47271.731,11.135,0,0,0
