"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Consumo por direcionamento de público correspondente (Photo Click)","Outros cliques","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio","Cliques no link","Feedbacks negativos dos usuários: Ocultar tudo"
1034214572657885,100082080567569,"Paulistão F","PONTO IMPORTANTE!
Ferroviária busca o empate com o Fluminense e termina a primeira fase no G4 do Brasileirão Feminino.
#ElasEmCampo
📷Rafael Zocco/Ferroviária",,0,"08/22/2026 16:17",N/A,https://www.facebook.com/paulistaof/posts/pfbid02M1eHNPPtGSLtV3ohudfUvT6Tp4y2KRMJbWs6sxj8GhrJM8TMMpTgQDQ2ogW8bKsQl,0,0,Fotos,,,,,Total,2539,1835,16,16,0,0,26,17,9,,,,,,,
1034208419325167,100082080567569,"Paulistão F","Cruzeiro e Palmeiras não saíram do zero em Minas Gerais.
#ElasEmCampo
📷Paloma Cassiano/Palmeiras",,0,"08/22/2026 16:02",N/A,https://www.facebook.com/paulistaof/posts/pfbid029xMwYKbGt8dXNCYnD3Tb9yuJPVt25KgKUmQNfFxNHdNFXDYQbwzYEs9mPTJmECZNl,0,0,Fotos,,,,,Total,7879,5561,66,61,3,2,134,75,59,,,,,,,
1047577331321609,100082080567569,"Paulistão F","VIRA, VIROUUUUUU!
As Brabas venceram na ida e na volta, carimbando a vaga para a próxima fase do @brfeminino.
#ElasEmCampo
📷 Divulgação/Corinthians",,0,"09/07/2026 16:06",N/A,https://www.facebook.com/paulistaof/posts/pfbid02VFmKrRz6qEXWUczgKTCemcC7r7uaPxEaeNnwFsG4bU2CAURWVxa6hY3s32f5cmabl,0,0,Fotos,,,,,Total,42244,32441,2138,1976,105,57,526,222,304,,,,,,,
1047556691323673,100082080567569,"Paulistão F","CONFRONTO DEFINIDO! ⚔️
O Corinthians enfrenta o Bahia na semifinal do @brfeminino. Vai ser JOGÃO 😍
#ElasEmCampo",,0,"09/07/2026 15:20",N/A,https://www.facebook.com/paulistaof/posts/pfbid0UaZSL8aGpQTFQD438bWLRDrr3U14kLaswNn1tVGjVB5ZVrJgpKEg8zEczaUQsdiLl,0,0,Fotos,,,,,Total,989,778,13,11,0,2,6,,6,,,,,,,
1047548451324497,100082080567569,"Paulistão F","QUE SEQUÊNCIA INCRÍVEL! 
As Brabas chegaram a 10ª semifinal do @brfeminino SEGUIDA 🤩🔥
#ElasEmCampo",,0,"09/07/2026 15:04",N/A,https://www.facebook.com/paulistaof/posts/pfbid0uLEegQKXAXseigocet8oH4bpq8vJGKdGbK24NUbU72f45611497pKZneiDP7RqAql,0,0,Fotos,,,,,Total,7593,5941,280,259,11,10,122,34,88,,,,,,,
1047545017991507,100082080567569,"Paulistão F","BRABAS NA SEMI!
É mais uma classificação no @brfeminino na conta do Corinthians.
#ElasEmCampo",,0,"09/07/2026 14:57",N/A,https://www.facebook.com/paulistaof/posts/pfbid0ViXHYYS9Z8TGZGYrugcyyFE55CrLfBCBu9GgPKZPQ5iEKBzAFScqZ2ymE3s3yLBrl,0,0,Fotos,,,,,Total,10241,7940,309,278,17,14,163,48,115,,,,,,,
1047512071328135,100082080567569,"Paulistão F","QUE TAPA DA MÃE DA FIEL!
As Brabas viraram e foi com essa pintura da Tamires Dias 🤩
#ElasEmCampo #Corinthians 
🎥 sportv","QUE TAPA DA MÃE DA FIEL!
As Brabas viraram e foi com essa pintura da Tamires Dias 🤩
#ElasEmCampo #Corinthians 
🎥 sportv",52,"09/07/2026 13:54",auto,https://www.facebook.com/reel/1000987262960509/,1,0,Vídeos,,,,,Total,58385,55984,2328,2204,64,60,1734,,1733,655267.08,12.451,0,0,0,1,
1047202254692450,100082080567569,"Paulistão F","BRABAS EM BUSCA DA VAGA NA SEMI!
Com vantagem no jogo de ida, o Corinthians quer a classificação no @brfeminino!
#ElasEmCampo",,0,"09/07/2026 06:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid0157JwMekGSzxNhYVn8vdqdP7wGASfFXSP1bX8cHn2cv7jXjvBG7yV81ZwqC18SxUl,0,0,Fotos,,,,,Total,22528,17292,331,304,25,2,406,148,258,,,,,,,
1046672298078779,100082080567569,"Paulistão F","O Paulista F Sub-17 Petrobras voltou com tudo!
#PaulistaFSub17Petrobras",,0,"09/06/2026 13:44",N/A,https://www.facebook.com/paulistaof/posts/pfbid02VnEcXSqRXSFLe9mYjj4qCyEDyLsU9zez1jafCBbCeu2DNAZGd3zNbCtDuY8WLiPnl,0,0,Fotos,,,,,Total,10870,8375,65,54,2,9,79,43,36,,,,,,,
1046539951425347,100082080567569,"Paulistão F","CONFRONTOS DEFINIDOS!
Com direito a Majestoso, é assim que ficaram as semifinais do Paulista F Sub-15 Petrobras!
#PaulistaFSub15Petrobras",,0,"09/06/2026 10:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid028NxE8gsuqSf93pqsNcjKsMMsjnNw37yo6SnncD5UKpwagC87Yh639obXdvkK1r3bl,0,0,Fotos,,,,,Total,20614,15200,235,204,0,31,353,131,222,,,,,,,
1046498421429500,100082080567569,"Paulistão F","RESTAM QUATRO!
Ferroviária, São Paulo, Corinthians e Centro Olímpico avançam para a semifinal do Paulista F Sub-15 Petrobras!
#PaulistaFSub15Petrobras",,0,"09/06/2026 09:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid0XLZ293G6sxr3d29bUzhzfbQVKMzinwbAoqoBQNU56DSWtU2PtRBhd1J6E4dCWKzFl,0,0,Fotos,,,,,Total,15674,11217,97,85,0,12,196,117,79,,,,,,,
1046460034766672,100082080567569,"Paulistão F","EM BUSCA DA TAÇA!
O São Paulo está garantido em mais uma semifinal do Brasileirão Feminino!
#ElasEmCampo",,0,"09/06/2026 08:06",N/A,https://www.facebook.com/paulistaof/posts/pfbid0wge3oXz2hMhcMuUG46GCVWzRHNkL1U4P9ZQ6KKqo9iYvAPBFXBGCUgNnebDb2vPBl,0,0,Fotos,,,,,Total,6538,4811,251,228,20,3,95,29,66,,,,,,,
1046274991451843,100082080567569,"Paulistão F","SÃO JOSÉ CAMPEÃO PELA TERCEIRA VEZ!
Há 11 anos, as Meninas da Águia goleavam o São Paulo e conquistavam mais um título do Paulistão F Petrobras!
#BaúDoPaulistão",,0,"09/06/2026 03:30",N/A,https://www.facebook.com/paulistaof/posts/pfbid027JGQQMfGx7jcxKkhPxqAW1LC4K7bJbmWugDwPWruXCmg3fDE6W8Mt9aHcCD9aJ8kl,0,0,Fotos,,,,,Total,56012,42104,187,164,6,17,867,363,504,,,,,,,1
1046257421453600,100082080567569,"Paulistão F","VOLTAMOS COM TUDO!
A quinta rodada do Paulista F Sub-17 Petrobras vai rolar nessa tarde de domingo!
#PaulistaFSub17Petrobras",,0,"09/06/2026 03:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02dE3xhZRCTa2P2sNy2t2hAAZsV7YycjSDysTwaFLgUa9F15sgXbJGLMJnJZx7MwGjl,0,0,Fotos,,,,,Total,1286,907,18,14,0,4,20,11,9,,,,,,,
1046257331453609,100082080567569,"Paulistão F","A SEGUNDA TAÇA DAS MENINAS DA ÁGUIA!
No dia 6 de setembro de 2014, o São José conquistava o Paulistão F Petrobras pela segunda vez!
#BaúDoPaulistão",,0,"09/06/2026 03:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid0LYZTuM7wTx7vBcCsEkQjyxbP49SM15EBA5v6XgUzwE6Yo3sAYbJM8VS6oASyP7kel,0,0,Fotos,,,,,Total,3857,2884,14,14,0,0,38,16,22,,,,,,,
