"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Outros cliques","Consumo por direcionamento de público correspondente (Photo Click)","Cliques no link","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio"
1016104231135586,100082080567569,"Paulistão F","SÁBADO MOVIMENTADO!
Tem mais uma rodada do Paulista F Sub-15 @petrobras chegando 🤩
#PaulistaFSub15Petrobras",,0,"08/01/2026 04:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid0wrEjsYrH3ibTvEZjDAAzBiXeScwVT1MgzdeiabARh5sqHkgu1Bnh6owVcA92MzjCl,0,0,Fotos,,,,,Total,13024,9540,53,50,0,3,199,73,126,,,,,,
1016184357794240,100082080567569,"Paulistão F","MAIS TRÊS!
As minhas equipes jogam fora de casa pelo Brasileirão A1 e pelo Brasileirão A3.
#ElasEmCampo",,0,"08/01/2026 06:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid0NuiV65Wx9foXFhxNJWMiKHVYDWgZw8KkxQnYMQ59UZSucrCYyeiLznvK2NBqGyB6l,0,0,Fotos,,,,,Total,9125,6547,80,75,0,5,131,46,85,,,,,,
1016466644432678,100082080567569,"Paulistão F","O Realidade Jovem foi superado no primeiro jogo das quartas de final do Brasileiro Feminino A3.
#ElasEmCampo
📷Luana Perdoncini/Coritiba",,0,"08/01/2026 13:17",N/A,https://www.facebook.com/paulistaof/posts/pfbid0jYE4smVhsBJrJ5hHr8CTRpdSMjY9dSS4KnEa8i19xSPPFc9WvBz3NupCifyPp8zl,0,0,Fotos,,,,,Total,4945,3672,24,22,0,2,55,21,34,,,,,,
1016467987765877,100082080567569,"Paulistão F","Fora de casa, o Red Bull Bragantino sofreu o revés diante do Fluminense.
#ElasEmCampo
📷Marina Garcia/Fluminense",,0,"08/01/2026 13:19",N/A,https://www.facebook.com/paulistaof/posts/pfbid033zv8eEv3fsNz5z8CXZ4U49EYQzsGyyqEG4hiFQGjxZW3LQAou7bWnhkNWZhDyBmZl,0,0,Fotos,,,,,Total,9223,6957,39,37,0,2,54,17,37,,,,,,
1016474721098537,100082080567569,"Paulistão F","Mais uma rodada pra conta do Paulista F Sub-15 Petrobras!
#PaulistaFSub15Petrobras",,0,"08/01/2026 13:33",N/A,https://www.facebook.com/paulistaof/posts/pfbid0aDJadTYwK15gp4tNfRqsnGMEXErrm6nitHURDps68viDMJZm9v5KNnWB8nSXj3j2l,0,0,Fotos,,,,,Total,19810,14060,105,85,2,18,265,112,153,,,,,,
1016644637748212,100082080567569,"Paulistão F","TRICOLOR NO TOPO!
São Paulo vence em Salvador e assume a liderança do Brasileirão Feminino de forma provisória.
#ElasEmCampo
📷Divulgação/São Paulo",,0,"08/01/2026 19:22",N/A,https://www.facebook.com/paulistaof/posts/pfbid02Erd7N3ci5iKkcicbwKJvTvE3P1NPTHnfzhhrKusPobJiLa4deHyPPTgYAd53c9hGl,0,0,Fotos,,,,,Total,141235,101867,4418,4155,184,79,1465,834,631,,,,,,
1016658717746804,100082080567569,"Paulistão F","Com destaque para a vitória do São Paulo fora de casa, este foi o sábado com #ElasEmCampo.
#FutebolPaulista",,0,"08/01/2026 19:47",N/A,https://www.facebook.com/paulistaof/posts/pfbid05jq1riT2WM9N6UhRnbARpppxtuWjuYeTLNQmyvLPZDR23AwtF83QBHmRzcMa8ntul,0,0,Fotos,,,,,Total,41270,28017,171,166,1,4,562,254,308,,,,,,
1017021827710493,100082080567569,"Paulistão F","DIA CHEIO! 🥰
Hoje tem @brfeminino A1 e A2 e para as minhas equipes, só a vitória interessa!
#ElasEmCampo",,0,"08/02/2026 06:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02r8M64RK2JKPoqD2hAF6by4CPXTryGJyaPfppcw1HMJd1Ej4iSq1zNc8XNRjipTavl,0,0,Fotos,,,,,Total,11996,8670,80,78,1,1,179,56,123,,,,,,
1017155807697095,100082080567569,"Paulistão F","DEVER DE CASA!
Palmeiras leva a melhor pra cima do Internacional e volta a vencer no Brasileirão Feminino!
#ElasEmCampo
📷Paloma Cassiano/Palmeiras",,0,"08/02/2026 09:17",N/A,https://www.facebook.com/paulistaof/posts/pfbid02M2BEfacqZWhzSo6d9TtPsMSVuidDhTKUuY7UxdFuHJPKrsuKauqWcVtVQeaeKP3sl,0,0,Fotos,,,,,Total,23718,17106,846,780,24,42,344,191,153,,,,,,
1017157561030253,100082080567569,"Paulistão F","GOLEADA ALVINEGRA!
Santos goleia do Juventude e garante mais três pontos na conta do Brasileirão Feminino!
#ElasEmCampo
📷Reinaldo Campos/Santos",,0,"08/02/2026 09:20",N/A,https://www.facebook.com/paulistaof/posts/pfbid0oGgBpCH5PnaysyDDhimxqLxkMmYXVsN3iHuozXpPMdt7MF7fdbPH1YSXgfKAwkzJl,0,0,Fotos,,,,,Total,15121,11291,266,250,8,8,137,51,86,,,,,,
1017317684347574,100082080567569,"Paulistão F","GOLEADA TAUBATEANA!
A equipe do interior leva a melhor e volta ao G8 do Brasileirão Feminino A2!
#ElasEmCampo
📷Divulgação/Taubaté",,0,"08/02/2026 13:53",N/A,https://www.facebook.com/paulistaof/posts/pfbid08dTzToy5Z8jgxzz2d1yS4VPS76cBLytE9CVW8Ro5VYQt4nEigGQrkqkTpKemmevfl,0,0,Fotos,,,,,Total,16199,12294,85,82,1,2,111,37,74,,,,,,
1017383014341041,100082080567569,"Paulistão F","ACELERA, LOCOMOTIVA!
Ferroviária vence Bahia e aumenta a sequencia invicta no Brasileirão Feminino.
#ElasEmCampo
📷Rafael Zocco/Ferroviária",,0,"08/02/2026 16:09",N/A,https://www.facebook.com/paulistaof/posts/pfbid02FGydjEvT7813UMvcL9HACVkyYrwHUTtWE2VAPcsK4ikmNeQdDXVvBxvGJvG1YGG3l,0,0,Fotos,,,,,Total,8034,5883,67,65,0,2,48,12,36,,,,,,
1017395624339780,100082080567569,"Paulistão F","Um domingo com 100% de aproveitamento para o #FutebolPaulista!
#ElasEmCampo",,0,"08/02/2026 16:35",N/A,https://www.facebook.com/paulistaof/posts/pfbid0g7TcPemwjYDkkZU4wNb7WvtSfJUKL1xZ6z9aJkWTwdmJDQG2WDWXqibzwPwh8s1fl,0,0,Fotos,,,,,Total,74970,52079,214,211,1,2,797,297,500,,,,,,
1017853030960706,100082080567569,"Paulistão F","PARA CIMA DELAS, BRABAS!
O Corinthians recebe o Flamengo para mais um duelo no @brfeminino!
#ElasEmCampo",,0,"08/03/2026 06:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid038Ja5jYEqvUADWNfoj3rpdPchXqD1aiztXdAmketWCSrjRXGrYjFmfUkkDdhrE3Ltl,0,0,Fotos,,,,,Total,23475,16664,289,264,19,6,584,336,248,,,,,,
1017950387617637,100082080567569,"Paulistão F","YORELI CRAQUE DA RODADA!
A colombiana das Sereias da Vila foi eleita o destaque da 5ª rodada do Paulistão F @petrobras!
#PaulistãoFPetrobras #CraqueDaRodada",,0,"08/03/2026 08:16",N/A,https://www.facebook.com/paulistaof/posts/pfbid02fL2Xg7uY6onsXWHnVWcLXHzf3E7LKtpuJYCHVYFKSsJRktoqsMDCoCo1cM2j7QYfl,0,0,Fotos,,,,,Total,2111,1558,16,16,0,0,12,4,8,,,,,,
1017997680946241,100082080567569,"Paulistão F","Vem conferir os resultados da 8ª rodada do Paulista F Sub-20 @petrobras!
#PaulistaFSub20Petrobras",,0,"08/03/2026 09:27",N/A,https://www.facebook.com/paulistaof/posts/pfbid03617jP7bMJA5REoP8k4PZDRLRMcbTLhKUekWsxtcCDXosY2PpZEPCSh4oVwpHduaWl,0,0,Fotos,,,,,Total,8766,5976,56,55,0,1,102,49,53,,,,,,
1018055967607079,100082080567569,"Paulistão F","O coração da adm é assim e o de vocês também, né? 👀❤️
#PaulistãoFPetrobras",,0,"08/03/2026 11:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid0vtRwpkYLovK8NGYxLFJaUNC1tEnBEmeai163jXUyPio76NZfTy9niMA3mJqzfFQRl,0,0,Fotos,,,,,Total,630,425,7,6,0,1,3,2,1,,,,,,
1018132804266062,100082080567569,"Paulistão F","VEM CONFERIR A TABELA!
Assim ficou a tabela do Paulista F Sub-20 Petrobras depois da 8ª rodada!
#PaulistaFSub20Petrobras",,0,"08/03/2026 13:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid0A5tLoi1y2TUURiEvhguA4VkJK2nQUPNRMr7E91SaEJ84ssHwHZLGGWeYqkzUYYiXl,0,0,Fotos,,,,,Total,19638,11995,182,178,1,3,407,207,200,,,,,,
1018163854262957,100082080567569,"Paulistão F","CLASSIFICAÇÃO NA ÁREA!
Ao fim da 5ª rodada, assim ficou a tabela do Paulista F Sub-15 @petrobras!
#PaulistaFSub15Petrobras",,0,"08/03/2026 14:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid0AVFrj5XjhJj62hXWCqvj4ydLe4D69KjcVWSFqZUEwceHRLPH66oJvq4s9PH3AToBl,0,0,Fotos,,,,,Total,47048,31918,204,193,4,7,1206,636,570,,,,,,
1018207200925289,100082080567569,"Paulistão F","PRESENÇA CONFIRMADA NAS QUARTAS DO @brfeminino! 🔥
Corinthians, Palmeiras e São Paulo estçao com a vaga garantida nas quartas de final do Brasileirão Feminino!
#ElasEmCampo",,0,"08/03/2026 15:30",N/A,https://www.facebook.com/paulistaof/posts/pfbid02SoEX7N9PoWXusnJgm3WpW9yT98EL7x6Qr3RoTKk2HZdmZmT4bPTS1WFQUZNuAc8pl,0,0,Fotos,,,,,Total,18856,12113,470,443,19,8,285,149,136,,,,,,
1018240894255253,100082080567569,"Paulistão F","DE VOLTA AO TOPO!
Corinthians vence o Flamengo e reassume a liderança do Brasileirão Feminino.
#ElasEmCampo
📷Divulgação/Corinthians",,0,"08/03/2026 16:43",N/A,https://www.facebook.com/paulistaof/posts/pfbid02EPKZfNw3zG7MbsLzCSH2SYLjKTNrvT1EaiP9BVBsPfY7ewBR3cU1ncGFgc6S1AG5l,0,0,Fotos,,,,,Total,13930,10244,505,469,22,14,165,88,77,,,,,,
1019009890845020,100082080567569,"Paulistão F","DO FUTEBOL PAULISTA PARA O TOPO!
Kerolin chega ao Barcelona como a venda mais cara de uma atleta brasileira. Você sabia que ela começou a carreira nos gramados do Estado? 👀
#ElasEmCampo #Kerolin",,0,"08/04/2026 14:26",N/A,https://www.facebook.com/paulistaof/posts/pfbid02jAbbqA4E7k4NXCSQFT76ejzryz9e7kDWseAqtrPaRnProJdoScBNDBzUPXATs4vrl,0,0,Fotos,,,,,Total,2737,1744,60,51,6,3,180,36,144,,,,,,
1019502244129118,100082080567569,"Paulistão F","BORA PARA A 9ª RODADA!
Confira os confrontos dessa etapa do Paulista F Sub-20 Petrobras!
#PaulistaFSub20Petrobras",,0,"08/05/2026 04:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02CgvTkmv7XfovEQY19eoqANGyw1PCt9cW5DFGPWMzSqyJTVf1TYtPEBJNyM347Rrkl,0,0,Fotos,,,,,Total,10222,7330,69,65,2,2,203,77,126,,,,,,
1019681984111144,100082080567569,"Paulistão F","AS ASSISTENTES DO PAULISTÃO F @petrobras! 😮💨
Elas estão servindo muito, ok? 🤩👏 #PaulistãoFPetrobras #Sil",,0,"08/05/2026 07:55",N/A,https://www.facebook.com/paulistaof/posts/pfbid02xNhvCsXEdZ4NaLh8QYrDAVvzNQP14gDeeFUF23WqEYtvztEnSR7mesPEWmajsTXUl,0,0,Fotos,,,,,Total,5406,3828,34,31,2,1,44,26,18,,,,,,
