"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Consumo por direcionamento de público correspondente (Photo Click)","Outros cliques","Visualizações qualificadas","Feedbacks negativos dos usuários: Ocultar tudo","Cliques no link","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","Feedbacks negativos dos usuários: Ocultar"
1540711848091760,100064588783898,"Federação Paulista de Futebol - FPF","PRIMEIRO PASSO!
O Tricolor vai até a Argentina em busca da vantagem na @sudamericanabr ✈️🔥
#PaulistasEmCampo #SãoPaulo",,0,"09/07/2026 20:05",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid0ZbPNjqS74nG62985gjPDNtxQCLE1L3h34wv7Ridfoqfb581ph1WAxG9ob7qA4Z6kl,0,0,Fotos,,,,,Total,27594,20184,384,356,10,18,336,148,188,0,,,,,,
1540493874780224,100064588783898,"Federação Paulista de Futebol - FPF","FIM DE PAPO!
Estes foram os resultados dos jogos de volta do Play-In da Copa Paulista Rivalo.
#CopaPaulistaRivalo",,0,"09/07/2026 13:35",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid0zCDX5h3cDMwnPKqvHwJtPiyDzrgoG383Y4zP4KqscTtp8mw86XhwLtwcQy5uL5ttl,0,0,Fotos,,,,,Total,14640,10077,64,57,6,1,306,90,216,0,,,,,,
1540483448114600,100064588783898,"Federação Paulista de Futebol - FPF","DE VIRADA...
O @gremioprudenteoficial virou, garantiu duas vitórias e carimbou a vaga para as quartas da #CopaPaulistaRivalo.
📷 Brito/Divulgação/Grêmio Prudente",,0,"09/07/2026 13:16",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid0Qc1wo4gwC1tJSats1wrzh9yxQ4QPTwNwPj2Y6rXsTuc34ymscMzYjrMF5WdhS4UJl,0,0,Fotos,,,,,Total,41501,31883,199,171,22,6,342,128,214,0,,,,,,
1540474014782210,100064588783898,"Federação Paulista de Futebol - FPF","CONFRONTOS DEFINIDOS!
Vem conferir quem cada clube vai enfrentar na próxima fase da Copa Paulista Rivalo.
#CopaPaulistaRivalo",,0,"09/07/2026 13:05",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid0VMt8CEnk6G653jaqguKzLNE4RcwcRYvAki4Pbv4rJteeT1N33K58LQDDz5PQgrKFl,0,0,Fotos,,,,,Total,17607,11819,286,214,49,23,709,168,541,0,,,,,,
1540466721449606,100064588783898,"Federação Paulista de Futebol - FPF","FECHANDO O BONDE DOS CLASSIFICADOS!
O Carcará vence mais uma e está classificado para as quartas de final da Copa Paulista Rivalo.
#CopaPaulistaRivalo",,0,"09/07/2026 12:55",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid05pD8Dsq2q4d2bhaNvwHK4kHePKfDzcyWR5QWpQWzdycRYJe1vZyBuDashdxBDtppl,0,0,Fotos,,,,,Total,8596,6551,34,33,1,0,82,26,56,0,,,,,,
1540215574808054,100064588783898,"Federação Paulista de Futebol - FPF","Há 70 anos, o Rei Pelé estreava pelo @santosfc com uma vitória de 7 a 1 sobre o Corinthians de Santo André. O 👑 marcou o primeiro dos seus 1091 gols com a camisa do Peixão.
#FutebolPaulista #Pelé
📷Divulgação/Santos FC",,0,"09/07/2026 07:00",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid037vjxnpqqbda6oeqhtJxij4PaF8cGpTu8eE3fhdsrL6msRtByJtxMhGDoeLSDizgzl,0,0,Fotos,,,,,Total,6621,4920,138,130,3,5,48,21,27,0,,,,,,
1540126898150255,100064588783898,"Federação Paulista de Futebol - FPF","ÚLTIMA VAGA!
Paulista e Grêmio Prudente vão em busca da classificação na #CopaPaulistaRivalo.",,0,"09/07/2026 05:00",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid02iKgdPR8DPspYR2rCEP7VRH8P8S66qLafq3V7ZPwfGNhiwCQa12iPL5URXZH1MR36l,0,0,Fotos,,,,,Total,5113,3991,31,26,3,2,50,16,34,0,,,,,,
1540048041491474,100064588783898,"Federação Paulista de Futebol - FPF","PARABÉNS, ALVIRRUBRO!
O União Mogi completa 113 anos de história nesta segunda-feira (7).
#Aniversário",,0,"09/07/2026 03:00",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid02miG8zz1Scwgk6EZwPsRUChhMByJhquPhjymh15rF2qWByYqVyuiEJzN8Dd7rZ5kel,0,0,Fotos,,,,,Total,3637,2674,58,49,3,6,42,7,35,0,,,,,,
1539704981525780,100064588783898,"Federação Paulista de Futebol - FPF","Mirassol, Santos e São Bernardo garantiram as vitórias para o #FutebolPaulista neste domingo.
#PaulistasEmCampo",,0,"09/06/2026 18:00",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid0n4uMpWZ1WqANocAwWkWjz3xED7EJDHPGyReSN7nWdmMuMqL6ExehJhT2a8HvS8ECl,0,0,Fotos,,,,,Total,40905,28664,245,222,9,14,539,249,290,0,,,,,,
1539690358193909,100064588783898,"Federação Paulista de Futebol - FPF","Corinthians leva a virada e acaba sendo superado pela Chapecoense.
#PaulistasEmCampo
📷Roberto Pessoa/Chapecoense",,0,"09/06/2026 17:33",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid0Yd2wDFzQ2SuBTpLQJtEbJvfUAbrE3PXwXCjjaLS7ZHk2SXGb5ckE9A4BXpmfy4jpl,0,0,Fotos,,,,,Total,40927,28909,698,542,124,32,1069,229,840,0,,,,,,
