"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
17972088381068838,17841426196827383,copinha,Copinha,"Está concluída a 14ª rodada do Paulista Sub-20 Série A!
#PaulistaSub20SérieA",0,"09/08/2026 16:04",https://www.instagram.com/p/DdC0sESCTF4/,"Imagem do Instagram",,Total,93051,46790,1441,19,13,3,8
18090735470691735,17841426196827383,copinha,Copinha,"SEMIFINAIS DEFINIDAS!
Restam quatro equipes na disputa pelo título do Paulista Sub-20 Série B. Vem conferir os confrontos que vão definir os finalistas!
#PaulistaSub20SérieB",0,"09/21/2026 15:20",https://www.instagram.com/p/DdkN53WDZ4j/,"Carrossel do Instagram",,Total,32757,12327,397,19,2,3,2
17870084940642210,17841426196827383,copinha,Copinha,"DE PÉ EM PÉ, DA DEFESA AO ATAQUE!
QUE BELO GOL DOS MENINOS DA VILA NO PAULISTA SUB-20!
#PaulistaSub20 #Santos",77,"09/21/2026 14:30",https://www.instagram.com/reel/DdkIN6dDoTG/,"Reel do Instagram",,Total,89861,58761,3485,27,5,10,26
17920550550433298,17841426196827383,copinha,Copinha,"QUE GOLAÇO DO VITINHO! 🚲⚽
O camisa 11 do Jabaquara marcou esse lindo gol de bicicleta contra o Santos no Paulista Sub-20!
#PaulistaSub20",70,"09/21/2026 13:34",https://www.instagram.com/reel/DdkBvOrjjhH/,"Reel do Instagram",,Total,304962,174147,10436,840,32,107,112
17983865441891770,17841401842963402,botafogosp,"Botafogo Futebol SA","ADRIANOOOOOO 🧤

Na vitória do Sub-20 do Botafogo sobre o Audax por 4 a 1, o goleiro Adriano também se destacou. 

Ele defendeu um pênalti  quando o Tricolor vencia por 2 a 1. 

Acompanhe a penalidade defendida pelo goleiro botafoguense nas imagens da TV Botafogo.",11,"09/21/2026 04:01",https://www.instagram.com/reel/DdjAQhIjY2V/,"Reel do Instagram",,Total,22413,12116,332,7,1,8,0
18146820010517738,17841426196827383,copinha,Copinha,"PASSOU A RÉGUA!
Vem conferir os resultados da 14ª rodada do #PaulistaSub14.",0,"09/20/2026 13:45",https://www.instagram.com/p/Ddhd5rkF2_N/,"Carrossel do Instagram",,Total,61093,20394,753,66,5,16,5
17918912235443355,17841426196827383,copinha,Copinha,"Assim terminou a Rodada 14 do #PaulistaSub13.",0,"09/20/2026 12:00",https://www.instagram.com/p/DdhR8_Jlxys/,"Carrossel do Instagram",,Total,70424,21894,823,88,9,20,5
18145108072564485,17841412916410070,fcskabrasil,"Ska Brasil","Você já imaginou como é estar no Estádio Prefeito Gabriel Marques da Silva? Essa é visão 🤯🤌

⚽️ @glauber__013 

#SkaBrasil #CampeonatoPaulista #Sub13",18,"09/20/2026 11:49",https://www.instagram.com/reel/DdhQtWJJzcM/,"Reel do Instagram",,Total,35020,16747,1012,82,8,36,0
18112659167014152,17841426196827383,copinha,Copinha,"FIM DAS QUARTAS DE FINAL!
Vem conferir os resultados dos jogos da volta do Paulista Sub-20 Série B!
#PaulistaSub20SerieB",0,"09/20/2026 09:00",https://www.instagram.com/p/Ddg9MByF9jY/,"Imagem do Instagram",,Total,68543,28493,778,19,2,2,4
18113518661088066,17841426196827383,copinha,Copinha,"SEMIFINAIS DEFINIDAS!
Restam quatro na disputa pelo título do Paulista Sub-20 Série B!
#PaulistaSubSerieB",0,"09/20/2026 09:00",https://www.instagram.com/p/Ddg9pKujXr1/,"Imagem do Instagram",,Total,102231,43696,1103,169,17,14,6
18114061313009879,17841426196827383,copinha,Copinha,"SEGUNDA FASE NA ÁREA!
Os jogos de ida do Paulista Sub-13 e do Paulista Sub-14 vão rolar nesse domingo e no próximo, dia 27!
#PaulistaSub13 #PaulistaSub14",0,"09/20/2026 04:00",https://www.instagram.com/p/DdgWXnXDSLo/,"Carrossel do Instagram",,Total,69176,21786,993,29,10,1,4
