"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18554204542075914,17841400074692954,paulistao,Paulistão,"Por aqui, não fingimos costume… o #FutebolPaulista é chique demais! 😏🤩",0,"08/17/2026 12:08",https://www.instagram.com/p/DcJwRpQCTPg/,"Carrossel do Instagram",,Total,161559,66087,3378,35,2,29,37
17946928173056402,17841426196827383,copinha,Copinha,"CONFRONTOS DEFINIDOS!
Assim ficaram os duelos das quartas de final do Paulista Sub-20 Série B:

Cosmopolitano x Brasilis
Paulista x Rio Branco
Comercial Tietê x Penapolense
Real Soccer x Taubaté

#PaulistaSub20SérieB",0,"09/06/2026 13:27",https://www.instagram.com/p/Dc9ZMfHH3aV/,"Imagem do Instagram",,Total,81742,36731,1109,99,12,18,6
17968284756139989,17841426196827383,copinha,Copinha,"E lá se foram as oitavas de final do Paulista Sub-20 Série B! Confira os resultados das partidas de volta.
#PaulistaSub20SérieB",0,"09/06/2026 13:04",https://www.instagram.com/p/Dc9Wg5SH0Ax/,"Imagem do Instagram",,Total,48969,21565,683,7,2,1,2
18095272109532779,17841426196827383,copinha,Copinha,"Rodada movimentada no Paulista Sub-12!
#PaulistaSub12",0,"09/06/2026 09:25",https://www.instagram.com/p/Dc89hByoJ8h/,"Carrossel do Instagram",,Total,75748,27639,892,40,8,1,9
18620043943036727,17841426196827383,copinha,Copinha,"Hora de conferir os resultados da 13ª rodada do Paulista Sub-11!
#PaulistaSub11",0,"09/06/2026 09:25",https://www.instagram.com/p/Dc89cMPCaCc/,"Carrossel do Instagram",,Total,69281,23613,654,45,10,0,6
18053691794571150,17841455339365803,cosmopolitanosports,"Cosmopolitano Sports","#Sub20 | Um corre pelo outro, um luta pelo outro, e todos acreditam no mesmo objetivo.

🎥 | @dudavicz",131,"09/06/2026 08:34",https://www.instagram.com/reel/Dc83jHMO7aG/,"Reel do Instagram",,Total,60428,33836,1964,30,28,15,0
18378051073228359,17841426196827383,copinha,Copinha,"Mais uma rodada do Paulista Sub-17 concluída.
#PaulistaSub17",0,"09/05/2026 17:23",https://www.instagram.com/p/Dc7PYHJGqZE/,"Carrossel do Instagram",,Total,104698,37147,1883,18,16,0,15
18096479552167975,17841426196827383,copinha,Copinha,"A 17ª rodada do Paulista Sub-15 chegou ao fim. Se liga nos resultados.
#PaulistaSub15",0,"09/05/2026 17:22",https://www.instagram.com/p/Dc7PQTWje6J/,"Carrossel do Instagram",,Total,149770,52996,2474,87,18,5,16
17925452652420120,17841454473375442,ulissescostatv,"ULISSES TV","CABECEIO CERTEIRO PARA DAR A VITÓRIA PARA O SANTOS! 🐳🖤

Belo escanteio cobrado por Ganga, @marcelotorrez_06, muito bem posicionado, subiu mais alto do que a defesa da Portuguesa Santista e testou firme para o fundo gol.

🎙️ @deyvid_xavier_barbosa 

📺 ULISSES TV, A CASA DO FUTEBOL RAIZ!

#Santos #SantosFC #Peixe #PaulistãoSub20 #UlissesTV",58,"09/05/2026 06:42",https://www.instagram.com/reel/Dc6F8Yqwo71/,"Reel do Instagram",,Total,19115,10556,264,2,0,0,0
18122394349675516,17841426196827383,copinha,Copinha,"FIM DE SEMANA CHEIO!
A primeira fase do Paulista Sub-11 e Sub-12 está chegando ao fim... Confira os jogos dessa rodada!
#PaulistaSub11 #PaulistaSub12",0,"09/05/2026 04:00",https://www.instagram.com/p/Dc5uW07G-kl/,"Carrossel do Instagram",,Total,76605,29218,688,79,24,0,4
18099664490623429,17841426196827383,copinha,Copinha,"É CAMPEÃO! É CAMPEÃO! 🏆💢
As #CriasDaColina conquistam o Brasileirão Sub-20!
#BrasileiroSub20 
🎥@vascobase",29,"09/04/2026 18:33",https://www.instagram.com/reel/Dc4yh0Ogc3t/,"Reel do Instagram",,Total,83330,49953,4700,148,46,36,23
17996974124811008,17841426196827383,copinha,Copinha,"VAMOS TODOS CANTAR DE CORAÇÃO! 🏆💢
O @vascodagama é o grande campeão do Brasileiro Sub-20 2026!
#BrasileiroSub20",0,"09/04/2026 16:59",https://www.instagram.com/p/Dc4n1JSjaya/,"Imagem do Instagram",,Total,128953,68564,6575,409,124,78,59
17878700643689785,17841426196827383,copinha,Copinha,"SABE O QUE FAZ! 
O Angelo abriu o placar para o Tricolor no Paulista Sub-20 Série A com categoria 🤩🔥
#PaulistaSub20SérieA",45,"09/04/2026 13:01",https://www.instagram.com/reel/Dc4MgkcyHNC/,"Reel do Instagram",,Total,233500,133591,8823,208,13,30,66
18127421662786351,17841448990528542,sferafc,"Sfera Futebol Clube","MINHA NOSSA SENHORA!

No rebote do goleiro, o meio-campista @ge.rodrigues08 dá uma cavadinha absurda para ampliar.

Sfera 4 x 2 Ituano
.
@melittabrasil @jflalarmes
.
#Sfera #RaioAmado #Paulista #Sub20 #Gol",61,"09/04/2026 12:44",https://www.instagram.com/reel/Dc4KaPwoCv9/,"Reel do Instagram",,Total,175068,122262,7424,184,42,24,0
17998448405798002,17841426196827383,copinha,Copinha,"AS CRIAS DA ACADEMIA ESTÃO ON 🐷🔥
A final de hoje é a quinta seguida do Palmeiras no Brasileirão Sub-20. Será que vem mais um título para conta?
#BrasileirãoSub20",0,"09/04/2026 11:52",https://www.instagram.com/p/Dc4EwNsoPzF/,"Imagem do Instagram",,Total,410405,188798,13994,99,18,42,140
