"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18411222976085422,17841429857362439,paulistaof,"Paulistão F Petrobras","PARA MANTER OS 100%...
Mais um dia de Brasil em campo pela Copa do Mundo Sub-20 💚💛
#ElasEmCampo",0,"09/08/2026 01:00",https://www.instagram.com/p/DdBIGKkm2S5/,"Imagem do Instagram",,Total,9102,5689,304,40,2,5,4
18115036723795409,17841429857362439,paulistaof,"Paulistão F Petrobras","SÃO JOSÉ CAMPEÃO DO @paulistaof!
Há 14 anos, as Meninas da Águia conquistavam o título do Paulistão F Petrobras!
#BaúDoPaulistão",0,"09/22/2026 04:00",https://www.instagram.com/p/Ddlf1Qhlrkq/,"Imagem do Instagram",,Total,2173,1093,36,3,0,2,1
18106771721612240,17841429857362439,paulistaof,"Paulistão F Petrobras","É O PAULISTÃO NA FINAL DO @brfeminino!
A disputa pelo título do Brasileirão Feminino vai ser majestosa! Quem leva a melhor: São Paulo ou Corinthians?
#ElasEmCampo",0,"09/21/2026 20:09",https://www.instagram.com/p/DdkvEgeDXEa/,"Imagem do Instagram",,Total,75706,44855,2057,84,2,51,21
17869744272637231,17841429857362439,paulistaof,"Paulistão F Petrobras","VITÓRIA E CLASSIFICAÇÃO DO TIMÃO!
Com mais um gol da Jhonson, o Corinthians vence o Bahia e se classifica para a final do @brfeminino!
#ElasEmCampo
📷@rebecareisfoto/Staff Images Woman/CBF",0,"09/21/2026 19:38",https://www.instagram.com/p/Ddkrc2rDYj_/,"Imagem do Instagram",,Total,2065,1157,147,0,0,5,1
18111352948904380,17841429857362439,paulistaof,"Paulistão F Petrobras","BRABAS GARANTIDAS EM MAIS UMA FINAL!
É tradição que fala? Pode colocar mais uma decisão de @brfeminino na conta do Corinthians!
#ElasEmCampo #BrasileirãoFeminino",0,"09/21/2026 19:36",https://www.instagram.com/p/DdkrOHwDU6s/,"Imagem do Instagram",,Total,3491,1969,301,14,2,2,3
18022388504916103,17841429857362439,paulistaof,"Paulistão F Petrobras","DEIXA QUE ELA RESOLVE! 🔥
Acho que já deu pra entender que bola no pé da @ijhonson_005 é gol, né? As Brabas aumentam a vantagem no @brfeminino! 
#ElasEmCampo #BrasileirãoFeminino
🎥UOL",41,"09/21/2026 19:09",https://www.instagram.com/reel/DdkoBaBMGVl/,"Reel do Instagram",,Total,5135,4005,335,4,3,6,5
18130693840742133,17841429857362439,paulistaof,"Paulistão F Petrobras","TUDO DEFINIDO!
Assim ficou a classificação do Paulista F Sub-17 Petrobras ao final da primeira fase!
#PaulistaFSub17Petrobras",0,"09/21/2026 14:00",https://www.instagram.com/p/Ddj_sztDIUM/,"Imagem do Instagram",,Total,15832,8229,349,26,5,6,4
18142200268580511,17841429857362439,paulistaof,"Paulistão F Petrobras","A QUARTA RODADA JÁ FOI!
Vem conferir a classificação da Taça Paulistana Petrobras!
#TaçaPaulistanaPetrobras",0,"09/21/2026 13:15",https://www.instagram.com/p/Ddj_YKVDOur/,"Imagem do Instagram",,Total,6180,3230,100,9,0,5,0
17985860475100260,17841429857362439,paulistaof,"Paulistão F Petrobras","BRABAS RUMO À FINAL!
O Corinthians tem a vantagem no jogo de ida e vai em busca da classificação contra o Bahia para a grande decisão do @brfeminino!
#ElasEmCampo",0,"09/21/2026 06:00",https://www.instagram.com/p/DdjIxLFjOJd/,"Imagem do Instagram",,Total,4439,2612,235,27,0,4,2
18119234441515290,17841429857362439,paulistaof,"Paulistão F Petrobras","AGORA É MATA-MATA!
Assim ficaram os confrontos das quartas de final do Paulista F Sub-17 @petrobras.
#PaulistaFSub17",0,"09/20/2026 14:05",https://www.instagram.com/p/DdhgVrJl7YL/,"Imagem do Instagram",,Total,43091,20802,404,204,8,2,5
