"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18085314305692712,17841429857362439,paulistaof,"Paulistão F Petrobras","QUE GOLAÇO DA THAIS!
As Palestrinas fizeram uma bela jogada e a camisa 26 mandou na gaveta pelo Paulista F Sub-20 @petrobras!
#PaulistaFSub20Petrobras",49,"08/25/2026 14:15",https://www.instagram.com/reel/DcelDVgEirM/,"Reel do Instagram",,Total,9099,5817,499,17,5,20,5
18090090077553740,17841429857362439,paulistaof,"Paulistão F Petrobras","PREPAREM O CORAÇÃO...
A ÚLTIMA RODADA DO PAULISTÃO F @PETROBRAS PROMETE MUITA EMOÇÃO 🤩🔥
#PaulistãoFPetrobras",0,"08/25/2026 14:00",https://www.instagram.com/p/DceePLYlNyh/,"Imagem do Instagram",,Total,20596,11362,404,17,2,8,11
18093135035549267,17841429857362439,paulistaof,"Paulistão F Petrobras","VIRA, VIROUUUUUU!
As Brabas venceram na ida e na volta, carimbando a vaga para a próxima fase do @brfeminino.
#ElasEmCampo
📷 Divulgação/Corinthians",0,"09/07/2026 16:10",https://www.instagram.com/p/DdAQLWFmzug/,"Imagem do Instagram",,Total,7150,4425,759,16,7,9,6
17986686444112180,17841429857362439,paulistaof,"Paulistão F Petrobras","CONFRONTO DEFINIDO! ⚔️
O Corinthians enfrenta o Bahia na semifinal do @brfeminino. Vai ser JOGÃO 😍
#ElasEmCampo",0,"09/07/2026 15:20",https://www.instagram.com/p/DdAJuk4DCg-/,"Imagem do Instagram",,Total,5930,3477,260,5,0,7,5
17987443926024689,17841429857362439,paulistaof,"Paulistão F Petrobras","QUE SEQUÊNCIA INCRÍVEL! 
As Brabas chegaram a 10ª semifinal do @brfeminino SEGUIDA 🤩🔥
#ElasEmCampo",0,"09/07/2026 15:05",https://www.instagram.com/p/DdAJGnxm2dn/,"Imagem do Instagram",,Total,16646,9941,1630,44,4,19,10
18020670023870889,17841429857362439,paulistaof,"Paulistão F Petrobras","BRABAS NA SEMI!
É mais uma classificação no @brfeminino na conta do Corinthians.
#ElasEmCampo",0,"09/07/2026 14:58",https://www.instagram.com/p/DdAIQG9FEj5/,"Imagem do Instagram",,Total,6040,3493,572,17,1,7,3
18204498349369233,17841429857362439,paulistaof,"Paulistão F Petrobras","QUE TAPA DA MÃE DA FIEL!
As Brabas viraram e foi com essa pintura da @tamires 🤩
#ElasEmCampo #Corinthians 
🎥 @sportv",51,"09/07/2026 13:54",https://www.instagram.com/reel/DdAA6yLT6n7/,"Reel do Instagram",,Total,54452,38808,7588,150,252,116,87
17948010138275903,17841429857362439,paulistaof,"Paulistão F Petrobras","BRABAS EM BUSCA DA VAGA NA SEMI!
Com vantagem no jogo de ida, o Corinthians quer a classificação no @brfeminino!
#ElasEmCampo",0,"09/07/2026 06:00",https://www.instagram.com/p/Dc_Fo7VD2Z-/,"Imagem do Instagram",,Total,4506,2623,235,0,1,9,4
18137981869629021,17841429857362439,paulistaof,"Paulistão F Petrobras","O Paulista F Sub-17 Petrobras voltou com tudo!
#PaulistaFSub17Petrobras",0,"09/06/2026 13:44",https://www.instagram.com/p/Dc9bJDnnyHT/,"Imagem do Instagram",,Total,21451,10214,329,44,3,1,4
18389929534161559,17841429857362439,paulistaof,"Paulistão F Petrobras","CONFRONTOS DEFINIDOS!
Com direito a Majestoso, é assim que ficaram as semifinais do Paulista F Sub-15 Petrobras!
#PaulistaFSub15Petrobras",0,"09/06/2026 10:00",https://www.instagram.com/p/Dc9BfGhmimv/,"Imagem do Instagram",,Total,48212,24621,657,130,7,12,6
17926518819405815,17841429857362439,paulistaof,"Paulistão F Petrobras","RESTAM QUATRO!
Ferroviária, São Paulo, Corinthians e Centro Olímpico avançam para a semifinal do Paulista F Sub-15 Petrobras!
#PaulistaFSub15Petrobras",0,"09/06/2026 09:00",https://www.instagram.com/p/Dc86lbEHTSn/,"Imagem do Instagram",,Total,32628,17779,408,42,5,2,8
18427246342151679,17841429857362439,paulistaof,"Paulistão F Petrobras","EM BUSCA DA TAÇA!
O São Paulo está garantido em mais uma semifinal do Brasileirão Feminino!
#ElasEmCampo",0,"09/06/2026 08:06",https://www.instagram.com/p/Dc80crCj88O/,"Imagem do Instagram",,Total,9775,5204,450,2,2,11,1
17973426683932309,17841429857362439,paulistaof,"Paulistão F Petrobras","SÃO JOSÉ CAMPEÃO PELA TERCEIRA VEZ!
Há 11 anos, as Meninas da Águia goleavam o São Paulo e conquistavam mais um título do Paulistão F Petrobras!
#BaúDoPaulistão",0,"09/06/2026 03:30",https://www.instagram.com/p/Dc8PrHxDrkF/,"Imagem do Instagram",,Total,20988,11532,474,24,2,16,7
18052500104575900,17841429857362439,paulistaof,"Paulistão F Petrobras","VOLTAMOS COM TUDO!
A quinta rodada do Paulista F Sub-17 Petrobras vai rolar nessa tarde de domingo!
#PaulistaFSub17Petrobras",0,"09/06/2026 03:00",https://www.instagram.com/p/Dc8MP96GKgK/,"Imagem do Instagram",,Total,23146,12141,290,61,0,0,0
18141788182571409,17841429857362439,paulistaof,"Paulistão F Petrobras","A SEGUNDA TAÇA DAS MENINAS DA ÁGUIA!
No dia 6 de setembro de 2014, o São José conquistava o Paulistão F Petrobras pela segunda vez!
#BaúDoPaulistão",0,"09/06/2026 03:00",https://www.instagram.com/p/Dc8MPXTlWpq/,"Imagem do Instagram",,Total,4006,2369,67,1,0,1,2
17977197981105097,17841429857362439,paulistaof,"Paulistão F Petrobras","NÓS VAMOS INVADIR SUA PRAIA! 😎🏝️
Vai ter duelo Rio-São Paulo do Brasileirão Feminino! O Flamengo será o adversário do São Paulo por um lugar na grande decisão!
#ElasEmCampo",0,"09/05/2026 15:42",https://www.instagram.com/p/Dc7D2bXiVmv/,"Imagem do Instagram",,Total,4114,2164,96,5,0,0,3
18156813904442916,17841429857362439,paulistaof,"Paulistão F Petrobras","O sábado de futebol teve vitória e classificação do São Paulo para a semifinal do Brasileirão Feminino, enquanto a Ferroviária encerrou sua participação na competição nacional.
#ElasEmCampo",0,"09/05/2026 15:15",https://www.instagram.com/p/Dc7AtGDDIsA/,"Imagem do Instagram",,Total,7129,4714,122,0,2,2,3
18110920118025470,17841429857362439,paulistaof,"Paulistão F Petrobras","MAIS UMA!
São Paulo leva a melhor no duelo de Tricolores e vai para a semifinal do Brasileirão Feminino pelo quinto ano seguido!
#ElasEmCampo
📷João Brandino/Grêmio",0,"09/05/2026 14:38",https://www.instagram.com/p/Dc68eWljxFh/,"Imagem do Instagram",,Total,6624,4061,161,6,0,5,2
