"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18099965710650320,17841400074692954,paulistao,Paulistão,"PREPARE-SE PARA O PAULISTÃO A3 2026!
Os detalhes da competição foram definidos em Conselho Técnico nesta quinta-feira (16). Saiba mais em futebolpaulista.com.br!
#PaulistãoA3",0,"10/16/2025 12:27",https://www.instagram.com/p/DP4b82PDteE/,"Carrossel do Instagram",,Total,240429,98712,4626,349,90,119,100
17867862600470841,17841400074692954,paulistao,Paulistão,"EMPATE EM ARARAQUARA! 
Nada de gols para Ferroviária e Criciúma.
#PaulistasEmCampo
📷Divulgação/Ferroviária",0,"10/31/2025 19:38",https://www.instagram.com/p/DQf1NUVDXv1/,"Imagem do Instagram",,Total,31807,16360,241,4,0,3,2
18024562268578725,17841400074692954,paulistao,Paulistão,"A GENTE JÁ VIU ESSE FILME! 👀
O Verdão conquistou uma remontada histórica na @libertadoresbr. A adm resolveu reunir os gols das viradas recentes pelo maior Estadual do Brasil! 
#PaulistasEmCampo",161,"10/31/2025 16:30",https://www.instagram.com/reel/DQffs36kh_s/,"Reel do Instagram",,Total,217939,161691,22981,3071,318,314,410
17895729657344044,17841400074692954,paulistao,Paulistão,"O CAMINHO ESTÁ TRILHADO! 🐷💚
Muitas noites mágicas nos trouxeram até aqui. Agora, restam 90 minutos em busca da Glória Eterna 🏆✨
#PaulistasEmCampo #Palmeiras #RaphaelVeiga",0,"10/31/2025 13:00",https://www.instagram.com/p/DQfDppfkTZc/,"Imagem do Instagram",,Total,54084,22726,3572,49,11,5,35
18147978421423585,17841426196827383,copinha,Copinha,"SAN-SÃO DECISIVO!
Confira datas e horários das finais do Paulista Sub-20!
#PaulistaSub20",0,"10/31/2025 12:01",https://www.instagram.com/p/DQfA55NEqkV/,"Imagem do Instagram",,Total,156481,54005,2320,217,11,21,60
18097884799683923,17841400074692954,paulistao,Paulistão,"🏆🏆🏆🏆🏆
Há 18 anos, o São Paulo vencia o América-RN por 3 a 0 e conquistava o pentacampeonato do Brasileirão. Saudades, torcedor Tricolor?
#FutebolPaulista #Brasileirão
📷Rubens Chiri/saopaulofc.net",0,"10/31/2025 08:16",https://www.instagram.com/p/DQenIcUk5Il/,"Carrossel do Instagram",,Total,79700,24633,2613,36,5,41,26
17971938110952911,17841400074692954,paulistao,Paulistão,"QUERO VER PEGAR!
QUE CATEGORIA DO ALLAN!
#FutebolPaulista #Palmeiras #PaulistasEmCampo
🎥CONMEBOL",18,"10/31/2025 07:00",https://www.instagram.com/reel/DQeZa_yDzk0/,"Reel do Instagram",,Total,100578,62080,5047,154,6,23,50
18074720489227855,17841400074692954,paulistao,Paulistão,"VAMOS, FERROVIÁRIA! 🚂🔥
A Locomotiva vai em busca da vitória no @brasileiraob!
#PaulistasEmCampo",0,"10/31/2025 06:00",https://www.instagram.com/p/DQeSfCiiS0U/,"Imagem do Instagram",,Total,35075,16133,610,7,3,6,4
18076193282266325,17841400074692954,paulistao,Paulistão,"Abel Fernando Moreira Ferreira 🐷💚
#FutebolPaulista #PaulistasEmCampo #Palmeiras
📷CONMEBOL",0,"10/30/2025 20:56",https://www.instagram.com/p/DQdZRMqE2Yh/,"Carrossel do Instagram",,Total,74431,30807,5910,111,3,76,90
18066693617376763,17841400074692954,paulistao,Paulistão,"OS ARTILHEIROS DA NOITE MÁGICA DO VERDÃO NO ALLIANZ PARQUE!
#FutebolPaulista #PaulistasEmCampo #Palmeiras
📷CONMEBOL",0,"10/30/2025 20:34",https://www.instagram.com/p/DQdWuPjk10n/,"Carrossel do Instagram",,Total,35981,11462,1897,33,2,11,13
18297709696258646,17841400074692954,paulistao,Paulistão,"PELA GLÓRIA ETERNA!🐷💚
O VERDÃO VAI EM BUSCA DO TETRACAMPEONATO DA LIBERTADORES CONTRA O FLAMENGO!
#FutebolPaulista #PaulistasEmCampo #Palmeiras",0,"10/30/2025 20:22",https://www.instagram.com/p/DQdVc_mEyWJ/,"Imagem do Instagram",,Total,52332,30169,2482,57,1,25,27
18082878245070226,17841400074692954,paulistao,Paulistão,"UM SHOW DO MENINO ALLAN NO ALLIANZ PARQUE!
#FutebolPaulista #Palmeiras #PaulistasEmCampo
🎥CONMEBOL",46,"10/30/2025 20:21",https://www.instagram.com/reel/DQdVJhvjcrB/,"Reel do Instagram",,Total,199004,124701,11957,812,61,186,187
17917575585197984,17841400074692954,paulistao,Paulistão,"O VERDÃO É MÁGICO!
O PALMEIRAS FEZ HISTÓRIA E SE ISOLOU COMO O TIME BRASILEIRO COM MAIS FINAIS DE LIBERTADORES!
#FutebolPaulista #PaulistasEmCampo #Palmeiras",0,"10/30/2025 20:20",https://www.instagram.com/p/DQdVF1jE9M9/,"Imagem do Instagram",,Total,179085,73623,5443,196,1,43,103
18062192414420267,17841400074692954,paulistao,Paulistão,"UM, DOIS, TRÊS, QUATRO…
Para ficar maneiro, todos os gols da classificação do Verdão ⚽️
#PaulistasEmCampo 
🎥 @libertadoresbr",75,"10/30/2025 20:15",https://www.instagram.com/reel/DQdUkW-jKUS/,"Reel do Instagram",,Total,315241,234583,34937,2254,755,352,425
18096145462762089,17841400074692954,paulistao,Paulistão,"O CAPITÃO DEU O PAPO!
#FutebolPaulista #PaulistasEmCampo #Palmeiras
📷CONMEBOL",0,"10/30/2025 20:12",https://www.instagram.com/p/DQdUP9KExQU/,"Imagem do Instagram",,Total,199972,125645,10541,1104,39,129,154
17966205194977014,17841400074692954,paulistao,Paulistão,"QUE JOGADA DO ALLAN! 
#FutebolPaulista #Palmeiras 
🎥ESPN",21,"10/30/2025 20:08",https://www.instagram.com/reel/DQdTsPXjO0K/,"Reel do Instagram",,Total,226398,148139,14207,490,179,87,128
