"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Curtidas,Compartilhamentos,Comentários,Salvamentos,Alcance,Seguimentos
17950898913032759,17841400074692954,paulistao,Paulistão,"TRÊS PONTOS PARA O TRICOLOR!
O São Paulo levou a melhor no primeiro duelo paulista do fim de semana e venceu o Red Bull Bragantino.
#PaulistasEmCampo
📷Rubens Chiri/São Paulo",0,"08/29/2026 18:18",https://www.instagram.com/p/DcpUFMunLKA/,"Imagem do Instagram",,Total,47015,1480,56,19,7,23630,2
18108361559154358,17841400074692954,paulistao,Paulistão,"Primavera e União São João deram o primeiro passo rumo às quartas de final da Copa Paulista Rivalo!
#CopaPaulistaRivalo",0,"08/29/2026 18:20",https://www.instagram.com/p/DcpUWwFHaqA/,"Imagem do Instagram",,Total,23363,270,6,11,6,13565,121
18020256932876459,17841400074692954,paulistao,Paulistão,"Com as classificações da Inter de Limeira e da Ferroviária para a segunda fase da Série C, além da vitória do São Paulo no duelo Paulista, foi assim que terminou o sabadão de futebol.
#PaulistasEmCampo",0,"08/29/2026 18:40",https://www.instagram.com/p/DcpWmp6krGy/,"Imagem do Instagram",,Total,39995,374,4,3,7,24392,1
18086868734222340,17841400074692954,paulistao,Paulistão,"DIA DE CLÁSSICO ALVINEGRO NO @brasileirao! 🔥
A Neo Química Arena vai receber o duelo entre Corinthians e Santos nesse domingo! Quem vai sair com os três pontos?
#PaulistasEmCampo #ClássicoAlvinegro",0,"08/29/2026 20:05",https://www.instagram.com/p/DcpbMceFr83/,"Imagem do Instagram",,Total,202791,8813,645,36,68,113024,15
18036477497835146,17841400074692954,paulistao,Paulistão,"A PRIMEIRA LIBERTADORES DO PEIXÃO! 🏆🐳
No dia 30 de agosto de 1962, o Santos conquistava a Glória Eterna pela primeira vez na sua história!
#BaúDoPaulistão",0,"08/30/2026 03:00",https://www.instagram.com/p/DcqKrRaoAet/,"Imagem do Instagram",,Total,41183,1875,64,13,35,22104,5
18153390763452690,17841400074692954,paulistao,Paulistão,"DOMINGO COM CLÁSSICO ALVINEGRO!
O @brasileirao tem dois duelos paulistas nesse domingo, enquanto a Ponte Preta viaja no @brasileiraob em busca da vitória!
#PaulistasEmCampo",0,"08/30/2026 06:00",https://www.instagram.com/p/DcqfRwknbcM/,"Imagem do Instagram",,Total,28404,447,16,2,7,16700,0
18122094886880482,17841400074692954,paulistao,Paulistão,"LEÃO E VERDÃO NO EMBATE! 🔥
O Mirassol precisa da vitória para subir na tabela do @brasileirao, enquanto o Palmeiras quer somar três pontos para se manter na liderança!
#PaulistasEmCampo",0,"08/30/2026 08:00",https://www.instagram.com/p/DcqtArtjkNJ/,"Imagem do Instagram",,Total,23797,385,13,4,6,11461,0
17979486113901717,17841466363711552,maia_fotoo,"Gustavo Maia | Fotógrafo","Homenagem ao nosso Eterno Siqueira 🖤🥀

📸 - @maia_fotoo",0,"08/30/2026 10:04",https://www.instagram.com/p/DcrAWJvHIXA/,"Carrossel do Instagram",,Total,3270213,91129,1702,291,0,1738111,449
18365599636243917,17841400074692954,paulistao,Paulistão,"O NEYMAR TÁ NA ÁREA PARA O CLÁSSICO ALVINEGRO! 
#Santos #Brasileirão",16,"08/30/2026 11:24",https://www.instagram.com/reel/DcrJT5KpWkV/,"Reel do Instagram",,Total,89327,4890,88,28,53,59841,4
18352098013220053,17841400074692954,paulistao,Paulistão,"NEYMAR 🤝 CARRILLO
#Brasileirão #PaulistasEmCampo",5,"08/30/2026 11:33",https://www.instagram.com/reel/DcrKUxJp1lw/,"Reel do Instagram",,Total,937746,34832,578,77,436,497074,82
18063038939772409,17841400074692954,paulistao,Paulistão,"Yuri Alberto 🤝 Neymar! #PaulistasEmCampo #Corinthians #Santos",4,"08/30/2026 11:46",https://www.instagram.com/reel/DcrL8KFJBKX/,"Reel do Instagram",,Total,919951,38195,1086,318,601,465798,48
17867275608642253,17841400074692954,paulistao,Paulistão,"A amizade… 🎶 #PaulistasEmCampo #Neymar #Memphis",7,"08/30/2026 12:02",https://www.instagram.com/reel/DcrN1yvpXMJ/,"Reel do Instagram",,Total,712961,21570,109,35,252,409300,22
18032933582836529,17841400074692954,paulistao,Paulistão,"MOSAICO DA FIEL PARA O CLÁSSICO ALVINEGRO! 
#Corinthians #PaulistasEmCampo",18,"08/30/2026 12:05",https://www.instagram.com/reel/DcrOA3cJMmE/,"Reel do Instagram",,Total,61775,5977,198,109,95,43824,9
17951222055255809,17841400074692954,paulistao,Paulistão,"AQUELE ABRAÇO DOS JOGADORES DO SANTOS NO PROFESSOR FERNANDO DINIZ! 
#Santos #Corinthians #Brasileirão",14,"08/30/2026 12:09",https://www.instagram.com/reel/DcrOg8bJ3Br/,"Reel do Instagram",,Total,574005,22217,150,80,261,346480,220
18072953147444369,17841400074692954,paulistao,Paulistão,"OLIVA APROVEITA O REBOTE E O PEIXÃO ABRE O PLACAR NA NEO QUÍMICA ARENA! 
#Santos #Brasileirão #PaulistasEmCampo",37,"08/30/2026 12:40",https://www.instagram.com/reel/DcrRuL2px6V/,"Reel do Instagram",,Total,150053,9298,591,152,102,104885,120
18092621939638166,17841459110724427,basedonetuno,"Base do EC Água Santa","Homenagem do EC Água Santa e EC São Bernardo 💙🤍🤝🖤💛 🤝🤍🖤

Essa partida foi em memória dos irmãos Felipe e Bia, vítimas de um acidente. Felipe era jogador Sub-14 do Mauá FC.

Vocês vão ficar eternizados nas memórias de cada companheiro aqui presente.

#ECÁguaSanta #mauafc #ecsãobernardo",0,"08/30/2026 13:00",https://www.instagram.com/p/DcrUgX0CbmG/,"Carrossel do Instagram",,Total,117342,1542,55,14,0,54325,3
18030032489891449,17841400731577742,yasmingzrn,Yasmin,"Corinthians x Santos pela 25ª Rodada do Brasileirão! #futebol #brasileirao #corinthians #santos #neymar",20,"08/30/2026 13:13",https://www.instagram.com/reel/DcrVst-SyDy/,"Reel do Instagram",,Total,426960,15097,75,44,0,237866,26
18008433836762888,17841400731577742,yasmingzrn,Yasmin,"Neymar finalizando o aquecimento no jogo de hoje #futebol #corinthians #santos #brasileirao #neymar",28,"08/30/2026 13:17",https://www.instagram.com/reel/DcrWG3xBdkt/,"Reel do Instagram",,Total,37282,1265,17,4,0,25519,5
18111456644006622,17841400074692954,paulistao,Paulistão,"OLIVA QUASE MARCA O SEU SEGUNDO GOL NO CLÁSSICO! 
#Santos #Brasileirão #PaulistasEmCampo",12,"08/30/2026 14:01",https://www.instagram.com/reel/DcrbXwdJvxi/,"Reel do Instagram",,Total,288927,6011,261,104,56,200256,18
17876381103548333,17841400074692954,paulistao,Paulistão,"A Ponte Preta foi superada em Minas Gerais.
#PaulistasEmCampo
📷Mourão Panda/América-MG",0,"08/30/2026 14:02",https://www.instagram.com/p/DcrbpBEH-A7/,"Imagem do Instagram",,Total,46816,907,18,43,8,25211,1
18130935418660430,17841400074692954,paulistao,Paulistão,"VITÓRIA SANTISTA!
O Peixe ficou com os três pontos no Clássico Alvinegro!
#PaulistasEmCampo
📷Raul Baretta/Santos",0,"08/30/2026 14:05",https://www.instagram.com/p/Dcrb688H_9p/,"Imagem do Instagram",,Total,40858,1560,193,82,12,23995,0
17924369517414592,17841400074692954,paulistao,Paulistão,"Neymar presenteou uma criança torcedora do Corinthians no fim do jogo! #PaulistasEmCampo #Neymar",7,"08/30/2026 14:41",https://www.instagram.com/reel/Dcrf1eupgzc/,"Reel do Instagram",,Total,973611,42359,900,654,597,509966,58
