"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Curtidas,Compartilhamentos,Comentários,Salvamentos,Seguimentos,Alcance
18332807386269367,17841400074692954,paulistao,Paulistão,"TRIO NA LIDERANÇA!
Avisa lá que o #FutebolPaulista está liderando três divisões nacionais 😎
#PaulistasEmCampo",0,"06/16/2026 15:30",https://www.instagram.com/p/DZqY41_kY4d/,"Imagem do Instagram",,Total,78838,2760,137,62,35,2,46132
18069403706447865,17841400074692954,paulistao,Paulistão,"No encerramento da 15ª rodada da Série B, o Botafogo foi superado em Ribeirão Preto.
#PaulistasEmCampo
📷João Victor Menezes de Souza/Agência Botafogo",0,"06/30/2026 18:03",https://www.instagram.com/p/DaOyrVWjaHx/,"Imagem do Instagram",,Total,19123,145,20,5,1,0,12041
17993880792004115,17841400074692954,paulistao,Paulistão,"MAIS UM DESAFIO!
A NORUEGA SERÁ O ADVERSÁRIO DO BRASIL NAS OITAVAS DE FINAL DA COPA DO MUNDO 🔥
#CopaDoMundo",0,"06/30/2026 14:45",https://www.instagram.com/p/DaOYVnulGCy/,"Imagem do Instagram",,Total,85819,2832,184,23,37,4,44689
17998975478964790,17841400074692954,paulistao,Paulistão,"𝑯𝒊𝒔 𝒏𝒂𝒎𝒆 𝒊𝒔 𝑮𝒂𝒃𝒊, 𝒉𝒆’𝒔 𝒇𝒓𝒐𝒎 𝑺𝒂̃𝒐 𝑷𝒂𝒖𝒍𝒐! 🌟
Gabriel Martinelli tem história no Paulistão, desde a base no Corinthians até o profissional no Ituano. Vem relembrar a trajetória dele no #FutebolPaulista! 
#Paulistão #SeleçãoBrasileira #CopaDoMundo #Martinelli",78,"06/30/2026 13:59",https://www.instagram.com/reel/DaOWNOhJUZp/,"Reel do Instagram",,Total,67505,1636,94,30,44,4,48786
18432752269121638,17841426196827383,copinha,Copinha,"A COPINHA RESOLVE 😎
Vem conferir cada cria que participou dos dois gols que classificaram o Brasil para as oitavas de final da Copa do Mundo. 

Revelado pelo Flamengo em 2017, Vini Jr começou a jogada e enxergou o Gabriel Magalhães.

Magalhães, que jogou pelo Avaí em 2016, deu aquela assistência certeira para o Casemiro. 

O camisa 5 da Seleção Brasileira disputou duas edições pelo São Paulo, 2009 e 2010, sendo campeão na última! 

MADE IN COTIA! 
O autor do primeiro gol 🔥

OI, BOA NOITE!
O jogador que disputou a Copinha mais recentemente, Rayan começou a jogada do segundo gol, e tocou para Bruno Guimarães. 

Presente em três edições de Copinha pelo Audax, Bruno Guimarães deu um passe incrível para Gabriel Martinelli! 

O astro do Arsenal, revelado no interior do Estado pelo Ituano, saiu da marcação e decretou a virada brasileira! 

VIVA AS CRIAS DA COPINHA! 😍🤩",0,"06/30/2026 12:08",https://www.instagram.com/p/DaOKEFhGlVI/,"Carrossel do Instagram",,Total,559618,17196,155,33,139,7,213474
17953158360185010,17841400074692954,paulistao,Paulistão,"VAMOS, PANTERA!
O Botafogo vai contar com o apoio da torcida para buscar a vitória no @brasileiraob!
#PaulistasEmCampo",0,"06/30/2026 06:00",https://www.instagram.com/p/DaNazqtE-Zu/,"Imagem do Instagram",,Total,11799,94,1,1,0,0,6663
18107431439099217,17841400074692954,paulistao,Paulistão,"FESTA ALVIVERDE! 💚
Com gols de Maurício e Gustavo Gómez, do Palmeiras, o Paraguai eliminou a Alemanha nos pênaltis e avançou para as oitavas de final da Copa do Mundo!
#PaulistasEmCampo #CopaDoMundo
📷Reprodução/Palmeiras",0,"06/29/2026 17:46",https://www.instagram.com/p/DaML95SGwT1/,"Imagem do Instagram",,Total,86823,7522,290,66,64,4,51685
18125017399709756,17841408376344663,libertadoresbr,"CONMEBOL Libertadores","🇵🇾💚🇧🇷 MAURICIO 🔛

⚽️ @Albirroja 🐷 @Palmeiras 

🏆 CONMEBOL #Libertadores 🤝 @FIFAWorldCup",7,"06/29/2026 17:05",https://www.instagram.com/reel/DaMHQFWJ_wl/,"Reel do Instagram",,Total,305258,28827,393,125,0,,
18269530996291378,17841401009444456,tntsportsbr,"TNT Sports Brasil","TEM QUE RESPEITAR O VERDÃO NA COPA DO MUNDO! 🐷🇵🇾 Maurício e Gustavo Gómez comemoraram muito a classificação do Paraguai! #TNTSports2026",0,"06/29/2026 17:05",https://www.instagram.com/p/DaMHPlUE3iH/,"Imagem do Instagram",,Total,719889,49943,2757,569,0,,
17871242058685708,17841400074692954,paulistao,Paulistão,"ARBITRAGEM PAULISTA EM CAMPO!
Raphael Claus e Danilo Manis, do quadro de árbitros da FPF, farão parte da equipe responsável por conduzir o duelo entre Estados Unidos e Bósnia, pela fase de 16 avos da Copa do Mundo 2026.
#FPF #Arbitragem",0,"06/29/2026 17:00",https://www.instagram.com/p/DaMGsslt7Fj/,"Imagem do Instagram",,Total,63261,1160,76,22,11,1,38869
