Título do vídeo,Link para o vídeo,Hora da publicação,Visualizações do vídeo,Curtidas,Comentários,Compartilhamentos,Adicionar aos Favoritos
"QUE ISSO, MEU GAROTO! O Luizinho tava desfilando na estreia do Timão na Copinha Sil 2026! #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7591257342700719371,2026/01/03 21:55:40,267211,3202,10,44,81
"ELE É BOM MESMO, HEIN?! Pega só esse golaço do João Bom, camisa 9 do Volta Redonda! #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7591252543670406456,2026/01/03 21:37:03,1355925,111053,827,2315,1409
É O FAVELA DA FIEL! O camisa 9 do Corinthians marcou o gol da vitória na estreia da Copinha Sil 2026! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7591247309623676172,2026/01/03 21:16:45,311466,11744,77,344,231
GOLAAAAAÇO DO GALO DA COMARCA! Guilherme Said viu o goleirão adiantado e não pensou duas vezes! Tá na rede pro XV de Jaú! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7591245157144513803,2026/01/03 21:08:21,44973,1711,8,24,22
"DE LETRA, PAPAI! Que categoria do Peu para marcar esse golaço para o Santa Cruz! #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7591230053824941323,2026/01/03 20:09:47,762220,74900,139,1456,991
"QUALIDADE DO CLEBINHO, HEIN?! O camisa 11 fez fila e marcou essa pintura para o São Bento na Copinha Sil 2026! #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7591229877458603276,2026/01/03 20:09:05,43447,3900,10,169,67
"✅ Jogada bonita pra gol ✅ Todo mundo de cabelo raspado ✅ Dancinha pra comemorar Se isso não é o puro suco de #CopinhaSil2026, eu não sei o que é! 😎🤣",https://www.tiktok.com/@copinha/video/7591187816160218380,2026/01/03 17:25:51,41094,2148,9,16,20
O PRIMEIRO HAT-TRICK! Três vezes Juninho na vitória do @ecbahia na #CopinhaSil2026 ⚽️🔥,https://www.tiktok.com/@copinha/video/7591175429621386508,2026/01/03 16:37:50,63757,3847,13,55,32
QUE PINTURA! O João Andrade colocou toda a categoria para abrir o placar para os Pivetes de Aço! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7591151503616888075,2026/01/03 15:04:58,499468,41706,93,1215,575
O PRIMEIRO DO SPORT! 🦁⚽️ Rafael de Jesus marca o primeiro dos Leões da Base na #CopinhaSil2026! ,https://www.tiktok.com/@copinha/video/7590890413725093128,2026/01/02 22:11:51,41269,1971,6,27,18
GRÊMIO A TODO VAPOR!  Vitor Ramon corre o campo todo e marca o segundo do Tricolor!  #CopinhaSil2026 ,https://www.tiktok.com/@copinha/video/7590881568315493639,2026/01/02 21:37:29,191033,13875,22,249,109
"DOMINOU, AJEITOU E MANDOU PRO GOL! O Yago marcou o dele na #CopinhaSil2026 ⚽️",https://www.tiktok.com/@copinha/video/7590859190655028536,2026/01/02 20:10:36,175565,9204,24,92,70
VEIO AÍ! Kaio é o responsável pelo primeiro gol da Copinha Sil 2026 🔥 #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7590794783292083512,2026/01/02 16:00:40,1423161,51681,85,519,665
O KUKRI APRONTOU DE NOVO! OUTRO GOLAÇO DE FALTA DO CAMISA 7 DO ÁGUIA DE MARABÁ! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7592770144942722325,2026/01/07 23:46:24,123169,8391,50,193,88
"QUE GOLAÇOOOOOO! QUE PINTURA DO KUKRI, DO ÁGUIA DE MARABÁ! #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7592768422526618900,2026/01/07 23:39:44,25736,1713,13,56,24
QUE GOLAÇO! O Rafael acertou esse lindo chute e fez um belo gol para o Grêmio São-Carlense! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7592747745652329748,2026/01/07 22:19:32,9480,381,2,7,2
FESTA EM SÃO CARLOS! O GRÊMIO SÃO-CARLENSE ABRE O PLACAR NA COPINHA SIL! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7592738460767735052,2026/01/07 21:43:13,17446,1012,3,1,1
"O MOLEQUE É DIFERENTE! Que chapéu do Tetê, do São Paulo, hein?! #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7592727399997934860,2026/01/07 21:00:14,2737380,93518,309,2536,1695
