"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"17 de agosto","7️⃣ VEZES EDUARDO! O craque do Palmeiras marcou 4 gols e deu 3 assistências na goleada na #CopinhaSil2026! 😮‍💨","https://www.tiktok.com/@copinha/video/7593162873719819576","8 de janeiro","33480","216","1904","675210"
"17 de agosto","ELE TEM O VENENO! Quero ver pegar o Gabriel Veneno, do Atlético-MG!  #CopinhaSil2026","https://www.tiktok.com/@copinha/video/7591717932825185557","5 de janeiro","59173","148","2651","647382"
"17 de agosto","QUEE GOLAAAÇOOOO!!!! Felipe Teresa, do @palmeiras, arriscou do meio de campo e acertou um golaço no Brasileirão Sub-20!","https://www.tiktok.com/@copinha/video/7663227940347432200","16 de julho","1402","18","135","21996"
"17 de agosto","Não... o vídeo não tá repetido, ele que fez isso DUAS vezes! 😱🥶🤯 DUAS CAVADINHAS do Ryan Francisco para classificar o São Paulo para a final da Copinha Sicredi! #CopinhaSicredi #SãoPaulo","https://www.tiktok.com/@copinha/video/7462559590710906117","21 de janeiro","110451","749","6625","1331483"
"17 de agosto","PAULISTA SUB-11 🥇 PAULISTA SUB-12 🥇 PAULISTA SUB-13 🥇 KAUÃ PABLO E LUAN, ESSA DUPLA ESTÁ COLECIONANDO MEDALHAS NO CAMPEONATO PAULISTA! ","https://www.tiktok.com/@copinha/video/7570819051614670100","9 de novembro","21828","34","240","389585"
"17 de agosto","AI, AI, AI! QUE ISSO, PAPAI! O Marcos Vinicius é ousado, hein?! #CopinhaSicredi","https://www.tiktok.com/@copinha/video/7456574770612653318","5 de janeiro","558554","1510","38174","8431080"
"17 de agosto","A emoção de disputar a maior competição de base do mundo! 🥹🥰 #CopinhaSil","https://www.tiktok.com/@copinha/video/7591672791095659832","4 de janeiro","96975","625","2419","750358"
"17 de agosto","QUE ISSO, MLK RYAN?! QUE CANETA, PAPAI! #CopinhaSil2026","https://www.tiktok.com/@copinha/video/7591705585125526840","4 de janeiro","236448","431","8694","2495606"
"17 de agosto","DE LETRA, PAPAI! Que categoria do Peu para marcar esse golaço para o Santa Cruz! #CopinhaSil2026","https://www.tiktok.com/@copinha/video/7591230053824941323","3 de janeiro","74920","139","1456","762521"
"17 de agosto","Aquela dancinha pra chegar tranquilo pra uma decisão de Copinha Sicredi! #CopinhaSicredi #Final ","https://www.tiktok.com/@copinha/video/7328156891182337285","25 de janeiro","160963","4299","1830","3456327"
"17 de agosto","WILLY DEFENDE O PÊNALTI! O goleirão da @associacaoesportivareal impediu a virada da Ponte Preta! #CopinhaSil2026","https://www.tiktok.com/@copinha/video/7593045190915525944","8 de janeiro","2473","7","48","598827"
"17 de agosto","Deixa os campeões balançarem!!! 🤪🕺🏾🏆 #CopinhaSil","https://www.tiktok.com/@copinha/video/7599368943559707960","25 de janeiro","51761","295","1484","778630"
"17 de agosto","QUE VENENO!  O Gabriel Veneno pratica o futebol arte na Copinha Sil 2026!  #CopinhaSil2026","https://www.tiktok.com/@copinha/video/7592823384325606676","8 de janeiro","19932","111","812","282773"
"17 de agosto","SALVOU EM CIMA DA LINHA... COM CATEGORIA! #PaulistaSub14","https://www.tiktok.com/@copinha/video/7571536967196757259","11 de novembro","20017","35","450","275064"
"17 de agosto","A BATIIIIIIIIIIIIDAAAA! Eduardo Pape acerta um chutaço de fora da área para empatar o jogo! Tem gol do Cabuloso! #CopinhaSil2026","https://www.tiktok.com/@copinha/video/7598008513293552908","21 de janeiro","23826","86","990","227275"
