"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"8 de setembro","FOI PRA REDE! O Kauan Basile precisou de poucos segundos pra anotar esse golaço pra cima do Marília no Paulista Sub-15! #PaulistaSub15 🎥SantosTV 📷Reinaldo Campos/Santos","https://www.tiktok.com/@copinha/video/7679501742651870484","29 de agosto","424","2","4","5357"
"8 de setembro","ELE TEM O VENENO! Quero ver pegar o Gabriel Veneno, do Atlético-MG!  #CopinhaSil2026","https://www.tiktok.com/@copinha/video/7591717932825185557","5 de janeiro","59393","148","2656","650197"
"8 de setembro","SABE O QUE FAZ! O Angelo abriu o placar para o Tricolor no Paulista Sub-20 Série A com categoria 🤩🔥 #PaulistaSub20SérieA","https://www.tiktok.com/@copinha/video/7681774656734514439","4 de setembro","173","1","0","2804"
"8 de setembro","PASSOU POR QUATRO! O Luis Fhelipe saiu driblando geral da defesa do XV de Jaú pra marcar esse golaço pro Palmeiras. Nem o goleirão escapou. #PaulistaSub15 🎥TV Palmeiras","https://www.tiktok.com/@copinha/video/7679568972928404757","29 de agosto","194","0","3","2140"
"8 de setembro","7️⃣ VEZES EDUARDO! O craque do Palmeiras marcou 4 gols e deu 3 assistências na goleada na #CopinhaSil2026! 😮‍💨","https://www.tiktok.com/@copinha/video/7593162873719819576","8 de janeiro","33482","216","1904","675983"
"8 de setembro","Não... o vídeo não tá repetido, ele que fez isso DUAS vezes! 😱🥶🤯 DUAS CAVADINHAS do Ryan Francisco para classificar o São Paulo para a final da Copinha Sicredi! #CopinhaSicredi #SãoPaulo","https://www.tiktok.com/@copinha/video/7462559590710906117","21 de janeiro","110544","748","6633","1332887"
"8 de setembro","PAULISTA SUB-11 🥇 PAULISTA SUB-12 🥇 PAULISTA SUB-13 🥇 KAUÃ PABLO E LUAN, ESSA DUPLA ESTÁ COLECIONANDO MEDALHAS NO CAMPEONATO PAULISTA! ","https://www.tiktok.com/@copinha/video/7570819051614670100","9 de novembro","21869","34","240","391066"
"8 de setembro","AI, AI, AI! QUE ISSO, PAPAI! O Marcos Vinicius é ousado, hein?! #CopinhaSicredi","https://www.tiktok.com/@copinha/video/7456574770612653318","5 de janeiro","558587","1510","38174","8432222"
"8 de setembro","QUE ISSO, MLK RYAN?! QUE CANETA, PAPAI! #CopinhaSil2026","https://www.tiktok.com/@copinha/video/7591705585125526840","4 de janeiro","236518","431","8695","2496662"
"8 de setembro","A emoção de disputar a maior competição de base do mundo! 🥹🥰 #CopinhaSil","https://www.tiktok.com/@copinha/video/7591672791095659832","4 de janeiro","97005","623","2419","751183"
"8 de setembro","QUEE GOLAAAÇOOOO!!!! Felipe Teresa, do @palmeiras, arriscou do meio de campo e acertou um golaço no Brasileirão Sub-20!","https://www.tiktok.com/@copinha/video/7663227940347432200","16 de julho","1409","18","136","22312"
"8 de setembro","SALVOU EM CIMA DA LINHA... COM CATEGORIA! #PaulistaSub14","https://www.tiktok.com/@copinha/video/7571536967196757259","11 de novembro","20040","35","451","275627"
"8 de setembro","O MOLEQUE É DIFERENTE! Que chapéu do Tetê, do São Paulo, hein?! #CopinhaSil2026","https://www.tiktok.com/@copinha/video/7592727399997934860","7 de janeiro","93529","308","2538","2738066"
"8 de setembro","Aquela dancinha pra chegar tranquilo pra uma decisão de Copinha Sicredi! #CopinhaSicredi #Final ","https://www.tiktok.com/@copinha/video/7328156891182337285","25 de janeiro","160977","4294","1830","3456728"
"8 de setembro","QUE VENENO!  O Gabriel Veneno pratica o futebol arte na Copinha Sil 2026!  #CopinhaSil2026","https://www.tiktok.com/@copinha/video/7592823384325606676","8 de janeiro","19949","110","813","283157"
