"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"1 de setembro","AQUELE ABRAÇO DOS JOGADORES DO SANTOS NO PROFESSOR FERNANDO DINIZ! #Santos #Corinthians #Brasileirão","https://www.tiktok.com/@paulistao/video/7679906041399610625","30 de agosto","4732","17","41","124197"
"1 de setembro","NADA COMO MAIS UM DUELO PAULISTA! #Brasileirão #Santos #Mirassol ","https://www.tiktok.com/@paulistao/video/7677251306825862407","23 de agosto","5895","119","175","85780"
"1 de setembro","Já estamos com saudade de você, Memphis 😪 #PaulistãoCasasBahia #trend #Corinthians #MemphisDepay","https://www.tiktok.com/@paulistao/video/7672870621184970004","11 de agosto","11154","88","673","56426"
"1 de setembro","OLIVA QUASE MARCA O SEU SEGUNDO GOL NO CLÁSSICO! #Santos #Brasileirão #PaulistasEmCampo","https://www.tiktok.com/@paulistao/video/7679935592238566677","30 de agosto","1802","68","50","68385"
"1 de setembro","NEYMAR 🤝 CARRILLO #Brasileirão #PaulistasEmCampo","https://www.tiktok.com/@paulistao/video/7679900351100718357","30 de agosto","1273","4","14","60138"
"1 de setembro","O corinthiano mais fraco tá assim hoje! 🤣🤣🤣 #PaulistãoCasasBahia #Corinthians","https://www.tiktok.com/@paulistao/video/7675445815048932624","18 de agosto","4458","17","93","26221"
"1 de setembro","A amizade… 🎶 #PaulistasEmCampo #Neymar #Memphis","https://www.tiktok.com/@paulistao/video/7679903427475868935","30 de agosto","1310","2","7","26584"
"1 de setembro","O LEOZINHO QUASE FAZ UM GOLAÇO! #PaulistaSub23SegundaDivisão","https://www.tiktok.com/@paulistao/video/7674623373304941840","16 de agosto","103","1","0","15642"
"1 de setembro","A adm fica exatamente assim sabendo que o final de semana será recheado de #DuelosPaulistas 🤩 ","https://www.tiktok.com/@paulistao/video/7679516214082784519","29 de agosto","444","16","17","12455"
"1 de setembro","As crianças vieram em peso apoiar o Independente!🤩 #PaulistaSub23SegundaDivisão","https://www.tiktok.com/@paulistao/video/7674616789560528145","16 de agosto","71","2","1","11682"
"1 de setembro","TUDO IGUAL NA DECISÃO!!!!! 🤩🤩🤩 #PaulistaSub23SegundaDivisão","https://www.tiktok.com/@paulistao/video/7674634466115013895","16 de agosto","196","2","0","11437"
"1 de setembro","No último encontro entre Corinthians e Rosario Central na @libertadoresbr, o Timão levou a melhor! Vem conferir os gols do confronto que rolou nas oitavas de final de 2000 🦅👀 #PaulistasEmCampo #Libertadores 🎥ESPN","https://www.tiktok.com/@paulistao/video/7676167514664996112","20 de agosto","81","4","2","11191"
"1 de setembro","ÉDIPO VAI PRA REDE! O América abre o placar em Limeira! #PaulistaSub23SegundaDivisão","https://www.tiktok.com/@paulistao/video/7674623133977939201","16 de agosto","104","1","0","10985"
"1 de setembro","COLOCA MAIS UMA NA CONTA DO PAREDÃO SANTISTA!  #PaulistasEmCampo #Santos #Brazão  🎥 @premiere ","https://www.tiktok.com/@paulistao/video/7670347150647315719","4 de agosto","267","2","4","10519"
"1 de setembro","BRENO DE SOUZA BIDON! O pênalti decisivo nos pés do Filho do Terrão! #FutebolPaulista #Corinthians #CopadoBrasil","https://www.tiktok.com/@paulistao/video/7584091018430008596","15 de dezembro","283572","850","6989","2248744"
