Título do vídeo,Link para o vídeo,Hora da publicação,Visualizações do vídeo,Curtidas,Comentários,Compartilhamentos,Adicionar aos Favoritos
"Esse aqui é o vídeo do Sesi apresentando o Festival Paulista Feminino Sub-14, se quiser assistir 🤷‍♀️ #FestivalPaulistaFemininoSub14  ",https://www.tiktok.com/@paulistaofeminino/video/7627631824365243655,2026/04/11 22:27:16,3164,236,1,6,3
E ESSA BATALHA DE ACROBACIAS? 😱 O Fanaticão e as atletas do Osasco Sporting estão com desenvoltura de sobra na ginástica! 🤸  #FestivalPaulistaFemininoSub14  ,https://www.tiktok.com/@paulistaofeminino/video/7627610649954225416,2026/04/11 21:05:05,2724,102,0,1,1
FESTIVAL ROLANDO A TODO VAPOR! 🔥 Os jogos da manhã foram super agitados no Sesi!  #FestivalPaulistaFemininoSub14  ,https://www.tiktok.com/@paulistaofeminino/video/7627534277625842952,2026/04/11 16:08:42,1108,53,0,0,0
HAJA COORDENAÇÃO MOTORA! 😮‍💨 E esse aquecimento do @sferafc antes do jogo? Não pode perder a concentração! 👀 #FestivalPaulistaFemininoSub14  ,https://www.tiktok.com/@paulistaofeminino/video/7627505288358284562,2026/04/11 14:16:09,2522,135,2,1,2
O BONDE PASSOU! 🏃‍♀️ Só observando a AJVV depois da primeira vitória no Festival Paulista Feminino Sub-14! #FestivalPaulistaFemininoSub14   ,https://www.tiktok.com/@paulistaofeminino/video/7627492007975456018,2026/04/11 13:24:37,152782,2819,15,64,103
TIMES EM CAMPO! 🤩 Todas as dez equipes que vão participar desse primeiro dia de #FestivalPaulistaFemininoSub14 estão mais que preparadas! ,https://www.tiktok.com/@paulistaofeminino/video/7627475203555118354,2026/04/11 12:19:27,1048,81,1,1,0
"O PRIMEIRO A GENTE NÃO ESQUECE! Evelin Bonifácio marcou seu primeiro gol no profissional. E foi com categoria, hein? 👀 #ElasEmCampo 🎥 @nsports",https://www.tiktok.com/@paulistaofeminino/video/7624720839920848129,2026/04/04 02:11:59,8391,201,2,1,2
O PRIMEIRO É ESPECIAL! Taina Maranhão marca pela primeira vez com a camisa da @selecaofemininadefutebol ⚽🔥 #ElasEmCampo 🎥 @ge.globo,https://www.tiktok.com/@paulistaofeminino/video/7611747489724550401,2026/02/28 03:09:04,24956,676,5,7,34
ROSANA 👏 ROSANA 👏 #ElasEmCampo #Supercopa,https://www.tiktok.com/@paulistaofeminino/video/7604501211714194699,2026/02/08 15:50:20,3792,165,3,6,5
"QUE RETORNO, HEIN, BIA! 🤩 Será que a Imperatriz tá feliz com o gol e o título logo no primeiro jogo de volta pra casa? 🟢⚪️ #ElasEmCampo #Supercopa",https://www.tiktok.com/@paulistaofeminino/video/7604501064867466508,2026/02/08 15:49:58,2085,192,3,3,8
✅ Playlist eclética ✅ Dancinhas ✅ Taça da Supercopa #ElasEmCampo #Supercopa,https://www.tiktok.com/@paulistaofeminino/video/7604464916694650123,2026/02/08 15:49:35,1123,96,2,0,0
A IMPERATRIZ COMANDOU A FESTA COM A TORCIDA! 🤩🏆 #ElasEmCampo #Supercopa,https://www.tiktok.com/@paulistaofeminino/video/7604500962119568652,2026/02/08 15:43:21,1836,116,1,0,2
"É A MELHOR GOLEIRA DO BRASIL, TAPIA! 🧤🔥 #ElasEmCampo #Supercopa",https://www.tiktok.com/@paulistaofeminino/video/7604500541330312459,2026/02/08 15:43:03,2707,207,1,4,8
ÉÉÉ CAMPEÃO!!! 🏆🟢⚪️ #ElasEmCampo #Supercopa,https://www.tiktok.com/@paulistaofeminino/video/7604501530955238667,2026/02/08 15:42:26,1013,92,1,2,1
UM SONHO REALIZADO! 🥹✨ A Tamires não conseguiu segurar a emoção depois da classificação das Brabas para a final do Mundial Feminino! #ElasEmCampo #BrabasInLondon 🎥@corinthiansfutebolfeminino,https://www.tiktok.com/@paulistaofeminino/video/7600510175857954059,2026/01/28 20:30:25,3500,416,4,6,17
QUE BOMBA DA YORELI! As Sereias empatam o jogo contra o Red Bull Bragantino! #PaulistãoFPetrobras,https://www.tiktok.com/@paulistaofeminino/video/7667721266077404423,2026/07/28 23:14:48,663,62,3,0,0
MARTINA ABRE O PLACAR PARA AS BRAGANTINAS! A atacante argentina faz o primeiro gol do jogo contra o Santos! #PaulistãoFPetrobras,https://www.tiktok.com/@paulistaofeminino/video/7667719961279728914,2026/07/28 23:09:45,924,37,2,1,0
PARA FECHAR A CONTA… Kesia saiu da marcação e deixou o dela na partida! #PaulistãoFPetrobras  ,https://www.tiktok.com/@paulistaofeminino/video/7667362740909935880,2026/07/28 00:03:28,1062,68,1,0,0
BIA MENEZES É O NOME DELA! O gol do Tricolor saiu na cobrança de falta da camisa 23 🔥⚽️ #PaulistãoFPetrobras ,https://www.tiktok.com/@paulistaofeminino/video/7667351658556443922,2026/07/27 23:20:35,822,56,1,1,0
CONEXÃO ALVIVERDE! Da Brena pra Emily. Da Emily pro gol! #PaulistãoF #SuperclássicoF,https://www.tiktok.com/@paulistaofeminino/video/7663890128993062162,2026/07/18 15:27:39,1100,102,1,0,2
É DO PALMEIRAS! Emily Assis entrou no segundo tempo e abriu o placar para as Palestrinas! #SuperclássicoF #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7663890063469612308,2026/07/18 15:27:32,3094,165,1,1,5
OLÉ! A Glaucia abriu a chapelaria no primeiro tempo do Choque-Rainha. #SuperclássicoF #PaulistãoF,https://www.tiktok.com/@paulistaofeminino/video/7663889891024981249,2026/07/18 15:27:24,883,67,1,0,0
TEM ESTRELA 🌟⚽️ Emily saiu do banco para colocar as Palestrinas na frente. #PaulistãoF2026 #SuperclássicoF,https://www.tiktok.com/@paulistaofeminino/video/7663881320304561415,2026/07/18 14:53:47,1226,102,2,2,1
"QUE FOGUETE FOI ESSE?! Rafa Andrade tá com a mira em dia, hein? #PaulistãoF2026",https://www.tiktok.com/@paulistaofeminino/video/7663671358265576720,2026/07/18 01:20:17,1869,167,0,2,4
FECHOU OS ESPAÇOS… A Jhonson pressionou a defesa e marcou o gol das Brabas já nos acréscimos. #PaulistãoF2026 #SuperclássicoF,https://www.tiktok.com/@paulistaofeminino/video/7663637482172337424,2026/07/17 23:08:13,2160,110,0,0,5
PRESENÇA ILUSTRE! @hopelingard e @jesselingard estão on demais no Superclássico F desta noite 🤩 #PaulistãoF2026 #SuperclássicoF,https://www.tiktok.com/@paulistaofeminino/video/7663618382331202833,2026/07/17 21:53:33,4602,438,5,8,15
CONFIRA COMIGO NO REPLAY! O primeiro gol da história do Mirassol no futebol feminino! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7663476189230681360,2026/07/17 12:42:10,1141,109,0,2,2
MAIS DO QUE ESPECIAL! Saiu o primeiro gol do Mirassol no futebol feminino! Um senhor GO-LA-ÇO da Julia Daltoé para igualar o marcador! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7663295050293464340,2026/07/17 00:58:44,7500,322,4,8,6
TÁ NA REDE! A Rafa Mineira mandou um chutaço da entrada da área e colocou o Red Bull na frente do marcador. #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7663294923734519041,2026/07/17 00:58:41,725,62,0,0,0
"FELIZ DEMAIS EM CHEGAR AQUI! Lelê, um dos grandes nomes das Brabas, contou um pouco da sua história com a camisa alvinegra e também sobre a caminhada que a levou até a Seleção Brasileira. Vem conferir mais sobre a goleira no #PelasLentesDoPaulistão",https://www.tiktok.com/@paulistaofeminino/video/7663231043507326228,2026/07/16 20:50:09,2524,241,4,0,9
OLHA A VIRADA! Giovanna Crivelari balança a rede mais uma vez e coloca o São Paulo na frente do marcador! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7661785272685776129,2026/07/12 23:21:03,493,37,0,0,1
CRIVELARI! A camisa 19 do São Paulo aparece livre de marcação e deixa tudo igual contra o Taubaté! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7661782436119907604,2026/07/12 23:08:54,519,27,0,0,0
"POR POUCO! A Kakau chegou mais uma vez, mas agora, Carlinha e a trave impediram o gol do Taubaté. #PaulistãoF2026",https://www.tiktok.com/@paulistaofeminino/video/7661774947680816392,2026/07/12 22:39:54,740,35,1,0,1
KAKAU! A camisa 9 do Taubaté abriu os trabalhos em grande estilo! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7661764585355103496,2026/07/12 21:59:39,410,29,1,0,0
CONTAGEM REGRESSIVA! TODO MUNDO NO CLIMA DA COPA DO MUNDO DE 2027 NO BRASIL 🤩 #SeleçãoBrasileira #CopaDoMundoFeminina,https://www.tiktok.com/@paulistaofeminino/video/7654930704098249992,2026/06/24 12:00:29,1180,62,1,4,0
QUE GO-LA-ÇO! 🔥 A Andressa Soares soltou o pé da entrada da área e não deu caches pra goleira do Mirassol! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7648737718255521031,2026/06/07 19:28:41,893,60,2,1,2
TÁ NA REDE! Kakau tira da goleira do Mirassol e marca o primeiro do Taubaté! #PaulistãoF2026,https://www.tiktok.com/@paulistaofeminino/video/7648737303036202241,2026/06/07 19:28:04,881,40,1,1,0
