"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"8 de setembro","VIRA VIROUUUU!!! JAQUELINE COLOCA AS BRABAS NA FRENTE! 😮💨🔥 #PaulistãoFPetrobras #Corinthians","https://www.tiktok.com/@paulistaofeminino/video/7678474029606407441","26 de agosto","442","3","0","23377"
"8 de setembro","ELA SEMPRE MUDA O JOGO! 🤩 A JHONSON TEM MUITA ESTRELA! 🌟 #PaulistãoFPetrobras #GameChanger #Betano","https://www.tiktok.com/@paulistaofeminino/video/7678502442329246993","26 de agosto","657","2","3","17547"
"8 de setembro","QUE MOMENTO! As duas goleiras do Red Bull Bragantino machucaram no jogo, mas Ana Carla saiu da linha, assumiu o gol e fez uma defesa nos acréscimos para garantir o empate das Bragantinas! #PaulistãoFPetrobras","https://www.tiktok.com/@paulistaofeminino/video/7673313956357852434","12 de agosto","241","5","6","12909"
"8 de setembro","O TERCEIRO DA FERROVIÁRIA FOI UM GOLAAAÇOO! Diana Benítez mandou de longe e fez um lindo gol! #PaulistãoFPetrobras #SuperclássicoFPetrobras","https://www.tiktok.com/@paulistaofeminino/video/7678502317796117761","26 de agosto","144","0","0","10608"
"8 de setembro","A MÁGICA RESOLVE!🪄⚽ Vic Albuquerque entra e marca um golaço para garantir vantagem para as Brabas nas quartas do @brfeminino! #ElasEmCampo #Corinthians #Brabas 🎥SporTV","https://www.tiktok.com/@paulistaofeminino/video/7680361605955177746","31 de agosto","352","8","9","7454"
"8 de setembro","TEM LEI DA EX COM A THAYSLANE! As Guerreiras abrem o placar na Fonte Luminosa! #PaulistãoFPetrobras #SuperclássicoFPetrobras","https://www.tiktok.com/@paulistaofeminino/video/7678473731622079760","26 de agosto","68","2","1","6061"
"8 de setembro","QUE FRIEZA! 🥶 A Nicoly teve muita tranquilidade para tirar da goleira e deixar o dela na goleada do Palmeiras para cima do Lemense no Paulista F Sub-20 Petrobras! #PaulistaFSub20Petrobras","https://www.tiktok.com/@paulistaofeminino/video/7672866384484781330","11 de agosto","126","1","0","5780"
"8 de setembro","O TIMÃO VAI GOLEAR! 🔥 O Corinthians venceu o Audax por 6 a 1 no Paulista F Sub-20 Petrobras e um dos gols rolou depois dessa roubada de bola da Gabi Jordi! #PaulistaFSub20Petrobras","https://www.tiktok.com/@paulistaofeminino/video/7675479334026628368","18 de agosto","138","1","2","5299"
"8 de setembro","NO TALENTO! QUE CATEGORIA DA DOS SANTOS PARA MARCAR O SEGUNDO DAS GUERREIRAS! #PaulistãoFPetrobras #SuperclássicoFPetrobras","https://www.tiktok.com/@paulistaofeminino/video/7678487345351494929","26 de agosto","116","2","0","5252"
"8 de setembro","CARREGOU O CAMPO TODO E MANDOU PRO FUNDO DA REDE! 🔥 Dulce, do Corinthians, fez essa jogada que resultou em um dos gols da vitória das Brabinhas para cima do Santos no Paulista F Sub-20 Petrobras! #PaulistaFSub20Petrobras","https://www.tiktok.com/@paulistaofeminino/video/7672849657306844433","11 de agosto","223","1","2","5067"
"8 de setembro","OLHA ELA DE NOVO! Jaqueline marca o segundo das Brabas contra o Mirassol! #PaulistãoFPetrobras #Corinthians","https://www.tiktok.com/@paulistaofeminino/video/7673250849467960596","12 de agosto","161","1","1","3997"
"8 de setembro","GOL HISTÓRICO! Giovana deixou tudo igual e fez o segundo gol da história do Mirassol! #PaulistãoFPetrobras","https://www.tiktok.com/@paulistaofeminino/video/7673248902094605588","12 de agosto","90","1","0","3072"
"8 de setembro","SEMPRE ELA, SEMPRE DE ARTILHEIRA @arielgodoy94! ⚫⚪ #PaulistãoFPetrobras #Corinthians","https://www.tiktok.com/@paulistaofeminino/video/7678468056758095122","26 de agosto","199","1","0","3349"
"8 de setembro","TEM MINI CRAQUE POR AQUI! 🤏🥰 A Maria Vitória, do Mirassol, já balançou as redes duas vezes hoje no #FestivalPaulistaSub14! 💛","https://www.tiktok.com/@paulistaofeminino/video/7676910031421377810","22 de agosto","158","2","7","2695"
"8 de setembro","QUE INTIMIDADE! Que qualidade da @dudaasampaio10 no domínio, hein?! #PaulistãoFPetrobras","https://www.tiktok.com/@paulistaofeminino/video/7668075697025436935","29 de julho","936","4","12","14291"
