"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"17 de agosto","Já estamos com saudade de você, Memphis 😪 #PaulistãoCasasBahia #trend #Corinthians #MemphisDepay","https://www.tiktok.com/@paulistao/video/7672870621184970004","11 de agosto","9995","74","638","47958"
"17 de agosto","BRENO DE SOUZA BIDON! O pênalti decisivo nos pés do Filho do Terrão! #FutebolPaulista #Corinthians #CopadoBrasil","https://www.tiktok.com/@paulistao/video/7584091018430008596","15 de dezembro","283203","853","6948","2242957"
"17 de agosto","FAZ O GOL E METE DANÇA! ⚽️🕺 Talles Magno coloca o Timão em vantagem na Neo Química Arena. #PaulistãoSicrediÉDoBrasil","https://www.tiktok.com/@paulistao/video/7461768831925570821","19 de janeiro","19815","147","830","418349"
"17 de agosto","Entende muito do adversário, @matheuzinhoo? 😂😜 #PaulistasEmCampo #Corinthians ","https://www.tiktok.com/@paulistao/video/7586484551644466450","21 de dezembro","56595","1853","2301","1147291"
"17 de agosto","NO ALTO! O Arboleda marcou o gol do @saopaulofc na Bolívia.  #PaulistasEmCampo #Sudamericana  🎥 @sudamericanabr ","https://www.tiktok.com/@paulistao/video/7672970527979359508","11 de agosto","77","2","1","1691"
"17 de agosto","É DOMINGO DE DECISÃO, AMIGOS! #PaulistaSub23SegundaDivisão","https://www.tiktok.com/@paulistao/video/7672031756588977426","9 de agosto","35","1","0","1530"
"17 de agosto","PLACAR ABERTO! Logo no comecinho da partida, Édipo anota o primeiro gol para o América! #PaulistaSub23SegundaDivisão","https://www.tiktok.com/@paulistao/video/7672021421471599890","9 de agosto","61","2","3","1410"
"17 de agosto","TÁ PODENDO GOL OLÍMPICO NA COPA PAULISTA RIVALO? 😱 Aparentemente tá podendo! O Matheus Arjona fez o gol de empate do Bandeirante contra o Marília direto da marca do escanteio! #CopaPaulistaRivalo","https://www.tiktok.com/@paulistao/video/7673531270961401108","13 de agosto","52","0","0","1400"
"17 de agosto","O TORCEDOR DO TIMÃO VAI SEXTAR NESSE PIQUE NÉ? 🤪 #PaulistãoSicrediÉDoBrasil ","https://www.tiktok.com/@paulistao/video/7486875541530774789","28 de março","546202","2403","10872","18591524"
"17 de agosto","MAIS UM! O América vai pra rede mais uma vez! Agora foi a vez de Leozinho deixar o dele #PaulistaSub23SegundaDivisão","https://www.tiktok.com/@paulistao/video/7672027018946465040","9 de agosto","36","2","0","938"
"17 de agosto","🇨🇴🐷💚OLÊ, OLÊ, OLÊ, OLÁ! Ele brilhou no Paulistão Casas Bahia e hoje vai com tudo para mais um jogo na Copa do Mundo. Pra cima, John Arias! #Palmeiras #PaulistãoCasasBahia","https://www.tiktok.com/@paulistao/video/7654683244130045191","23 de junho","3039","7","17","30095"
"17 de agosto","A HABILIDADE DE HUGO SOUZA! ","https://www.tiktok.com/@paulistao/video/7482556321737248005","16 de março","39793","273","602","1266451"
"17 de agosto","ALÍVIO OU ALEGRIA? 👉🏼😌👈🏼 A reação do Memphis no apito final que o deu o título do #PaulistãoSicredi ao Corinthians.","https://www.tiktok.com/@paulistao/video/7487664033827409157","30 de março","50144","235","521","354765"
"17 de agosto","É O SEGUNDO DO AMÉRICA! Aislan ganhou na velocidade e de canhota marcou para a equipe de São José do Rio Preto! #PaulistaSub23SegundaDivisão","https://www.tiktok.com/@paulistao/video/7669435244365286664","2 de agosto","130","3","3","2160"
"17 de agosto","COMEMORA, GALO! 🔥 O Independente de Limeira subiu e a torcida fez a festa com a equipe! #PaulistaSub23SegundaDivisão","https://www.tiktok.com/@paulistao/video/7669467398247894273","2 de agosto","424","11","31","8666"
