"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"8 de setembro","AQUELE ABRAÇO DOS JOGADORES DO SANTOS NO PROFESSOR FERNANDO DINIZ! #Santos #Corinthians #Brasileirão","https://www.tiktok.com/@paulistao/video/7679906041399610625","30 de agosto","4807","17","43","127327"
"8 de setembro","NADA COMO MAIS UM DUELO PAULISTA! #Brasileirão #Santos #Mirassol ","https://www.tiktok.com/@paulistao/video/7677251306825862407","23 de agosto","5898","119","175","85961"
"8 de setembro","OLIVA QUASE MARCA O SEU SEGUNDO GOL NO CLÁSSICO! #Santos #Brasileirão #PaulistasEmCampo","https://www.tiktok.com/@paulistao/video/7679935592238566677","30 de agosto","1818","86","53","69164"
"8 de setembro","NEYMAR 🤝 CARRILLO #Brasileirão #PaulistasEmCampo","https://www.tiktok.com/@paulistao/video/7679900351100718357","30 de agosto","1297","4","14","61217"
"8 de setembro","Já estamos com saudade de você, Memphis 😪 #PaulistãoCasasBahia #trend #Corinthians #MemphisDepay","https://www.tiktok.com/@paulistao/video/7672870621184970004","11 de agosto","11215","88","679","57406"
"8 de setembro","A amizade… 🎶 #PaulistasEmCampo #Neymar #Memphis","https://www.tiktok.com/@paulistao/video/7679903427475868935","30 de agosto","1437","2","7","30206"
"8 de setembro","O corinthiano mais fraco tá assim hoje! 🤣🤣🤣 #PaulistãoCasasBahia #Corinthians","https://www.tiktok.com/@paulistao/video/7675445815048932624","18 de agosto","4493","17","93","26428"
"8 de setembro","DE PAI PRA FILHO! Andreas e Arthur estão rabiscando juntos 🤝 #PaulistasEmCampo #Palmeiras #CopaDoBrasil","https://www.tiktok.com/@paulistao/video/7681128716558241031","2 de setembro","1583","8","10","26088"
"8 de setembro","O LEOZINHO QUASE FAZ UM GOLAÇO! #PaulistaSub23SegundaDivisão","https://www.tiktok.com/@paulistao/video/7674623373304941840","16 de agosto","103","1","0","15652"
"8 de setembro","Neymar presenteou uma criança torcedora do Corinthians no fim do jogo! #PaulistasEmCampo #Neymar","https://www.tiktok.com/@paulistao/video/7679955211699440897","30 de agosto","538","18","82","15112"
"8 de setembro","A adm fica exatamente assim sabendo que o final de semana será recheado de #DuelosPaulistas 🤩 ","https://www.tiktok.com/@paulistao/video/7679516214082784519","29 de agosto","445","16","17","12530"
"8 de setembro","Não tem jeito, o Neymar é muito ídolo!  #Neymar #Santos #PaulistasEmCampo #Brasileirão ","https://www.tiktok.com/@paulistao/video/7679982140901117204","30 de agosto","652","4","3","11880"
"8 de setembro","As crianças vieram em peso apoiar o Independente!🤩 #PaulistaSub23SegundaDivisão","https://www.tiktok.com/@paulistao/video/7674616789560528145","16 de agosto","71","2","1","11685"
"8 de setembro","TUDO IGUAL NA DECISÃO!!!!! 🤩🤩🤩 #PaulistaSub23SegundaDivisão","https://www.tiktok.com/@paulistao/video/7674634466115013895","16 de agosto","196","2","0","11439"
"8 de setembro","No último encontro entre Corinthians e Rosario Central na @libertadoresbr, o Timão levou a melhor! Vem conferir os gols do confronto que rolou nas oitavas de final de 2000 🦅👀 #PaulistasEmCampo #Libertadores 🎥ESPN","https://www.tiktok.com/@paulistao/video/7676167514664996112","20 de agosto","81","4","2","11195"
