Título do vídeo,Link para o vídeo,Hora da publicação,Visualizações do vídeo,Curtidas,Comentários,Compartilhamentos,Adicionar aos Favoritos
"𝐀 𝐚𝐫𝐪𝐮𝐢𝐛𝐚𝐧𝐜𝐚𝐝𝐚 𝐝𝐨 𝐂𝐚𝐧𝐢𝐧𝐝𝐞́ 𝐞́ 𝐩𝐫𝐚 𝐪𝐮𝐞𝐦 𝐚𝐜𝐫𝐞𝐝𝐢𝐭𝐚. Hoje, às 16h, é hora de mostrar o peso da camisa da Lusa. #PaulistasEmCampo #SérieD #Portuguesa",https://www.tiktok.com/@paulistao/video/7666296346927746305,2026/07/25 03:05:20,1106,30,1,0,1
Pensam que a adm vive só de #FutebolPaulista? 👀😂,https://www.tiktok.com/@paulistao/video/7666272216476159253,2026/07/25 01:31:41,690,63,2,5,0
"2011 ✅ 2022 ✅ 2026 ⏳ Amanhã é dia de mostrar o 𝒑𝒆𝒔𝒐 𝒅𝒂 𝒄𝒂𝒎𝒊𝒔𝒂 𝒅𝒂 𝑷𝒐𝒓𝒕𝒖𝒈𝒖𝒆𝒔𝒂. Por tudo que a Lusa já foi e por tudo que ela ainda será. No sábado, o Canindé vai presenciar mais uma parte da história gigante desse time que não cansa de se superar. 💚❤️ #PaulistasEmCampo #SérieD",https://www.tiktok.com/@paulistao/video/7666185996844764434,2026/07/24 19:57:01,649,40,2,0,1
"🎟️ TUTORIAL: Como comprar seu ingresso para assistir a Portguesa x Uberlândia pelas oitavas de final da Série D!  🦁 E aí torcedor, bora lotar o Canindé e apoiar a Lusa? #PaulistasEmCampo #Portuguesa",https://www.tiktok.com/@paulistao/video/7665808525674843410,2026/07/23 19:32:18,378,4,4,0,0
COLOCOU ONDE QUERIA! Artur bateu a falta com toda categoria para abrir o placar para o Tricolor! #PaulistasEmCampo 🎥 Globo,https://www.tiktok.com/@paulistao/video/7665539114845883649,2026/07/23 01:57:10,584,36,1,1,1
ELE MARCA Y MARCA! A Copa do Mundo deixou o Mauricio inspirado no Verdão ⚽️⚽️ #PaulistasEmCampo 🎥 @primevideosportbr,https://www.tiktok.com/@paulistao/video/7665513478806949127,2026/07/23 00:27:28,9564,371,5,8,5
O aniversário é dele mas o presente foi nosso de ter tido Endrick no @paulistao! E como faz com a saudade dele no Palmeiras? 🐷🌟 #PaulistãoCasasBahia #Endrick #Palmeiras,https://www.tiktok.com/@paulistao/video/7665058128312012039,2026/07/21 19:00:21,736,58,1,0,2
"FIQUE ATENTO! Com o retorno das competições após a pausa para a Copa do Mundo, a Federação Paulista de Futebol anuncia que adotará algumas mudanças nas regras de arbitragem em suas competições, seguindo o que aconteceu na competição mundial. #FutebolPaulista",https://www.tiktok.com/@paulistao/video/7663500740459089159,2026/07/17 14:16:43,557,36,1,3,0
"FAÇA O 🤘 IMEDIATAMENTE! Jhon Arias entra em campo mais uma vez pela seleção colombiana, dessa vez contra a Suíça. Vem conhecer um pouco mais da trajetória do craque do Palmeiras!  #PaulistasEmCampo #Colômbia #CopaDoMundo #Oitavas ",https://www.tiktok.com/@paulistao/video/7659845723395083538,2026/07/07 17:53:39,2513,32,1,1,1
PARCEIROS DE SONHO! Endrick e Rayan seguem bailando com a amarelinha ⭐ Será que vem gol da dupla nas oitavas de final? #CopaDoMundo #SeleçãoBrasileira,https://www.tiktok.com/@paulistao/video/7658374687902338311,2026/07/03 18:45:03,29215,987,6,20,26
"Gustavo Gómez é prova viva da sua própria crença: da garra paraguaia, da luta que só quem veio da 𝒕𝒊𝒆𝒓𝒓𝒂 𝒄𝒐𝒍𝒐𝒓𝒂𝒅𝒂 carrega no sangue. O xerife alviverde segue fazendo história com a camisa albirroja 🌟🇵🇾 #CopaDoMundo #Paraguai #Palmeiras #PaulistasEmCampo ",https://www.tiktok.com/@paulistao/video/7657675722785393927,2026/07/01 21:33:01,1321,104,0,0,0
PARA FICAR NA MEMÓRIA! O Timão garantiu o título da @copadobrasil em 2009 desse jeito! Vem conferir os gols 🔥🤩 #BaúDoPaulistão,https://www.tiktok.com/@paulistao/video/7657667392344018197,2026/07/01 21:00:24,1059,86,2,3,3
