"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"10 de setembro","AQUELE ABRAÇO DOS JOGADORES DO SANTOS NO PROFESSOR FERNANDO DINIZ! #Santos #Corinthians #Brasileirão","https://www.tiktok.com/@paulistao/video/7679906041399610625","30 de agosto","4810","17","43","127473"
"10 de setembro","NADA COMO MAIS UM DUELO PAULISTA! #Brasileirão #Santos #Mirassol ","https://www.tiktok.com/@paulistao/video/7677251306825862407","23 de agosto","5900","119","175","85992"
"10 de setembro","OLIVA QUASE MARCA O SEU SEGUNDO GOL NO CLÁSSICO! #Santos #Brasileirão #PaulistasEmCampo","https://www.tiktok.com/@paulistao/video/7679935592238566677","30 de agosto","1818","86","53","69236"
"10 de setembro","NEYMAR 🤝 CARRILLO #Brasileirão #PaulistasEmCampo","https://www.tiktok.com/@paulistao/video/7679900351100718357","30 de agosto","1297","4","14","61263"
"10 de setembro","Já estamos com saudade de você, Memphis 😪 #PaulistãoCasasBahia #trend #Corinthians #MemphisDepay","https://www.tiktok.com/@paulistao/video/7672870621184970004","11 de agosto","11240","88","680","57631"
"10 de setembro","A amizade… 🎶 #PaulistasEmCampo #Neymar #Memphis","https://www.tiktok.com/@paulistao/video/7679903427475868935","30 de agosto","1439","2","7","30240"
"10 de setembro","🇨🇴🐷💚OLÊ, OLÊ, OLÊ, OLÁ! Ele brilhou no Paulistão Casas Bahia e hoje vai com tudo para mais um jogo na Copa do Mundo. Pra cima, John Arias! #Palmeiras #PaulistãoCasasBahia","https://www.tiktok.com/@paulistao/video/7654683244130045191","23 de junho","3171","8","17","30944"
"10 de setembro","O corinthiano mais fraco tá assim hoje! 🤣🤣🤣 #PaulistãoCasasBahia #Corinthians","https://www.tiktok.com/@paulistao/video/7675445815048932624","18 de agosto","4507","17","93","26521"
"10 de setembro","DE PAI PRA FILHO! Andreas e Arthur estão rabiscando juntos 🤝 #PaulistasEmCampo #Palmeiras #CopaDoBrasil","https://www.tiktok.com/@paulistao/video/7681128716558241031","2 de setembro","1603","8","11","26340"
"10 de setembro","BRENO DE SOUZA BIDON! O pênalti decisivo nos pés do Filho do Terrão! #FutebolPaulista #Corinthians #CopadoBrasil","https://www.tiktok.com/@paulistao/video/7584091018430008596","15 de dezembro","283819","849","7024","2253019"
"10 de setembro","ASSISTÊNCIA DO FLACO NA SELEÇÃO! A fase é boa até fora do Brasil! O argentino deu essa assistência para o terceiro gol da Argentina no amistoso contra Porto Rico.  #PaulistasEmCampo #FlacoLopez  🎥@cazetv ","https://www.tiktok.com/@paulistao/video/7561248786199219468","14 de outubro","57124","206","1114","4650032"
"10 de setembro","O LEOZINHO QUASE FAZ UM GOLAÇO! #PaulistaSub23SegundaDivisão","https://www.tiktok.com/@paulistao/video/7674623373304941840","16 de agosto","103","1","0","15652"
"10 de setembro","Neymar presenteou uma criança torcedora do Corinthians no fim do jogo! #PaulistasEmCampo #Neymar","https://www.tiktok.com/@paulistao/video/7679955211699440897","30 de agosto","538","18","82","15146"
"10 de setembro","FAZ O GOL E METE DANÇA! ⚽️🕺 Talles Magno coloca o Timão em vantagem na Neo Química Arena. #PaulistãoSicrediÉDoBrasil","https://www.tiktok.com/@paulistao/video/7461768831925570821","19 de janeiro","19984","147","840","423354"
"10 de setembro","O TORCEDOR DO TIMÃO VAI SEXTAR NESSE PIQUE NÉ? 🤪 #PaulistãoSicrediÉDoBrasil ","https://www.tiktok.com/@paulistao/video/7486875541530774789","28 de março","546350","2401","10875","18594844"
