ID do post,Data,Texto do post,Postar link,Impressões,Curtidas,Engajamentos,Itens salvos,Compartilhamentos,Novos seguidores,Respostas,Reposts,Visitas ao perfil,Expansões de detalhes,Cliques de URL,Cliques de hashtag,Cliques de link permanente
2096697025811145159,"Sun, Sep 6, 2026",CONFRONTOS DEFINIDOS! Assim ficaram os duelos das quartas de final do Paulista Sub-20 Série B: Cosmopolitano x Brasilis Paulista x Rio Branco Comercial Tietê x Penapolense Real Soccer x Taubaté #PaulistaSub20SérieB https://t.co/jDHaIg5TIn,https://x.com/Copinha/status/2096697025811145159,1479,2,6,0,0,0,0,1,0,1,0,0,0
2096691294735049185,"Sun, Sep 6, 2026",E lá se foram as oitavas de final do Paulista Sub-20 Série B! Confira os resultados das partidas de volta. #PaulistaSub20SérieB https://t.co/urv78ey2bo,https://x.com/Copinha/status/2096691294735049185,1539,3,12,0,0,0,0,0,2,0,0,0,0
2096635888407032192,"Sun, Sep 6, 2026",Rodada movimentada no Paulista SUb-12! #PaulistaSub12 https://t.co/hyLZildfu6,https://x.com/Copinha/status/2096635888407032192,1782,6,30,0,0,0,0,1,0,0,0,0,0
2096635635020828727,"Sun, Sep 6, 2026",Hora de conferir os resultados da 13ª rodada do Paulista Sub-11! #PaulistaSub11 https://t.co/umNCFHMoJX,https://x.com/Copinha/status/2096635635020828727,1895,6,35,0,0,0,0,0,1,0,0,0,0
2096393576598958252,"Sun, Sep 6, 2026",Mais uma rodada do Paulista Sub-17 concluída. #PaulistaSub17 https://t.co/PD1G42hRgE,https://x.com/Copinha/status/2096393576598958252,1949,6,45,0,0,0,0,1,2,0,0,0,0
2096393253876564469,"Sun, Sep 6, 2026",A 17ª rodada do Paulista Sub-15 chegou ao fim. Se liga nos resultados. #PaulistaSub15 https://t.co/i42eJN2DLU,https://x.com/Copinha/status/2096393253876564469,2142,3,28,0,0,0,0,0,3,0,0,0,0
2096191623315308969,"Sat, Sep 5, 2026",FIM DE SEMANA CHEIO! A primeira fase do Paulista Sub-11 e Sub-12 está chegando ao fim... Confira os jogos dessa rodada! #PaulistaSub11 #PaulistaSub12 https://t.co/JTz8TN25aN,https://x.com/Copinha/status/2096191623315308969,1561,6,23,0,0,0,0,1,3,0,0,2,0
2096049207480127728,"Sat, Sep 5, 2026",É CAMPEÃO! É CAMPEÃO! 🏆💢 As #CriasDaColina conquistam o Brasileirão Sub-20! #BrasileiroSub20 🎥 @vascobase https://t.co/qqXQwbiAzC,https://x.com/Copinha/status/2096049207480127728,3300,177,201,1,0,0,1,10,4,4,0,4,0
2096025173308625341,"Fri, Sep 4, 2026",VAMOS TODOS CANTAR DE CORAÇÃO! 🏆💢 O @VascodaGama é o grande campeão do Brasileiro Sub-20 2026! #BrasileiroSub20 https://t.co/mpST6xL5lD,https://x.com/Copinha/status/2096025173308625341,4159,656,818,2,0,1,4,70,12,16,0,0,0
2095948186380574762,"Fri, Sep 4, 2026",AS CRIAS DA ACADEMIA ESTÃO ON 🐷🔥 A final de hoje é a quinta seguida do Palmeiras no Brasileirão Sub-20. Será que vem mais um título para conta? #BrasileirãoSub20 https://t.co/Kqwm7sBA5V,https://x.com/Copinha/status/2095948186380574762,1908,3,72,0,0,0,0,0,3,0,0,4,0
