Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
2089336452874469423,"Mon, Aug 17, 2026",PARA CIMA DELAS! O Realidade Jovem vai em busca da vantagem no primeiro jogo da semifinal do Brasileirão A3! #ElasEmCampo https://t.co/0vnFcFgOdM,https://x.com/PaulistaoFem/status/2089336452874469423,106,0,1,0,0,0,0,0,0,0,0,0,0
2089087196812706116,"Sun, Aug 16, 2026",Duas vitórias e dois tropeços marcaram o domingo do futebol paulista pelas duas divisões do Brasileirão Feminino. #ElasEmCampo https://t.co/j7Kvpezf0O,https://x.com/PaulistaoFem/status/2089087196812706116,421,8,11,1,0,0,0,1,1,0,0,0,0
2089086703734546756,"Sun, Aug 16, 2026",Taubaté perde o jogo de ida e vai ter que decidir a vaga para a semifinal do Brasileirão Feminino A2 jogando fora de casa. #ElasEmCampo 📷Beatriz de Sá/Vasco https://t.co/ncJRfAQCAx,https://x.com/PaulistaoFem/status/2089086703734546756,428,6,9,0,0,0,0,0,0,1,0,0,0
2089025874645401881,"Sun, Aug 16, 2026",GOLEADA TRICOLOR! O São Paulo não deu chances para o Botafogo no Nilton Santos! #ElasEmCampo 📷Arthur Barreto/Botafogo https://t.co/xa0ZsB4rlM,https://x.com/PaulistaoFem/status/2089025874645401881,565,15,19,0,0,0,0,1,1,0,0,0,0
2089023912927486208,"Sun, Aug 16, 2026","AVANTI, PALESTRINAS! Palmeiras faz o dever de casa e garante os três pontos contra o Juventude. #ElasEmCampo 📷Paloma Cassiano/Palmeiras https://t.co/L2JJGjZvOR",https://x.com/PaulistaoFem/status/2089023912927486208,450,16,20,0,0,0,0,2,1,1,0,0,0
2089023055351664643,"Sun, Aug 16, 2026",As Sereias da Vila foram superadas pelo Flamengo no Brasileirão Feminino. #ElasEmCampo 📷Raul Baretta/Santos https://t.co/WDczvNJBko,https://x.com/PaulistaoFem/status/2089023055351664643,532,11,13,0,0,0,0,0,1,1,0,0,0
2088974059677921319,"Sun, Aug 16, 2026",ESSE DOMINGO COMEÇA CEDO PARA O FUTEBOL PAULISTA! São quatro confrontos das minhas equipes nas séries A1 e A2 do @brfeminino! #ElasEmCampo https://t.co/381VryJ5V1,https://x.com/PaulistaoFem/status/2088974059677921319,535,23,32,1,0,0,0,3,1,1,0,0,0
2088781534715142541,"Sun, Aug 16, 2026",Sabadão invicto para o futebol paulista! #ElasEmCampo https://t.co/xHs4nmwAkA,https://x.com/PaulistaoFem/status/2088781534715142541,515,9,11,0,0,0,0,0,1,0,0,0,0
2088778341352432070,"Sun, Aug 16, 2026",DE VIRADA! Ferroviária marca dois na reta final e garante a vitória! #ElasEmCampo 📷Rafael Zocco/Ferroviária https://t.co/KDVyHTPJ6S,https://x.com/PaulistaoFem/status/2088778341352432070,553,8,11,0,0,0,0,1,1,0,0,0,0
2088764845592031620,"Sat, Aug 15, 2026",CONFRONTOS DEFINIDOS! Assim ficaram definidas as partidas de quartas de final do Paulista F Sub-15 Petrobras! #PaulistaFSub20Petrobras https://t.co/RqgCFEHar0,https://x.com/PaulistaoFem/status/2088764845592031620,399,8,15,0,0,0,0,2,1,0,0,0,0
2088755326174564644,"Sat, Aug 15, 2026",EMPATE LÁ! O Corinthians volta de Salvador com mais um ponto somado no Brasileirão Feminino. #ElasEmCampo 📷Letícia Martins/Bahia https://t.co/ex5bzXiPfd,https://x.com/PaulistaoFem/status/2088755326174564644,409,12,15,1,0,0,0,1,0,2,0,0,0
2088750586606801357,"Sat, Aug 15, 2026",GOLEADA DAS BRAGANTINAS! Red Bull Bragantino venceu em grande estilo pelo Brasileirão Feminino! #ElasEmCampo 📷Carla Cenci/Red Bull Bragantino https://t.co/llaRQ5hUst,https://x.com/PaulistaoFem/status/2088750586606801357,568,14,22,1,0,0,0,0,1,4,0,0,0
2088740707397673199,"Sat, Aug 15, 2026",Ponto final na sétima e última rodada do Paulista F Sub-15 Petrobras! Vamos aos resultados. #PaulistaFSub15Petrobras https://t.co/50FtiCqBpz,https://x.com/PaulistaoFem/status/2088740707397673199,467,13,18,0,0,0,0,0,0,0,0,1,0
2088611665357222216,"Sat, Aug 15, 2026","DOSE TRIPLA! Bragantinas, Brabas e Guerreiras Grenás entram em campo em busca dos três pontos no @brfeminino! #ElasEmCampo https://t.co/vqdUeTHneb",https://x.com/PaulistaoFem/status/2088611665357222216,486,9,12,0,0,0,1,0,0,1,0,0,0
2088581473037332983,"Sat, Aug 15, 2026",A ÚLTIMA VOLTA! A primeira fase do Paulista F Sub-15 @petrobras chega ao fim neste sábado. Vem conferir os jogos com transmissão do YouTube do @paulistao. #PaulistaFSub15Petrobras https://t.co/M3kuznGOnZ,https://x.com/PaulistaoFem/status/2088581473037332983,367,6,9,1,0,0,0,0,1,0,0,0,0
2088278144289546721,"Fri, Aug 14, 2026",FIM DE PAPO! Vem conferir os resultados de mais uma rodada do Paulista F Sub-20 @petrobras. #PaulistaFSub20Petrobras https://t.co/KbRNAM5vTv,https://x.com/PaulistaoFem/status/2088278144289546721,948,19,27,0,0,0,0,1,3,0,0,1,0
2088066065527882137,"Fri, Aug 14, 2026","100% ATUALIZADA! Com a Ferroviária no topo, é assim que fica a classificação do Paulistão F Petrobras ao fim da sexta rodada! #PaulistãoFPetrobras https://t.co/eRQRXEMOpM",https://x.com/PaulistaoFem/status/2088066065527882137,669,16,68,0,0,0,0,1,1,19,0,0,0
2088065601881178377,"Fri, Aug 14, 2026",FIM DE PAPO! Fecha a conta e passa a régua na sexta rodada do Paulistão F Petrobras! #PaulistãoFPetrobras https://t.co/GtigsN9X5U,https://x.com/PaulistaoFem/status/2088065601881178377,581,15,21,0,0,0,0,0,3,1,0,0,0
2088063034862240091,"Fri, Aug 14, 2026",CONFIRA COMIGO NO REPLAY! Bora rever o gol que garantiu a vitória do São Paulo no #SuperclássicoFPetrobras! #PaulistãoFPetrobras https://t.co/uutlhm4ztE,https://x.com/PaulistaoFem/status/2088063034862240091,599,6,10,0,0,0,0,0,2,1,0,1,0
2088059617880228172,"Fri, Aug 14, 2026",NOITE TRICOLOR! - Vitória no San-São ✅ - Troféu do #SuperclássicoF ✅ - #CraqueDoJogoPetrbras ✅ #PaulistãoFPetrobras 📷Mauro Horita/Ag. Paulistão https://t.co/xFZTEGroeh,https://x.com/PaulistaoFem/status/2088059617880228172,554,7,19,0,0,0,0,0,1,0,0,0,0
2088057726203007199,"Fri, Aug 14, 2026","É ELA! Autora do gol da vitória do São Paulo no #SuperclássicoF, Clara foi escolhida como a Craque do Jogo Petrobras! #PaulistãoFPetrobras 📷Mauro Horita/Ag. Paulistão https://t.co/lHvkUsaBlu",https://x.com/PaulistaoFem/status/2088057726203007199,440,7,13,0,0,0,0,0,4,1,0,0,0
2088056498777628954,"Fri, Aug 14, 2026",É DO TRICOLOR! A taça do San-São no #SuperclássicoF ficou com o São Paulo! #PaulistãoFPetrobras https://t.co/2Fz9FGcHZ9,https://x.com/PaulistaoFem/status/2088056498777628954,629,8,11,0,0,0,0,0,0,1,0,0,0
2088053731824701738,"Fri, Aug 14, 2026",SAN-SÃO TRICOLOR! O São Paulo fica com a vitória no #SuperclássicoF! #PaulistãoFPetrobras #SuperclássicoF 📷Mauro Horita/Ag. Paulistão https://t.co/yaEYH98feT,https://x.com/PaulistaoFem/status/2088053731824701738,432,12,26,0,0,0,0,1,1,1,0,0,0
2088050012739473901,"Thu, Aug 13, 2026",OLHA ELA AÍ! Gol da lateral? Temos! Clara apareceu dentro da área do Santos e abriu o placar do San-São para o Tricolor! #PaulistãoFPetrobras https://t.co/gcV6XAraCa,https://x.com/PaulistaoFem/status/2088050012739473901,624,15,21,0,0,0,0,0,5,0,0,0,0
2088037674560995411,"Thu, Aug 13, 2026","DOSE DUPLA! O Santos chegou duas vezes com perigo, mas a trave do São Paulo impediu o gol! #PaulistãoFPetrobras https://t.co/V7ozvSV7l4",https://x.com/PaulistaoFem/status/2088037674560995411,939,24,46,1,0,0,0,2,11,7,0,1,0
2088035920339509752,"Thu, Aug 13, 2026",AINDA SEM GOLS! A rede não balançou no primeiro tempo do San-São. #PaulistãoFPetrobras #SuperclássicoF 📷Mauro Horita/Ag. Paulistão https://t.co/qwCiZbmL0A,https://x.com/PaulistaoFem/status/2088035920339509752,534,8,14,0,0,0,1,0,1,1,0,1,0
2088018297409147274,"Thu, Aug 13, 2026",TÁ CHEGANDO A HORA! São Paulo e Santos trabalham de olho em mais uma rodada do Paulistão F Petrobras! #PaulistãoFPetrobras #SuperclássicoF 📷Mauro Horita/Ag. Paulistão https://t.co/PYNyXED7np,https://x.com/PaulistaoFem/status/2088018297409147274,592,12,19,0,0,0,0,0,1,0,0,0,0
2088003910698963017,"Thu, Aug 13, 2026",SE TEM #SUPERCLÁSSICOF... Tem taça em jogo! Quem será que vai levar essa pra casa? #PaulistãoFPetrobras #SuperclássicoF 📷Mauro Horita/Ag. Paulistão https://t.co/BLglMTyHa0,https://x.com/PaulistaoFem/status/2088003910698963017,432,4,11,0,0,0,0,0,1,3,0,0,0
2087999596072976768,"Thu, Aug 13, 2026",HOJE TEM! É dia de San-São no Paulistão F Petrobras! #PaulistãoFPetrobras #SuperclássicoF 📷Mauro Horita/Ag. Paulistão https://t.co/TWMe7xqFQn,https://x.com/PaulistaoFem/status/2087999596072976768,577,10,20,0,0,1,0,0,3,0,0,1,0
2087962389228777932,"Thu, Aug 13, 2026",NOITE DE CLÁSSICO PARA AS SEREIAS DA VILA! 🧜‍♀️ Só a vitória interessa para o Santos no clássico contra o São Paulo! #PaulistãoFPetrobras https://t.co/g8tg8Rbeq0,https://x.com/PaulistaoFem/status/2087962389228777932,476,4,9,0,0,0,0,0,1,0,0,0,0
2087947292477427791,"Thu, Aug 13, 2026",TRICOLORES EM CAMPO! 🇾🇪 O São Paulo quer a classificação direta para as semifinais do Paulistão F Petrobras e precisa vencer o Santos no clássico! #PaulistãoFPetrobras https://t.co/7dWvNYOEJk,https://x.com/PaulistaoFem/status/2087947292477427791,511,3,11,0,0,0,0,1,4,0,0,0,0
2087886893702897964,"Thu, Aug 13, 2026",UM CLÁSSICO DESSE PARA ENCERRAR A RODADA?! 😮‍💨 Hoje é dia de San-São no Paulistão F Petrobras! Quem vai levar a melhor: Tricolores ou Sereias da Vila? 👀 #PaulistãoFPetrobras #Santos #SãoPaulo https://t.co/R2dyWjfkdM,https://x.com/PaulistaoFem/status/2087886893702897964,726,9,14,0,0,0,0,1,1,0,0,0,0
2087703711984267525,"Thu, Aug 13, 2026","QUE MOMENTO! As duas goleiras do Red Bull Bragantino machucaram no jogo, mas Ana Carla saiu da linha, assumiu o gol e fez uma defesa nos acréscimos para garantir o empate das Bragantinas! #PaulistãoFPetrobras https://t.co/WXsYkyzsBM",https://x.com/PaulistaoFem/status/2087703711984267525,1059,45,59,1,0,0,0,3,8,3,0,0,0
2087700467438506322,"Thu, Aug 13, 2026","COM FERROVIÁRIA E PALMEIRAS NO TOPO, ASSIM ESTÁ A CLASSIFICAÇÃO DO PAULISTÃO F PETROBRAS! #Classificação #PaulistãoFPetrobras https://t.co/OW8NaJ5sgo",https://x.com/PaulistaoFem/status/2087700467438506322,593,13,23,0,0,0,0,1,1,3,0,0,0
2087698569037844872,"Thu, Aug 13, 2026",A quarta-feira do Paulistão F Petrobras terminou assim! #PaulistãoFPetrobras https://t.co/lxkRd9vKfR,https://x.com/PaulistaoFem/status/2087698569037844872,633,29,37,0,0,0,0,2,2,1,0,0,0
2087697520658989320,"Thu, Aug 13, 2026","A Ana Carla saiu da linha, assumiu o gol do Red Bull Bragantino, fez uma defesa nos acréscimos e foi eleita a craque do jogo no Paulistão F Petrobras! #PaulistãoFPetrobras 📷Alexandre Battibugli/Ag. Paulistão https://t.co/AXho4SlwI8",https://x.com/PaulistaoFem/status/2087697520658989320,563,18,27,0,0,0,0,0,4,3,0,0,0
2087693008598688051,"Thu, Aug 13, 2026",TUDO IGUAL! Red Bull Bragantino e Ferroviária não saem do zero no Paulistão F Petrobras! #PaulistãoFPetrobras 📷Alexandre Battibugli/Ag. Paulistão https://t.co/X8j1lHsj5M,https://x.com/PaulistaoFem/status/2087693008598688051,1111,15,32,1,0,0,1,0,6,1,0,0,0
