ID do post,Data,Texto do post,Postar link,Impressões,Curtidas,Engajamentos,Itens salvos,Compartilhamentos,Novos seguidores,Respostas,Reposts,Visitas ao perfil,Expansões de detalhes,Cliques de URL,Cliques de hashtag,Cliques de link permanente
2097058144367042815,"Mon, Sep 7, 2026",FIM DE PAPO! Estes foram os resultados dos jogos de volta do Play-In da Copa Paulista Rivalo. #CopaPaulistaRivalo https://t.co/bEV1YjgZkZ,https://x.com/Paulistao/status/2097058144367042815,1209,5,13,0,0,0,0,0,1,0,0,0,0
2097057627666596176,"Mon, Sep 7, 2026","DE VIRADA... O Grêmio Prudente virou, garantiu duas vitórias e carimbou a vaga para as quartas da #CopaPaulistaRivalo. 📷 Brito/Divulgação/Grêmio Prudente https://t.co/7oDNSusWXw",https://x.com/Paulistao/status/2097057627666596176,1301,1,1,0,0,0,0,0,0,0,0,0,0
2097053753899729116,"Mon, Sep 7, 2026",CONFRONTOS DEFINIDOS! Vem conferir quem cada clube vai enfrentar na próxima fase da Copa Paulista Rivalo. #CopaPaulistaRivalo https://t.co/R6Pp2Ul2Ox,https://x.com/Paulistao/status/2097053753899729116,1038,3,21,0,0,0,0,1,4,1,0,0,0
2097051259047964869,"Mon, Sep 7, 2026",FECHANDO O BONDE DOS CLASSIFICADOS! O Carcará vence mais uma e está classificado para as quartas de final da Copa Paulista Rivalo. #CopaPaulistaRivalo https://t.co/UGT5njSwhW,https://x.com/Paulistao/status/2097051259047964869,1318,1,5,0,0,0,0,1,1,0,0,0,0
2096961697210847247,"Mon, Sep 7, 2026","Há 70 anos, o Rei Pelé estreava pelo @santosfc com uma vitória de 7 a 1 sobre o Corinthians de Santo André. O 👑 marcou o primeiro dos seus 1091 gols com a camisa do Peixão. #FutebolPaulista #Pelé 📷Divulgação/Santos FC https://t.co/2STXPDGkez",https://x.com/Paulistao/status/2096961697210847247,1424,42,52,1,0,0,0,1,1,2,0,0,0
2096931504295174416,"Mon, Sep 7, 2026",ÚLTIMA VAGA! Paulista e Grêmio Prudente vão em busca da classificação na #CopaPaulistaRivalo. https://t.co/d5RBGhw3KQ,https://x.com/Paulistao/status/2096931504295174416,1041,1,1,0,0,0,0,0,0,0,0,0,0
2096759222838919223,"Mon, Sep 7, 2026","Mirassol, Santos e São Bernardo garantiram as vitórias para o #FutebolPaulista neste domingo. #PaulistasEmCampo https://t.co/3qHdpVKzen",https://x.com/Paulistao/status/2096759222838919223,1694,23,36,1,0,0,0,3,0,3,0,0,0
2096758871997985053,"Mon, Sep 7, 2026",Corinthians leva a virada e acaba sendo superado pela Chapecoense. #PaulistasEmCampo 📷Roberto Pessoa/Chapecoense https://t.co/Z0tugnVIAW,https://x.com/Paulistao/status/2096758871997985053,1189,8,24,2,0,1,1,2,0,5,0,0,0
2096743409452986593,"Sun, Sep 6, 2026",VITÓRIA DO VISITANTE! São Bernardo leva a melhor no duelo paulista e fica com os três pontos contra a Ponte Preta. #PaulistasEmCampo 📷 Janes Carvalho/São Bernardo https://t.co/yWc2iUP1PB,https://x.com/Paulistao/status/2096743409452986593,1461,4,14,0,0,0,0,2,1,1,0,0,0
2096743065595568633,"Sun, Sep 6, 2026",EMPATE LÁ! Botafogo e Palmeiras não saíram do zero. #PaulistasEmCampo 📷Cesar Greco/Palmeiras https://t.co/JOqNsAwdnd,https://x.com/Paulistao/status/2096743065595568633,1073,3,7,0,0,0,0,0,0,1,0,0,0
